2023/02/15 08:45:57 PM Namespace(alpha=0.5, cuda=True, dilation_manager=10, dilation_supervisor=5, entropy_coef=0.01, env_name='MiniGrid-FourRooms-v0', eps=0, gamma_m=0.99, gamma_s=0.95, gamma_w=0.9, grad_clip=5.0, hidden_dim_manager=120, hidden_dim_supervisor=60, hidden_dim_worker=16, lr=0.0005, max_steps=10000000, mlp=0, num_steps=400, num_workers=16, run_name='baseline_seed=0', seed=0, time_horizon_manager=10, time_horizon_supervisor=5, whole=1)
2023/02/15 08:47:16 PM > ep = 55 | total steps = 119216 | reward = 0.3466 | length = 1452 | hours = 0.022
2023/02/15 08:47:21 PM > ep = 56 | total steps = 127120 | reward = 0.12429999999999997 | length = 1946 | hours = 0.023
2023/02/15 08:47:22 PM > ep = 57 | total steps = 127984 | reward = 0 | length = 2000 | hours = 0.023
2023/02/15 08:47:22 PM > ep = 58 | total steps = 127984 | reward = 0 | length = 2000 | hours = 0.023
2023/02/15 08:47:22 PM > ep = 59 | total steps = 127984 | reward = 0 | length = 2000 | hours = 0.023
2023/02/15 08:47:22 PM > ep = 60 | total steps = 127984 | reward = 0 | length = 2000 | hours = 0.023
2023/02/15 08:47:22 PM > ep = 61 | total steps = 127984 | reward = 0 | length = 2000 | hours = 0.023
2023/02/15 08:47:22 PM > ep = 62 | total steps = 127984 | reward = 0 | length = 2000 | hours = 0.023
2023/02/15 08:47:22 PM > ep = 63 | total steps = 127984 | reward = 0 | length = 2000 | hours = 0.023
2023/02/15 08:47:22 PM > ep = 64 | total steps = 127984 | reward = 0 | length = 2000 | hours = 0.023
2023/02/15 08:47:24 PM > ep = 65 | total steps = 131696 | reward = 0 | length = 2000 | hours = 0.024
2023/02/15 08:47:29 PM > ep = 66 | total steps = 138384 | reward = 0 | length = 2000 | hours = 0.025
2023/02/15 08:47:29 PM > ep = 67 | total steps = 138784 | reward = 0 | length = 2000 | hours = 0.025
2023/02/15 08:47:30 PM > ep = 68 | total steps = 140160 | reward = 0 | length = 2000 | hours = 0.026
2023/02/15 08:47:30 PM > ep = 69 | total steps = 140448 | reward = 0.3434499999999999 | length = 1459 | hours = 0.026
2023/02/15 08:47:37 PM > ep = 70 | total steps = 150400 | reward = 0 | length = 2000 | hours = 0.028
2023/02/15 08:47:37 PM > ep = 71 | total steps = 151216 | reward = 0 | length = 2000 | hours = 0.028
2023/02/15 08:47:40 PM > ep = 72 | total steps = 154528 | reward = 0.604 | length = 880 | hours = 0.028
2023/02/15 08:47:42 PM > ep = 73 | total steps = 159120 | reward = 0 | length = 2000 | hours = 0.029
