2023/02/16 08:50:26 AM Namespace(alpha=0.25, beta=0.5, cuda=True, dilation_manager=10, dilation_supervisor=5, entropy_coef=0.01, env_name='MiniGrid-FourRooms-v0', eps=0, gamma_m=0.99, gamma_s=0.95, gamma_w=0.9, grad_clip=5.0, hidden_dim_manager=120, hidden_dim_supervisor=60, hidden_dim_worker=16, lr=0.0005, max_steps=100000000, mlp=0, num_steps=400, num_workers=16, run_name='baseline_seed=0', seed=0, time_horizon_manager=10, time_horizon_supervisor=5, whole=1)
2023/02/16 08:51:56 AM > ep = 55 | total steps = 127984 | reward = 0 | length = 2000 | hours = 0.025
2023/02/16 08:51:56 AM > ep = 56 | total steps = 127984 | reward = 0 | length = 2000 | hours = 0.025
2023/02/16 08:51:56 AM > ep = 57 | total steps = 127984 | reward = 0 | length = 2000 | hours = 0.025
2023/02/16 08:51:56 AM > ep = 58 | total steps = 127984 | reward = 0 | length = 2000 | hours = 0.025
2023/02/16 08:51:56 AM > ep = 59 | total steps = 127984 | reward = 0 | length = 2000 | hours = 0.025
2023/02/16 08:51:56 AM > ep = 60 | total steps = 127984 | reward = 0 | length = 2000 | hours = 0.025
2023/02/16 08:51:56 AM > ep = 61 | total steps = 127984 | reward = 0 | length = 2000 | hours = 0.025
2023/02/16 08:51:56 AM > ep = 62 | total steps = 127984 | reward = 0 | length = 2000 | hours = 0.025
2023/02/16 08:51:56 AM > ep = 63 | total steps = 127984 | reward = 0 | length = 2000 | hours = 0.025
2023/02/16 08:51:56 AM > ep = 64 | total steps = 127984 | reward = 0 | length = 2000 | hours = 0.025
2023/02/16 08:52:09 AM > ep = 65 | total steps = 145120 | reward = 0 | length = 2000 | hours = 0.029
2023/02/16 08:52:19 AM > ep = 66 | total steps = 159984 | reward = 0 | length = 2000 | hours = 0.031
2023/02/16 08:52:19 AM > ep = 67 | total steps = 159984 | reward = 0 | length = 2000 | hours = 0.031
2023/02/16 08:52:19 AM > ep = 68 | total steps = 159984 | reward = 0 | length = 2000 | hours = 0.031
2023/02/16 08:52:19 AM > ep = 69 | total steps = 159984 | reward = 0 | length = 2000 | hours = 0.031
2023/02/16 08:52:19 AM > ep = 70 | total steps = 159984 | reward = 0 | length = 2000 | hours = 0.031
2023/02/16 08:52:19 AM > ep = 71 | total steps = 159984 | reward = 0 | length = 2000 | hours = 0.031
2023/02/16 08:52:19 AM > ep = 72 | total steps = 159984 | reward = 0 | length = 2000 | hours = 0.031
2023/02/16 08:52:19 AM > ep = 73 | total steps = 159984 | reward = 0 | length = 2000 | hours = 0.031
2023/02/16 08:52:19 AM > ep = 74 | total steps = 159984 | reward = 0 | length = 2000 | hours = 0.031
2023/02/16 08:52:19 AM > ep = 75 | total steps = 159984 | reward = 0 | length = 2000 | hours = 0.031
2023/02/16 08:52:19 AM > ep = 76 | total steps = 159984 | reward = 0 | length = 2000 | hours = 0.031
2023/02/16 08:52:19 AM > ep = 77 | total steps = 159984 | reward = 0 | length = 2000 | hours = 0.031
2023/02/16 08:52:19 AM > ep = 78 | total steps = 159984 | reward = 0 | length = 2000 | hours = 0.031
2023/02/16 08:52:19 AM > ep = 79 | total steps = 159984 | reward = 0 | length = 2000 | hours = 0.031
2023/02/16 08:52:19 AM > ep = 80 | total steps = 159984 | reward = 0 | length = 2000 | hours = 0.031
2023/02/16 08:52:31 AM > ep = 81 | total steps = 177120 | reward = 0 | length = 2000 | hours = 0.035
2023/02/16 08:52:41 AM > ep = 82 | total steps = 191984 | reward = 0 | length = 2000 | hours = 0.038
2023/02/16 08:52:41 AM > ep = 83 | total steps = 191984 | reward = 0 | length = 2000 | hours = 0.038
2023/02/16 08:52:41 AM > ep = 84 | total steps = 191984 | reward = 0 | length = 2000 | hours = 0.038
2023/02/16 08:52:41 AM > ep = 85 | total steps = 191984 | reward = 0 | length = 2000 | hours = 0.038
2023/02/16 08:52:41 AM > ep = 86 | total steps = 191984 | reward = 0 | length = 2000 | hours = 0.038
2023/02/16 08:52:41 AM > ep = 87 | total steps = 191984 | reward = 0 | length = 2000 | hours = 0.038
2023/02/16 08:52:41 AM > ep = 88 | total steps = 191984 | reward = 0 | length = 2000 | hours = 0.038
2023/02/16 08:52:41 AM > ep = 89 | total steps = 191984 | reward = 0 | length = 2000 | hours = 0.038
2023/02/16 08:52:41 AM > ep = 90 | total steps = 191984 | reward = 0 | length = 2000 | hours = 0.038
2023/02/16 08:52:41 AM > ep = 91 | total steps = 191984 | reward = 0 | length = 2000 | hours = 0.038
2023/02/16 08:52:41 AM > ep = 92 | total steps = 191984 | reward = 0 | length = 2000 | hours = 0.038
2023/02/16 08:52:41 AM > ep = 93 | total steps = 191984 | reward = 0 | length = 2000 | hours = 0.038
2023/02/16 08:52:41 AM > ep = 94 | total steps = 191984 | reward = 0 | length = 2000 | hours = 0.038
2023/02/16 08:52:41 AM > ep = 95 | total steps = 191984 | reward = 0 | length = 2000 | hours = 0.038
2023/02/16 08:52:41 AM > ep = 96 | total steps = 191984 | reward = 0 | length = 2000 | hours = 0.038
2023/02/16 08:52:54 AM > ep = 97 | total steps = 209120 | reward = 0 | length = 2000 | hours = 0.041
2023/02/16 08:52:54 AM > ep = 98 | total steps = 209696 | reward = 0.50185 | length = 1107 | hours = 0.041
2023/02/16 08:53:04 AM > ep = 99 | total steps = 223984 | reward = 0 | length = 2000 | hours = 0.044
2023/02/16 08:53:04 AM > ep = 100 | total steps = 223984 | reward = 0 | length = 2000 | hours = 0.044
2023/02/16 08:53:04 AM > ep = 101 | total steps = 223984 | reward = 0 | length = 2000 | hours = 0.044
2023/02/16 08:53:04 AM > ep = 102 | total steps = 223984 | reward = 0 | length = 2000 | hours = 0.044
2023/02/16 08:53:04 AM > ep = 103 | total steps = 223984 | reward = 0 | length = 2000 | hours = 0.044
2023/02/16 08:53:04 AM > ep = 104 | total steps = 223984 | reward = 0 | length = 2000 | hours = 0.044
2023/02/16 08:53:04 AM > ep = 105 | total steps = 223984 | reward = 0 | length = 2000 | hours = 0.044
2023/02/16 08:53:04 AM > ep = 106 | total steps = 223984 | reward = 0 | length = 2000 | hours = 0.044
2023/02/16 08:53:04 AM > ep = 107 | total steps = 223984 | reward = 0 | length = 2000 | hours = 0.044
2023/02/16 08:53:04 AM > ep = 108 | total steps = 223984 | reward = 0 | length = 2000 | hours = 0.044
2023/02/16 08:53:04 AM > ep = 109 | total steps = 223984 | reward = 0 | length = 2000 | hours = 0.044
2023/02/16 08:53:04 AM > ep = 110 | total steps = 223984 | reward = 0 | length = 2000 | hours = 0.044
2023/02/16 08:53:04 AM > ep = 111 | total steps = 223984 | reward = 0 | length = 2000 | hours = 0.044
2023/02/16 08:53:04 AM > ep = 112 | total steps = 223984 | reward = 0 | length = 2000 | hours = 0.044
2023/02/16 08:53:12 AM > ep = 113 | total steps = 235536 | reward = 0.6751 | length = 722 | hours = 0.046
2023/02/16 08:53:16 AM > ep = 114 | total steps = 241120 | reward = 0 | length = 2000 | hours = 0.047
2023/02/16 08:53:16 AM > ep = 115 | total steps = 241696 | reward = 0 | length = 2000 | hours = 0.047
2023/02/16 08:53:19 AM > ep = 116 | total steps = 244016 | reward = 0.4366 | length = 1252 | hours = 0.048
2023/02/16 08:53:20 AM > ep = 117 | total steps = 247936 | reward = 0.3263499999999999 | length = 1497 | hours = 0.048
2023/02/16 08:53:24 AM > ep = 118 | total steps = 251872 | reward = 0.2156499999999999 | length = 1743 | hours = 0.049
2023/02/16 08:53:26 AM > ep = 119 | total steps = 255984 | reward = 0 | length = 2000 | hours = 0.050
2023/02/16 08:53:26 AM > ep = 120 | total steps = 255984 | reward = 0 | length = 2000 | hours = 0.050
2023/02/16 08:53:26 AM > ep = 121 | total steps = 255984 | reward = 0 | length = 2000 | hours = 0.050
2023/02/16 08:53:26 AM > ep = 122 | total steps = 255984 | reward = 0 | length = 2000 | hours = 0.050
2023/02/16 08:53:26 AM > ep = 123 | total steps = 255984 | reward = 0 | length = 2000 | hours = 0.050
2023/02/16 08:53:26 AM > ep = 124 | total steps = 255984 | reward = 0 | length = 2000 | hours = 0.050
2023/02/16 08:53:26 AM > ep = 125 | total steps = 255984 | reward = 0 | length = 2000 | hours = 0.050
2023/02/16 08:53:26 AM > ep = 126 | total steps = 255984 | reward = 0 | length = 2000 | hours = 0.050
2023/02/16 08:53:26 AM > ep = 127 | total steps = 255984 | reward = 0 | length = 2000 | hours = 0.050
2023/02/16 08:53:26 AM > ep = 128 | total steps = 255984 | reward = 0 | length = 2000 | hours = 0.050
2023/02/16 08:53:34 AM > ep = 129 | total steps = 267536 | reward = 0 | length = 2000 | hours = 0.052
2023/02/16 08:53:38 AM > ep = 130 | total steps = 271712 | reward = 0.15580000000000005 | length = 1876 | hours = 0.053
2023/02/16 08:53:38 AM > ep = 131 | total steps = 273120 | reward = 0 | length = 2000 | hours = 0.053
2023/02/16 08:53:41 AM > ep = 132 | total steps = 276016 | reward = 0 | length = 2000 | hours = 0.054
2023/02/16 08:53:43 AM > ep = 133 | total steps = 279936 | reward = 0 | length = 2000 | hours = 0.055
2023/02/16 08:53:46 AM > ep = 134 | total steps = 283872 | reward = 0 | length = 2000 | hours = 0.056
2023/02/16 08:53:47 AM > ep = 135 | total steps = 285424 | reward = 0.17199999999999993 | length = 1840 | hours = 0.056
2023/02/16 08:53:48 AM > ep = 136 | total steps = 287984 | reward = 0 | length = 2000 | hours = 0.056
2023/02/16 08:53:48 AM > ep = 137 | total steps = 287984 | reward = 0 | length = 2000 | hours = 0.056
2023/02/16 08:53:48 AM > ep = 138 | total steps = 287984 | reward = 0 | length = 2000 | hours = 0.056
2023/02/16 08:53:48 AM > ep = 139 | total steps = 287984 | reward = 0 | length = 2000 | hours = 0.056
2023/02/16 08:53:48 AM > ep = 140 | total steps = 287984 | reward = 0 | length = 2000 | hours = 0.056
2023/02/16 08:53:48 AM > ep = 141 | total steps = 287984 | reward = 0 | length = 2000 | hours = 0.056
2023/02/16 08:53:48 AM > ep = 142 | total steps = 287984 | reward = 0 | length = 2000 | hours = 0.056
2023/02/16 08:53:48 AM > ep = 143 | total steps = 287984 | reward = 0 | length = 2000 | hours = 0.056
2023/02/16 08:53:48 AM > ep = 144 | total steps = 287984 | reward = 0 | length = 2000 | hours = 0.056
2023/02/16 08:53:57 AM > ep = 145 | total steps = 299536 | reward = 0 | length = 2000 | hours = 0.059
2023/02/16 08:54:00 AM > ep = 146 | total steps = 303712 | reward = 0 | length = 2000 | hours = 0.059
2023/02/16 08:54:01 AM > ep = 147 | total steps = 305120 | reward = 0 | length = 2000 | hours = 0.060
2023/02/16 08:54:03 AM > ep = 148 | total steps = 308016 | reward = 0 | length = 2000 | hours = 0.060
2023/02/16 08:54:05 AM > ep = 149 | total steps = 311936 | reward = 0 | length = 2000 | hours = 0.061
2023/02/16 08:54:09 AM > ep = 150 | total steps = 315872 | reward = 0 | length = 2000 | hours = 0.062
2023/02/16 08:54:09 AM > ep = 151 | total steps = 317424 | reward = 0 | length = 2000 | hours = 0.062
2023/02/16 08:54:11 AM > ep = 152 | total steps = 319984 | reward = 0 | length = 2000 | hours = 0.062
2023/02/16 08:54:11 AM > ep = 153 | total steps = 319984 | reward = 0 | length = 2000 | hours = 0.062
2023/02/16 08:54:11 AM > ep = 154 | total steps = 319984 | reward = 0 | length = 2000 | hours = 0.062
2023/02/16 08:54:11 AM > ep = 155 | total steps = 319984 | reward = 0 | length = 2000 | hours = 0.062
2023/02/16 08:54:11 AM > ep = 156 | total steps = 319984 | reward = 0 | length = 2000 | hours = 0.062
2023/02/16 08:54:11 AM > ep = 157 | total steps = 319984 | reward = 0 | length = 2000 | hours = 0.062
2023/02/16 08:54:11 AM > ep = 158 | total steps = 319984 | reward = 0 | length = 2000 | hours = 0.062
2023/02/16 08:54:11 AM > ep = 159 | total steps = 319984 | reward = 0 | length = 2000 | hours = 0.062
2023/02/16 08:54:11 AM > ep = 160 | total steps = 319984 | reward = 0 | length = 2000 | hours = 0.062
2023/02/16 08:54:18 AM > ep = 161 | total steps = 328960 | reward = 0.7475499999999999 | length = 561 | hours = 0.064
2023/02/16 08:54:19 AM > ep = 162 | total steps = 331536 | reward = 0 | length = 2000 | hours = 0.065
2023/02/16 08:54:22 AM > ep = 163 | total steps = 335712 | reward = 0 | length = 2000 | hours = 0.066
2023/02/16 08:54:23 AM > ep = 164 | total steps = 337120 | reward = 0 | length = 2000 | hours = 0.066
2023/02/16 08:54:25 AM > ep = 165 | total steps = 339680 | reward = 0.44604999999999995 | length = 1231 | hours = 0.067
2023/02/16 08:54:26 AM > ep = 166 | total steps = 340016 | reward = 0 | length = 2000 | hours = 0.067
2023/02/16 08:54:26 AM > ep = 167 | total steps = 340688 | reward = 0.7426 | length = 572 | hours = 0.067
2023/02/16 08:54:28 AM > ep = 168 | total steps = 343936 | reward = 0 | length = 2000 | hours = 0.067
2023/02/16 08:54:31 AM > ep = 169 | total steps = 347872 | reward = 0 | length = 2000 | hours = 0.068
2023/02/16 08:54:31 AM > ep = 170 | total steps = 349424 | reward = 0 | length = 2000 | hours = 0.068
2023/02/16 08:54:33 AM > ep = 171 | total steps = 351984 | reward = 0 | length = 2000 | hours = 0.069
2023/02/16 08:54:33 AM > ep = 172 | total steps = 351984 | reward = 0 | length = 2000 | hours = 0.069
2023/02/16 08:54:33 AM > ep = 173 | total steps = 351984 | reward = 0 | length = 2000 | hours = 0.069
2023/02/16 08:54:33 AM > ep = 174 | total steps = 351984 | reward = 0 | length = 2000 | hours = 0.069
2023/02/16 08:54:33 AM > ep = 175 | total steps = 351984 | reward = 0 | length = 2000 | hours = 0.069
2023/02/16 08:54:33 AM > ep = 176 | total steps = 351984 | reward = 0 | length = 2000 | hours = 0.069
2023/02/16 08:54:33 AM > ep = 177 | total steps = 351984 | reward = 0 | length = 2000 | hours = 0.069
2023/02/16 08:54:35 AM > ep = 178 | total steps = 354800 | reward = 0.9208000000000001 | length = 176 | hours = 0.069
2023/02/16 08:54:40 AM > ep = 179 | total steps = 360960 | reward = 0 | length = 2000 | hours = 0.071
2023/02/16 08:54:44 AM > ep = 180 | total steps = 367712 | reward = 0 | length = 2000 | hours = 0.072
2023/02/16 08:54:45 AM > ep = 181 | total steps = 369120 | reward = 0 | length = 2000 | hours = 0.072
2023/02/16 08:54:48 AM > ep = 182 | total steps = 371680 | reward = 0 | length = 2000 | hours = 0.073
2023/02/16 08:54:48 AM > ep = 183 | total steps = 372016 | reward = 0 | length = 2000 | hours = 0.073
2023/02/16 08:54:48 AM > ep = 184 | total steps = 372688 | reward = 0 | length = 2000 | hours = 0.073
2023/02/16 08:54:50 AM > ep = 185 | total steps = 375936 | reward = 0 | length = 2000 | hours = 0.073
2023/02/16 08:54:53 AM > ep = 186 | total steps = 379872 | reward = 0 | length = 2000 | hours = 0.074
2023/02/16 08:54:54 AM > ep = 187 | total steps = 381424 | reward = 0 | length = 2000 | hours = 0.074
2023/02/16 08:54:55 AM > ep = 188 | total steps = 383984 | reward = 0 | length = 2000 | hours = 0.075
2023/02/16 08:54:55 AM > ep = 189 | total steps = 383984 | reward = 0 | length = 2000 | hours = 0.075
2023/02/16 08:54:55 AM > ep = 190 | total steps = 383984 | reward = 0 | length = 2000 | hours = 0.075
2023/02/16 08:54:55 AM > ep = 191 | total steps = 383984 | reward = 0 | length = 2000 | hours = 0.075
2023/02/16 08:54:55 AM > ep = 192 | total steps = 383984 | reward = 0 | length = 2000 | hours = 0.075
2023/02/16 08:54:55 AM > ep = 193 | total steps = 383984 | reward = 0 | length = 2000 | hours = 0.075
2023/02/16 08:54:58 AM > ep = 194 | total steps = 386800 | reward = 0 | length = 2000 | hours = 0.076
2023/02/16 08:55:02 AM > ep = 195 | total steps = 392960 | reward = 0 | length = 2000 | hours = 0.077
2023/02/16 08:55:07 AM > ep = 196 | total steps = 399712 | reward = 0 | length = 2000 | hours = 0.078
2023/02/16 08:55:08 AM > ep = 197 | total steps = 401120 | reward = 0 | length = 2000 | hours = 0.078
2023/02/16 08:55:10 AM > ep = 198 | total steps = 403680 | reward = 0 | length = 2000 | hours = 0.079
2023/02/16 08:55:10 AM > ep = 199 | total steps = 404016 | reward = 0 | length = 2000 | hours = 0.079
2023/02/16 08:55:11 AM > ep = 200 | total steps = 404688 | reward = 0 | length = 2000 | hours = 0.079
2023/02/16 08:55:12 AM > ep = 201 | total steps = 407936 | reward = 0 | length = 2000 | hours = 0.080
2023/02/16 08:55:16 AM > ep = 202 | total steps = 411872 | reward = 0 | length = 2000 | hours = 0.080
2023/02/16 08:55:16 AM > ep = 203 | total steps = 413424 | reward = 0 | length = 2000 | hours = 0.081
2023/02/16 08:55:18 AM > ep = 204 | total steps = 415984 | reward = 0 | length = 2000 | hours = 0.081
2023/02/16 08:55:18 AM > ep = 205 | total steps = 415984 | reward = 0 | length = 2000 | hours = 0.081
2023/02/16 08:55:18 AM > ep = 206 | total steps = 415984 | reward = 0 | length = 2000 | hours = 0.081
2023/02/16 08:55:18 AM > ep = 207 | total steps = 415984 | reward = 0 | length = 2000 | hours = 0.081
2023/02/16 08:55:18 AM > ep = 208 | total steps = 415984 | reward = 0 | length = 2000 | hours = 0.081
2023/02/16 08:55:18 AM > ep = 209 | total steps = 415984 | reward = 0 | length = 2000 | hours = 0.081
2023/02/16 08:55:21 AM > ep = 210 | total steps = 418800 | reward = 0 | length = 2000 | hours = 0.082
2023/02/16 08:55:25 AM > ep = 211 | total steps = 424960 | reward = 0 | length = 2000 | hours = 0.083
2023/02/16 08:55:30 AM > ep = 212 | total steps = 431712 | reward = 0 | length = 2000 | hours = 0.084
2023/02/16 08:55:30 AM > ep = 213 | total steps = 433120 | reward = 0 | length = 2000 | hours = 0.085
2023/02/16 08:55:33 AM > ep = 214 | total steps = 435680 | reward = 0 | length = 2000 | hours = 0.085
2023/02/16 08:55:33 AM > ep = 215 | total steps = 436016 | reward = 0 | length = 2000 | hours = 0.085
2023/02/16 08:55:33 AM > ep = 216 | total steps = 436688 | reward = 0 | length = 2000 | hours = 0.085
2023/02/16 08:55:35 AM > ep = 217 | total steps = 439936 | reward = 0 | length = 2000 | hours = 0.086
2023/02/16 08:55:38 AM > ep = 218 | total steps = 443872 | reward = 0 | length = 2000 | hours = 0.087
2023/02/16 08:55:39 AM > ep = 219 | total steps = 445424 | reward = 0 | length = 2000 | hours = 0.087
2023/02/16 08:55:41 AM > ep = 220 | total steps = 447984 | reward = 0 | length = 2000 | hours = 0.087
2023/02/16 08:55:41 AM > ep = 221 | total steps = 447984 | reward = 0 | length = 2000 | hours = 0.087
2023/02/16 08:55:41 AM > ep = 222 | total steps = 447984 | reward = 0 | length = 2000 | hours = 0.087
2023/02/16 08:55:41 AM > ep = 223 | total steps = 447984 | reward = 0 | length = 2000 | hours = 0.087
2023/02/16 08:55:41 AM > ep = 224 | total steps = 447984 | reward = 0 | length = 2000 | hours = 0.087
2023/02/16 08:55:41 AM > ep = 225 | total steps = 447984 | reward = 0 | length = 2000 | hours = 0.087
2023/02/16 08:55:43 AM > ep = 226 | total steps = 450800 | reward = 0 | length = 2000 | hours = 0.088
2023/02/16 08:55:44 AM > ep = 227 | total steps = 452752 | reward = 0.44784999999999997 | length = 1227 | hours = 0.088
2023/02/16 08:55:48 AM > ep = 228 | total steps = 456960 | reward = 0 | length = 2000 | hours = 0.089
2023/02/16 08:55:52 AM > ep = 229 | total steps = 463072 | reward = 0.8281000000000001 | length = 382 | hours = 0.091
2023/02/16 08:55:52 AM > ep = 230 | total steps = 463712 | reward = 0 | length = 2000 | hours = 0.091
