"Step","melting_runseed=4 - training/episode/reward","melting_runseed=4 - training/episode/reward__MIN","melting_runseed=4 - training/episode/reward__MAX","melting_runseed=3 - training/episode/reward","melting_runseed=3 - training/episode/reward__MIN","melting_runseed=3 - training/episode/reward__MAX","melting_runseed=2 - training/episode/reward","melting_runseed=2 - training/episode/reward__MIN","melting_runseed=2 - training/episode/reward__MAX","melting_runseed=1 - training/episode/reward","melting_runseed=1 - training/episode/reward__MIN","melting_runseed=1 - training/episode/reward__MAX","melting_runseed=0 - training/episode/reward","melting_runseed=0 - training/episode/reward__MIN","melting_runseed=0 - training/episode/reward__MAX"
"531712","","","","","","","","","","-5000","-5000","-5000","","",""
"535552","","","","4363","4363","4363","","","","","","","","",""
"538176","","","","","","","","","","","","","-5000","-5000","-5000"
"544448","","","","","","","","","","","","","-5000","-5000","-5000"
"553344","-5000","-5000","-5000","","","","","","","","","","","",""
"555584","","","","1318","1318","1318","","","","","","","","",""
"555776","","","","-5000","-5000","-5000","","","","","","","","",""
"556544","","","","","","","","","","1054","1054","1054","","",""
"556928","","","","4666","4666","4666","","","","","","","","",""
"559488","","","","","","","","","","1257","1257","1257","","",""
"560512","","","","","","","","","","-5000","-5000","-5000","","",""
"560640","","","","99","99","99","","","","","","","","",""
"564608","","","","","","","","","","1177","1177","1177","","",""
"569856","","","","1095","1095","1095","","","","","","","","",""
"570304","","","","-5000","-5000","-5000","","","","","","","","",""
"581888","","","","","","","907","907","907","","","","","",""
"587328","822","822","822","","","","","","","","","","","",""
"587456","","","","4104","4104","4104","","","","","","","","",""
"587584","","","","","","","","","","","","","3757","3757","3757"
"594880","704","704","704","","","","","","","","","","","",""
"596544","3857","3857","3857","","","","","","","","","","","",""
"601472","","","","","","","","","","-5000","-5000","-5000","","",""
"602688","","","","","","","2033","2033","2033","","","","","",""
"605568","537","537","537","","","","537","537","537","","","","","",""
"615232","","","","","","","","","","-5000","-5000","-5000","","",""
"615424","383","383","383","","","","","","","","","","","",""
"620416","","","","","","","305","305","305","","","","","",""
"628928","","","","","","","172","172","172","","","","","",""
"631808","4382","4382","4382","","","","","","","","","","","",""
"632512","","","","","","","","","","-5000","-5000","-5000","","",""
"637184","","","","","","","1669","1669","1669","","","","","",""
"639936","","","","","","","","","","","","","-5000","-5000","-5000"
"643456","","","","","","","","","","","","","4127","4127","4127"
"649152","","","","","","","","","","","","","343","343","343"
"660608","","","","","","","2936","2936","2936","","","","","",""
"664000","","","","","","","1105","1105","1105","","","","","",""
"665600","","","","","","","","","","","","","2443","2443","2443"
"671424","","","","","","","3180","3180","3180","","","","","",""
"671680","","","","1715","1715","1715","","","","","","","","",""
"671744","","","","","","","","","","-5000","-5000","-5000","","",""
"679616","","","","2741","2741","2741","","","","","","","","",""
"680832","-5000","-5000","-5000","","","","","","","","","","","",""
"685632","","","","","","","","","","","","","4430","4430","4430"
"696448","","","","","","","","","","","","","1985","1985","1985"
"699840","-5000","-5000","-5000","","","","682","682","682","","","","","",""
"704000","","","","","","","","","","3999","3999","3999","","",""
"704704","","","","308","308","308","","","","","","","","",""
"706048","","","","","","","396","396","396","","","","","",""
"708928","","","","","","","","","","","","","-5000","-5000","-5000"
"710080","-5000","-5000","-5000","","","","","","","","","","","",""
"714560","","","","","","","","","","3834","3834","3834","","",""
"719488","","","","","","","","","","","","","4361","4361","4361"
"729600","","","","","","","","","","","","","2701","2701","2701"
"735488","","","","","","","-5000","-5000","-5000","","","","","",""
"736448","","","","","","","","","","3488","3488","3488","","",""
"738944","","","","2135","2135","2135","","","","","","","","",""
"745856","","","","","","","","","","2187","2187","2187","","",""
"748160","","","","","","","","","","1537","1537","1537","","",""
"749440","","","","","","","","","","3289","3289","3289","","",""
"750592","","","","","","","","","","","","","-5000","-5000","-5000"
"766016","","","","","","","-5000","-5000","-5000","","","","","",""
"771264","-5000","-5000","-5000","","","","","","","","","","","",""
"772992","","","","","","","2003","2003","2003","","","","","",""
"773248","-5000","-5000","-5000","","","","","","","","","","","",""
"780800","","","","","","","1103","1103","1103","","","","","",""
"784960","","","","","","","","","","","","","4135","4135","4135"
"788480","","","","","","","2679","2679","2679","","","","","",""
"791680","","","","","","","","","","-5000","-5000","-5000","","",""
"795328","","","","","","","-5000","-5000","-5000","","","","","",""
"796288","","","","","","","","","","","","","2557","2557","2557"
"797056","","","","","","","","","","","","","-5000","-5000","-5000"
"802624","","","","-5000","-5000","-5000","","","","","","","","",""
"803008","","","","","","","-5000","-5000","-5000","","","","","",""
"803520","","","","","","","","","","840","840","840","","",""
"804928","","","","-5000","-5000","-5000","","","","","","","-5000","-5000","-5000"
"804992","","","","1166","1166","1166","","","","","","","","",""
"807680","","","","","","","","","","","","","2082","2082","2082"
"809984","","","","-5000","-5000","-5000","","","","","","","","",""
"811200","","","","","","","","","","","","","2795","2795","2795"
"812736","","","","-5000","-5000","-5000","","","","","","","","",""
"813632","1769","1769","1769","","","","","","","","","","","",""
"815232","","","","","","","","","","","","","3255","3255","3255"
"815488","","","","","","","3193","3193","3193","","","","","",""
"815680","","","","3578","3578","3578","","","","","","","","",""
"816256","-5000","-5000","-5000","","","","","","","","","","","",""
"820160","","","","","","","2184","2184","2184","","","","","",""
"820352","-5000","-5000","-5000","","","","","","","","","","","",""
"820480","","","","","","","","","","2907","2907","2907","","",""
"821568","249","249","249","","","","","","","","","","","",""
"826432","-5000","-5000","-5000","","","","","","","","","","","",""
"827520","","","","","","","","","","","","","4168","4168","4168"
"828032","","","","-5000","-5000","-5000","","","","","","","","",""
"828288","","","","-5000","-5000","-5000","","","","","","","","",""
"828736","","","","","","","1640","1640","1640","","","","4137","4137","4137"
"830208","","","","","","","1161","1161","1161","","","","","",""
"831040","","","","","","","","","","","","","-5000","-5000","-5000"
"831488","","","","-5000","-5000","-5000","","","","","","","","",""
"833856","","","","","","","","","","","","","-5000","-5000","-5000"
"834304","1963","1963","1963","","","","","","","","","","","",""
"834496","","","","1960","1960","1960","","","","","","","","",""
"834752","","","","","","","-5000","-5000","-5000","","","","","",""
"835520","","","","849","849","849","","","","","","","","",""
"836800","","","","","","","","","","","","","2109","2109","2109"
"837120","","","","","","","","","","-5000","-5000","-5000","","",""
"837184","1918","1918","1918","","","","","","","","","","","",""
"837696","1910","1910","1910","","","","","","","","","","","",""
"837824","","","","","","","-5000","-5000","-5000","","","","","",""
"840640","-5000","-5000","-5000","","","","","","","","","","","",""
"843008","","","","","","","","","","-5000","-5000","-5000","","",""
"847872","-5000","-5000","-5000","","","","","","","","","","","",""
"851712","","","","","","","","","","-5000","-5000","-5000","","",""
"856704","","","","","","","1076","1076","1076","","","","","",""
"863616","","","","","","","","","","","","","4256","4256","4256"
"864256","","","","","","","","","","-5000","-5000","-5000","","",""
"865216","","","","","","","","","","","","","3613","3613","3613"
"866368","1462","1462","1462","","","","","","","","","","","",""
"866688","","","","","","","2950","2950","2950","","","","","",""
"867200","","","","-5000","-5000","-5000","","","","","","","","",""
"870400","","","","","","","-5000","-5000","-5000","","","","","",""
"871040","","","","","","","","","","","","","1389","1389","1389"
"872448","","","","","","","1367","1367","1367","","","","","",""
"876544","","","","","","","","","","-5000","-5000","-5000","","",""
"876608","","","","-5000","-5000","-5000","","","","","","","","",""
"876928","","","","-5000","-5000","-5000","","","","","","","","",""
"877504","","","","","","","4259","4259","4259","","","","","",""
"878848","-5000","-5000","-5000","","","","","","","","","","","",""
"880192","","","","","","","","","","2877","2877","2877","","",""
"882880","-5000","-5000","-5000","","","","","","","","","","","",""
"884928","","","","","","","","","","-5000","-5000","-5000","","",""
"889856","","","","-5000","-5000","-5000","","","","","","","","",""
"890624","","","","","","","","","","4164","4164","4164","","",""
"894208","","","","","","","445","445","445","","","","","",""
"894400","","","","","","","309","309","309","","","","","",""
"894528","","","","3768","3768","3768","","","","","","","","",""
"902208","","","","","","","","","","","","","2558","2558","2558"
"908736","4249","4249","4249","","","","","","","","","","","",""
"909440","","","","","","","","","","","","","3967","3967","3967"
"909888","","","","782","782","782","","","","","","","","",""
"920448","","","","2769","2769","2769","","","","","","","","",""
"926016","","","","3230","3230","3230","","","","","","","3977","3977","3977"
"932160","","","","","","","","","","","","","2777","2777","2777"
"935040","","","","","","","","","","4262","4262","4262","","",""
"935424","-5000","-5000","-5000","","","","","","","","","","","",""
"936064","3463","3463","3463","","","","","","","","","","","",""
"936320","","","","","","","","","","2974","2974","2974","","",""
"936512","","","","","","","","","","-5000","-5000","-5000","","",""
"936960","","","","","","","3648","3648","3648","","","","","",""
"940544","","","","","","","","","","","","","3195","3195","3195"
"942080","","","","","","","4518","4518","4518","","","","","",""
"944128","-5000","-5000","-5000","","","","","","","","","","","",""
"948288","","","","","","","","","","44","44","44","","",""
"948992","","","","","","","","","","","","","1985","1985","1985"
"949440","","","","","","","","","","3992","3992","3992","","",""
"951616","-5000","-5000","-5000","","","","","","","","","","","",""
"951808","-5000","-5000","-5000","","","","","","","","","","","",""
"953856","","","","","","","","","","","","","4193","4193","4193"
"954880","","","","","","","3663","3663","3663","","","","","",""
"956480","","","","","","","","","","","","","2454","2454","2454"
"959040","3336","3336","3336","","","","","","","","","","","",""
"959936","","","","","","","","","","","","","-5000","-5000","-5000"
"968000","","","","553","553","553","","","","","","","","",""
"968192","","","","","","","","","","-5000","-5000","-5000","","",""
"969024","","","","","","","","","","-5000","-5000","-5000","","",""
"971584","3836","3836","3836","","","","","","","","","","","",""
"978496","","","","","","","4374","4374","4374","","","","","",""
"980160","","","","","","","","","","","","","-5000","-5000","-5000"
"983744","3361","3361","3361","","","","","","","","","","","",""
"987200","","","","2362","2362","2362","","","","","","","","",""
"994048","","","","","","","","","","-5000","-5000","-5000","","",""
"994880","-5000","-5000","-5000","","","","","","","","","","","",""
"995264","","","","3855","3855","3855","","","","","","","","",""
"999104","","","","","","","","","","4022","4022","4022","","",""
"1006720","","","","","","","-5000","-5000","-5000","","","","","",""
"1015616","","","","","","","","","","3744","3744","3744","","",""
"1022144","","","","","","","","","","","","","3842","3842","3842"
"1022464","","","","3728","3728","3728","","","","","","","","",""
"1024128","","","","","","","","","","3815","3815","3815","","",""
"1024512","","","","-5000","-5000","-5000","","","","","","","","",""
"1030080","-5000","-5000","-5000","","","","","","","","","","","",""
"1031744","","","","","","","","","","","","","892","892","892"
"1034560","","","","","","","","","","-5000","-5000","-5000","","",""
"1035776","","","","","","","","","","1926","1926","1926","","",""
"1036672","","","","","","","","","","","","","3012","3012","3012"
"1036992","3751","3751","3751","","","","","","","","","","","",""
"1039808","","","","","","","","","","","","","4446","4446","4446"
"1040192","","","","-5000","-5000","-5000","","","","","","","","",""
