"Step","melting_self_runseed=4 - training/episode/reward","melting_self_runseed=4 - training/episode/reward__MIN","melting_self_runseed=4 - training/episode/reward__MAX","melting_self_runseed=3 - training/episode/reward","melting_self_runseed=3 - training/episode/reward__MIN","melting_self_runseed=3 - training/episode/reward__MAX","melting_self_runseed=2 - training/episode/reward","melting_self_runseed=2 - training/episode/reward__MIN","melting_self_runseed=2 - training/episode/reward__MAX","melting_self_runseed=1 - training/episode/reward","melting_self_runseed=1 - training/episode/reward__MIN","melting_self_runseed=1 - training/episode/reward__MAX","melting_self_runseed=0 - training/episode/reward","melting_self_runseed=0 - training/episode/reward__MIN","melting_self_runseed=0 - training/episode/reward__MAX"
"521920","","","","","","","","","","","","","-5000","-5000","-5000"
"523136","","","","","","","-5000","-5000","-5000","","","","","",""
"523200","","","","-5000","-5000","-5000","","","","","","","","",""
"523968","","","","","","","","","","","","","-5000","-5000","-5000"
"533824","","","","","","","3111","3111","3111","","","","","",""
"536064","","","","","","","1623","1623","1623","","","","","",""
"536448","","","","","","","-5000","-5000","-5000","","","","","",""
"537536","","","","","","","-5000","-5000","-5000","","","","","",""
"537920","","","","","","","-5000","-5000","-5000","","","","","",""
"538496","","","","","","","","","","","","","-5000","-5000","-5000"
"542272","","","","","","","-5000","-5000","-5000","","","","","",""
"543680","","","","","","","","","","-5000","-5000","-5000","","",""
"546560","","","","","","","","","","","","","-5000","-5000","-5000"
"550592","","","","","","","","","","","","","-5000","-5000","-5000"
"550848","1601","1601","1601","","","","","","","","","","","",""
"559808","","","","-5000","-5000","-5000","","","","","","","","",""
"566848","","","","-5000","-5000","-5000","","","","","","","","",""
"568896","","","","-5000","-5000","-5000","","","","","","","","",""
"579776","","","","940","940","940","","","","","","","","",""
"580672","","","","","","","","","","-5000","-5000","-5000","","",""
"580736","","","","","","","","","","","","","1862","1862","1862"
"593728","","","","","","","3793","3793","3793","","","","","",""
"596224","","","","","","","","","","","","","683","683","683"
"598976","","","","","","","1942","1942","1942","","","","","",""
"607232","3259","3259","3259","","","","","","","","","","","",""
"609472","","","","","","","","","","","","","2919","2919","2919"
"609536","","","","","","","3421","3421","3421","","","","","",""
"611328","3569","3569","3569","","","","","","","","","","","",""
