"Step","melting_self_runseed=4 - training/episode/reward","melting_self_runseed=4 - training/episode/reward__MIN","melting_self_runseed=4 - training/episode/reward__MAX","melting_self_runseed=3 - training/episode/reward","melting_self_runseed=3 - training/episode/reward__MIN","melting_self_runseed=3 - training/episode/reward__MAX","melting_self_runseed=2 - training/episode/reward","melting_self_runseed=2 - training/episode/reward__MIN","melting_self_runseed=2 - training/episode/reward__MAX","melting_self_runseed=1 - training/episode/reward","melting_self_runseed=1 - training/episode/reward__MIN","melting_self_runseed=1 - training/episode/reward__MAX","melting_self_runseed=0 - training/episode/reward","melting_self_runseed=0 - training/episode/reward__MIN","melting_self_runseed=0 - training/episode/reward__MAX"
"11006272","","","","4254","4254","4254","","","","","","","","",""
"11007232","","","","","","","4368","4368","4368","","","","","",""
"11007616","","","","","","","3058","3058","3058","","","","","",""
"11008640","","","","4156","4156","4156","","","","","","","","",""
"11009280","","","","","","","4664","4664","4664","","","","","",""
"11009536","4246","4246","4246","","","","","","","","","","","",""
"11010112","","","","","","","","","","","","","2726","2726","2726"
"11011712","3342","3342","3342","","","","","","","","","","","",""
"11013568","3442","3442","3442","","","","","","","","","","","",""
"11014464","","","","","","","","","","4413","4413","4413","","",""
"11016000","","","","3860","3860","3860","","","","","","","","",""
"11016832","","","","","","","","","","","","","3630","3630","3630"
"11017536","","","","","","","","","","951","951","951","","",""
"11017728","4375","4375","4375","","","","","","","","","","","",""
"11017792","4102","4102","4102","","","","","","","","","","","",""
"11018560","","","","2675","2675","2675","","","","","","","","",""
"11019456","","","","4095","4095","4095","","","","","","","","",""
"11019776","3921","3921","3921","","","","","","","","","","","",""
"11020032","","","","","","","","","","","","","4519","4519","4519"
"11020480","","","","","","","","","","","","","3302","3302","3302"
"11020736","","","","","","","","","","","","","4583","4583","4583"
"11020928","","","","","","","3437","3437","3437","","","","","",""
"11021504","","","","","","","","","","","","","4230","4230","4230"
"11021696","","","","2935","2935","2935","","","","","","","","",""
"11023104","","","","3395","3395","3395","","","","","","","","",""
"11025472","4643","4643","4643","","","","","","","","","","","",""
"11025984","","","","","","","","","","","","","4598","4598","4598"
"11027136","","","","","","","4523","4523","4523","","","","","",""
"11027200","4671","4671","4671","","","","","","","","","","","",""
"11029504","","","","","","","","","","4158","4158","4158","","",""
"11031424","","","","","","","4106","4106","4106","","","","","",""
"11033856","","","","","","","2620","2620","2620","","","","","",""
"11034368","","","","4598","4598","4598","","","","","","","","",""
"11034432","","","","3819","3819","3819","","","","","","","","",""
"11034752","","","","","","","3923","3923","3923","","","","","",""
"11035776","4601","4601","4601","","","","","","","","","","","",""
"11037440","","","","1288","1288","1288","","","","","","","","",""
"11037568","","","","4588","4588","4588","","","","","","","","",""
"11037632","2992","2992","2992","","","","","","","","","","","",""
"11039040","","","","","","","4598","4598","4598","","","","","",""
"11039104","4528","4528","4528","","","","","","","","","","","",""
"11041344","","","","","","","4349","4349","4349","","","","","",""
"11042112","2721","2721","2721","","","","","","","","","","","",""
"11042240","","","","","","","3543","3543","3543","","","","","",""
"11045696","","","","4384","4384","4384","","","","","","","","",""
"11046848","","","","","","","","","","","","","2562","2562","2562"
"11047104","4023","4023","4023","","","","","","","","","","","",""
"11048448","4184","4184","4184","","","","","","","","","","","",""
"11050496","","","","4226","4226","4226","","","","","","","","",""
"11052544","4345","4345","4345","","","","","","","","","","","",""
"11052928","","","","","","","4857","4857","4857","","","","","",""
"11053952","3852","3852","3852","","","","","","","","","","","",""
"11055040","","","","","","","","","","","","","3729","3729","3729"
"11055104","","","","1792","1792","1792","","","","","","","","",""
"11055296","","","","","","","4782","4782","4782","","","","","",""
"11057472","","","","","","","","","","","","","3397","3397","3397"
"11057600","","","","4279","4279","4279","","","","","","","","",""
"11057856","","","","","","","","","","4376","4376","4376","","",""
"11058368","","","","","","","4234","4234","4234","","","","","",""
"11058944","","","","","","","4562","4562","4562","","","","","",""
"11059584","","","","2512","2512","2512","","","","","","","","",""
"11060992","","","","4632","4632","4632","","","","","","","","",""
"11061632","4315","4315","4315","","","","","","","","","","","",""
"11062336","4424","4424","4424","","","","3973","3973","3973","","","","","",""
"11065216","2421","2421","2421","","","","","","","","","","","",""
"11066240","","","","","","","","","","","","","3952","3952","3952"
"11066752","","","","","","","","","","4385","4385","4385","","",""
"11066944","","","","","","","","","","4481","4481","4481","","",""
"11067456","","","","4196","4196","4196","","","","","","","","",""
"11068480","","","","","","","4246","4246","4246","","","","","",""
"11071616","2504","2504","2504","","","","","","","","","","","",""
"11073280","","","","4741","4741","4741","","","","","","","","",""
"11075520","","","","","","","","","","4100","4100","4100","","",""
"11075648","","","","4003","4003","4003","","","","","","","","",""
"11076608","3346","3346","3346","","","","","","","","","","","",""
"11076672","","","","4347","4347","4347","","","","","","","","",""
"11078080","","","","","","","","","","4134","4134","4134","","",""
"11078208","","","","4414","4414","4414","","","","","","","","",""
"11078272","","","","4081","4081","4081","","","","","","","","",""
"11078720","","","","","","","","","","3742","3742","3742","","",""
"11078848","4737","4737","4737","","","","","","","","","","","",""
"11080064","4077","4077","4077","","","","","","","","","","","",""
"11080832","","","","","","","","","","3994","3994","3994","","",""
"11081472","","","","","","","","","","","","","3881","3881","3881"
"11082176","","","","","","","4538","4538","4538","","","","","",""
"11082816","","","","4845","4845","4845","","","","","","","","",""
"11082880","","","","4331","4331","4331","","","","","","","4854","4854","4854"
"11083136","","","","","","","","","","","","","3304","3304","3304"
"11083392","","","","","","","","","","","","","4045","4045","4045"
"11085440","","","","","","","","","","3021","3021","3021","","",""
"11086528","4622","4622","4622","","","","","","","","","","","",""
"11086848","","","","","","","","","","3108","3108","3108","","",""
"11089152","","","","","","","","","","1390","1390","1390","","",""
"11090240","","","","","","","3605","3605","3605","","","","","",""
"11090816","3194","3194","3194","","","","","","","","","","","",""
"11091456","","","","","","","","","","","","","4543","4543","4543"
"11093568","4362","4362","4362","","","","","","","","","","","",""
"11095616","","","","4651","4651","4651","","","","","","","","",""
"11096128","4773","4773","4773","","","","","","","","","","","",""
"11096512","","","","","","","1814","1814","1814","","","","","",""
"11097216","1628","1628","1628","","","","","","","","","","","",""
"11098880","","","","","","","4229","4229","4229","","","","","",""
"11100288","4630","4630","4630","","","","","","","","","","","",""
"11101056","","","","","","","4020","4020","4020","","","","3344","3344","3344"
"11104192","","","","4254","4254","4254","","","","","","","","",""
"11104832","4113","4113","4113","","","","","","","","","","","",""
"11105728","","","","-5000","-5000","-5000","","","","","","","","",""
"11106816","3917","3917","3917","","","","","","","","","","","",""
"11107776","","","","4269","4269","4269","","","","","","","","",""
"11109376","","","","","","","","","","3146","3146","3146","","",""
"11110656","4790","4790","4790","","","","","","","","","","","",""
"11111040","","","","4319","4319","4319","","","","","","","","",""
"11112384","","","","","","","4380","4380","4380","","","","","",""
"11112640","","","","","","","4513","4513","4513","","","","","",""
"11112704","4166","4166","4166","","","","","","","","","","","",""
"11113600","","","","","","","3370","3370","3370","","","","","",""
"11114560","","","","3952","3952","3952","","","","","","","2850","2850","2850"
"11114624","","","","","","","3819","3819","3819","","","","","",""
"11116416","","","","","","","4045","4045","4045","","","","","",""
"11116672","","","","","","","","","","4181","4181","4181","","",""
"11116864","","","","","","","","","","","","","2686","2686","2686"
"11117184","","","","","","","4677","4677","4677","","","","","",""
"11118144","4405","4405","4405","","","","","","","","","","4583","4583","4583"
"11118720","","","","","","","","","","2367","2367","2367","","",""
"11118912","879","879","879","","","","","","","","","","","",""
"11120640","3999","3999","3999","","","","","","","","","","","",""
"11120960","","","","","","","4859","4859","4859","4315","4315","4315","","",""
"11121792","","","","","","","","","","2936","2936","2936","","",""
"11123008","4264","4264","4264","","","","","","","","","","","",""
"11125760","","","","","","","","","","4744","4744","4744","","",""
"11126080","","","","","","","3233","3233","3233","","","","","",""
"11126656","4867","4867","4867","","","","","","","","","","","",""
"11127232","","","","","","","","","","","","","4652","4652","4652"
"11128768","","","","","","","","","","4034","4034","4034","","",""
"11128832","","","","","","","692","692","692","","","","","",""
"11129152","","","","","","","3847","3847","3847","","","","","",""
"11129600","4724","4724","4724","","","","","","","4104","4104","4104","","",""
"11130048","4535","4535","4535","","","","","","","","","","","",""
"11130304","","","","","","","","","","3959","3959","3959","","",""
"11130752","","","","","","","","","","2549","2549","2549","","",""
"11131008","","","","","","","","","","3854","3854","3854","","",""
"11131392","","","","3534","3534","3534","","","","","","","","",""
"11132608","","","","","","","4374","4374","4374","","","","","",""
"11134208","4322","4322","4322","","","","","","","","","","","",""
"11134720","","","","","","","","","","4346","4346","4346","","",""
"11136896","","","","3650","3650","3650","","","","","","","","",""
"11137152","","","","","","","3831","3831","3831","","","","","",""
"11138368","3021","3021","3021","","","","","","","","","","","",""
"11139136","","","","","","","","","","","","","3724","3724","3724"
"11141120","","","","","","","","","","3534","3534","3534","","",""
"11141376","","","","","","","4884","4884","4884","","","","","",""
"11142208","","","","2681","2681","2681","","","","","","","","",""
"11144704","1225","1225","1225","","","","","","","","","","","",""
"11145152","","","","","","","","","","4067","4067","4067","","",""
"11145280","","","","","","","4044","4044","4044","","","","","",""
"11145728","3566","3566","3566","","","","","","","","","","","",""
"11145984","","","","3335","3335","3335","","","","","","","","",""
"11146432","","","","","","","","","","","","","3101","3101","3101"
"11147392","","","","","","","","","","","","","1904","1904","1904"
"11147456","","","","","","","","","","1243","1243","1243","","",""
"11147968","4649","4649","4649","","","","","","","","","","","",""
"11149120","","","","","","","2580","2580","2580","","","","4582","4582","4582"
"11149184","","","","4433","4433","4433","","","","","","","","",""
"11149440","","","","3004","3004","3004","","","","","","","","",""
"11149952","4620","4620","4620","","","","","","","","","","","",""
"11153024","","","","","","","","","","","","","4594","4594","4594"
"11155648","2084","2084","2084","","","","","","","","","","","",""
"11155712","4335","4335","4335","","","","","","","","","","","",""
"11157120","","","","4039","4039","4039","","","","","","","","",""
"11158208","4742","4742","4742","","","","","","","","","","","",""
"11158848","","","","","","","4337","4337","4337","","","","","",""
"11160192","","","","","","","4257","4257","4257","","","","","",""
"11160320","","","","","","","4508","4508","4508","","","","","",""
"11160384","","","","","","","","","","","","","3789","3789","3789"
"11160768","4111","4111","4111","","","","","","","","","","","",""
"11161088","","","","","","","","","","3600","3600","3600","","",""
"11161472","","","","","","","","","","","","","2797","2797","2797"
"11161984","","","","","","","","","","","","","4757","4757","4757"
"11162432","4739","4739","4739","","","","","","","","","","","",""
"11163200","","","","4087","4087","4087","","","","","","","","",""
"11163456","","","","","","","","","","4551","4551","4551","","",""
"11166208","","","","4826","4826","4826","","","","","","","","",""
"11166464","","","","","","","4208","4208","4208","","","","","",""
"11169728","","","","","","","","","","2294","2294","2294","","",""
"11169920","","","","","","","","","","1013","1013","1013","","",""
"11171712","","","","","","","","","","","","","1305","1305","1305"
"11172160","","","","2385","2385","2385","","","","","","","","",""
"11173248","","","","4083","4083","4083","","","","","","","","",""
"11173504","","","","","","","2837","2837","2837","","","","","",""
"11175808","4177","4177","4177","","","","","","","","","","","",""
"11175872","","","","2179","2179","2179","","","","","","","","",""
"11177984","","","","","","","","","","3920","3920","3920","","",""
"11179840","","","","","","","","","","3356","3356","3356","","",""
"11182912","","","","","","","","","","2031","2031","2031","","",""
"11186624","","","","","","","","","","4142","4142","4142","","",""
"11187392","","","","","","","","","","4395","4395","4395","","",""
"11187712","","","","3582","3582","3582","","","","","","","","",""
"11188224","","","","","","","4325","4325","4325","","","","","",""
"11188736","","","","","","","4404","4404","4404","","","","","",""
"11189568","4412","4412","4412","","","","","","","","","","","",""
"11190272","","","","","","","","","","","","","4419","4419","4419"
"11192384","","","","3553","3553","3553","","","","","","","","",""
"11192896","","","","4640","4640","4640","","","","","","","","",""
"11192960","","","","","","","3432","3432","3432","","","","","",""
"11193024","","","","","","","","","","","","","4667","4667","4667"
"11194240","4748","4748","4748","","","","","","","","","","","",""
"11195008","4676","4676","4676","","","","","","","","","","","",""
"11195776","","","","","","","4626","4626","4626","","","","","",""
"11196352","4483","4483","4483","","","","","","","","","","","",""
"11197248","","","","","","","","","","4141","4141","4141","","",""
"11197312","4453","4453","4453","","","","","","","","","","","",""
"11198080","","","","","","","","","","","","","2229","2229","2229"
"11198144","3789","3789","3789","","","","","","","","","","","",""
"11198208","4612","4612","4612","","","","","","","","","","","",""
"11198400","4636","4636","4636","","","","","","","","","","","",""
"11198592","","","","3562","3562","3562","","","","","","","","",""
"11198656","","","","","","","","","","","","","4572","4572","4572"
"11199296","","","","","","","4182","4182","4182","","","","","",""
"11200256","4136","4136","4136","","","","","","","","","","","",""
"11200576","","","","","","","","","","4075","4075","4075","","",""
"11200768","","","","","","","","","","2689","2689","2689","","",""
"11202112","","","","","","","","","","","","","4815","4815","4815"
"11202688","","","","","","","","","","","","","3803","3803","3803"
"11202752","","","","","","","4374","4374","4374","","","","","",""
"11204544","4643","4643","4643","","","","","","","","","","","",""
"11204608","","","","4550","4550","4550","","","","","","","","",""
"11204736","","","","","","","","","","","","","4354","4354","4354"
"11205952","","","","","","","","","","","","","2768","2768","2768"
"11206912","","","","","","","3177","3177","3177","","","","","",""
"11207616","","","","","","","4187","4187","4187","","","","","",""
"11209152","","","","","","","4391","4391","4391","","","","","",""
"11209536","","","","","","","","","","4584","4584","4584","","",""
"11209792","","","","4331","4331","4331","","","","","","","","",""
"11210688","","","","2931","2931","2931","","","","","","","","",""
"11211008","","","","","","","","","","","","","4226","4226","4226"
"11211776","","","","","","","","","","3734","3734","3734","","",""
"11211840","3937","3937","3937","","","","","","","","","","","",""
"11213184","","","","","","","3839","3839","3839","","","","","",""
"11213696","","","","","","","4317","4317","4317","","","","","",""
"11216832","","","","","","","","","","2724","2724","2724","","",""
"11218368","","","","4043","4043","4043","","","","","","","","",""
"11218624","","","","","","","","","","","","","-5000","-5000","-5000"
"11219264","","","","","","","","","","","","","2341","2341","2341"
"11219968","","","","3323","3323","3323","","","","","","","","",""
"11220032","","","","","","","","","","3434","3434","3434","","",""
"11222080","","","","","","","","","","","","","4602","4602","4602"
"11222400","","","","","","","","","","","","","4043","4043","4043"
"11223616","","","","","","","4674","4674","4674","","","","","",""
"11223936","","","","3354","3354","3354","","","","","","","","",""
"11224128","","","","","","","4583","4583","4583","","","","","",""
"11229056","","","","2352","2352","2352","","","","","","","","",""
"11229568","4385","4385","4385","","","","","","","","","","","",""
"11230336","","","","4845","4845","4845","","","","","","","","",""
"11230720","","","","","","","","","","4726","4726","4726","","",""
"11233152","","","","","","","4366","4366","4366","","","","","",""
"11236224","","","","","","","4475","4475","4475","","","","","",""
"11236480","","","","","","","4039","4039","4039","","","","","",""
"11236672","3774","3774","3774","","","","","","","","","","","",""
"11237056","","","","","","","","","","","","","4812","4812","4812"
"11237248","","","","","","","4555","4555","4555","","","","","",""
"11237888","","","","4297","4297","4297","","","","","","","","",""
"11239104","","","","","","","","","","","","","4680","4680","4680"
"11239872","","","","","","","","","","3299","3299","3299","","",""
"11239936","","","","","","","","","","","","","4383","4383","4383"
"11240512","","","","","","","","","","","","","4460","4460","4460"
"11241472","","","","","","","3732","3732","3732","","","","","",""
"11241600","","","","","","","4727","4727","4727","","","","","",""
"11241728","","","","","","","3553","3553","3553","","","","","",""
"11242304","","","","","","","","","","2434","2434","2434","","",""
"11243712","4483","4483","4483","","","","","","","","","","","",""
"11244416","","","","","","","4449","4449","4449","","","","","",""
"11244928","","","","4585","4585","4585","","","","","","","","",""
"11245952","","","","","","","4800","4800","4800","","","","","",""
"11246080","","","","","","","","","","","","","4250","4250","4250"
"11246528","","","","","","","","","","","","","1492","1492","1492"
"11247680","4621","4621","4621","","","","","","","","","","","",""
"11248128","","","","","","","","","","","","","3782","3782","3782"
"11248192","","","","","","","","","","","","","4151","4151","4151"
"11248640","","","","4176","4176","4176","","","","","","","","",""
"11248768","","","","","","","","","","","","","4630","4630","4630"
"11249344","","","","","","","","","","","","","4562","4562","4562"
"11249920","","","","","","","","","","","","","4128","4128","4128"
"11251200","","","","","","","","","","3730","3730","3730","","",""
"11251264","4270","4270","4270","","","","","","","","","","","",""
"11252096","-5000","-5000","-5000","","","","","","","","","","","",""
"11252736","","","","2908","2908","2908","","","","","","","","",""
"11255232","","","","","","","4087","4087","4087","","","","","",""
"11255488","","","","","","","4848","4848","4848","","","","","",""
"11256448","","","","","","","","","","3537","3537","3537","","",""
"11258816","1466","1466","1466","","","","","","","","","","","",""
"11259008","","","","","","","","","","","","","4120","4120","4120"
"11259648","","","","","","","2718","2718","2718","","","","","",""
"11260288","","","","","","","","","","4340","4340","4340","","",""
"11260992","","","","","","","","","","2562","2562","2562","","",""
"11262976","4330","4330","4330","","","","","","","","","","","",""
"11264064","","","","","","","","","","","","","4349","4349","4349"
"11264128","","","","","","","","","","4115","4115","4115","","",""
"11264576","","","","","","","4557","4557","4557","","","","","",""
"11264960","","","","3119","3119","3119","","","","","","","","",""
"11266624","","","","","","","","","","3102","3102","3102","","",""
"11266688","","","","","","","4312","4312","4312","","","","","",""
"11267072","","","","4104","4104","4104","","","","","","","","",""
"11267968","","","","","","","","","","3117","3117","3117","","",""
"11268160","","","","","","","","","","","","","4107","4107","4107"
"11268224","","","","","","","","","","4430","4430","4430","","",""
"11268800","","","","","","","","","","","","","4288","4288","4288"
"11270144","2352","2352","2352","","","","","","","","","","","",""
"11271040","","","","","","","3672","3672","3672","4755","4755","4755","","",""
"11271296","4711","4711","4711","","","","","","","","","","","",""
"11274624","3830","3830","3830","","","","","","","","","","","",""
"11277632","","","","4330","4330","4330","","","","","","","","",""
"11278336","","","","","","","4470","4470","4470","","","","","",""
"11280000","","","","","","","","","","2829","2829","2829","","",""
"11280896","","","","","","","","","","","","","4488","4488","4488"
"11281408","","","","","","","","","","3531","3531","3531","","",""
"11281472","","","","","","","","","","3756","3756","3756","","",""
"11281600","","","","4600","4600","4600","","","","","","","","",""
"11281856","","","","","","","","","","","","","2864","2864","2864"
"11282368","","","","","","","4138","4138","4138","","","","","",""
"11284352","","","","","","","","","","4844","4844","4844","","",""
"11285120","","","","4249","4249","4249","","","","","","","","",""
"11285440","","","","4713","4713","4713","","","","","","","","",""
"11291776","","","","","","","","","","2961","2961","2961","","",""
"11292096","","","","","","","","","","","","","3531","3531","3531"
"11293504","4559","4559","4559","","","","","","","","","","","",""
"11295168","","","","","","","2406","2406","2406","","","","","",""
"11296064","138","138","138","","","","","","","","","","","",""
"11297920","4312","4312","4312","","","","","","","","","","","",""
"11298176","4843","4843","4843","","","","","","","","","","","",""
"11299904","4494","4494","4494","","","","","","","","","","","",""
"11300288","","","","3109","3109","3109","","","","","","","","",""
"11300544","","","","3220","3220","3220","","","","","","","","",""
"11301952","","","","","","","1973","1973","1973","","","","","",""
"11302912","","","","","","","","","","4077","4077","4077","","",""
"11303680","","","","","","","4646","4646","4646","","","","","",""
"11304000","","","","","","","","","","4494","4494","4494","","",""
"11304640","","","","","","","4607","4607","4607","","","","","",""
"11304704","","","","","","","4014","4014","4014","","","","","",""
"11305088","4196","4196","4196","","","","","","","","","","","",""
"11305600","4419","4419","4419","","","","","","","","","","","",""
"11306688","4700","4700","4700","","","","","","","","","","","",""
"11307904","4579","4579","4579","","","","","","","","","","","",""
"11307968","2991","2991","2991","","","","","","","","","","","",""
"11308096","","","","3785","3785","3785","","","","3323","3323","3323","","",""
"11308288","","","","2429","2429","2429","","","","","","","","",""
"11308672","","","","","","","4523","4523","4523","","","","","",""
"11309056","","","","","","","","","","","","","4357","4357","4357"
"11309312","","","","","","","","","","3476","3476","3476","","",""
"11309888","","","","","","","","","","","","","3837","3837","3837"
"11310976","","","","","","","","","","4148","4148","4148","","",""
"11311808","","","","2409","2409","2409","","","","","","","","",""
"11311872","","","","","","","","","","4483","4483","4483","","",""
"11312896","3958","3958","3958","","","","","","","","","","","",""
"11314112","","","","","","","","","","4208","4208","4208","","",""
"11314432","3095","3095","3095","","","","","","","","","","","",""
"11314496","3867","3867","3867","","","","","","","","","","","",""
"11314816","","","","","","","","","","2885","2885","2885","","",""
"11315392","","","","","","","","","","","","","3079","3079","3079"
"11315456","","","","","","","","","","","","","3689","3689","3689"
"11315776","4499","4499","4499","","","","","","","","","","","",""
"11316032","","","","","","","4782","4782","4782","","","","","",""
"11317632","4394","4394","4394","","","","","","","","","","","",""
"11317824","","","","","","","4584","4584","4584","","","","","",""
"11319744","","","","","","","","","","","","","3163","3163","3163"
"11319808","3961","3961","3961","","","","","","","","","","","",""
"11320448","","","","","","","","","","","","","3813","3813","3813"
"11320832","","","","","","","4826","4826","4826","","","","","",""
"11321024","","","","","","","3330","3330","3330","","","","","",""
"11321728","","","","3987","3987","3987","","","","","","","","",""
"11322240","","","","","","","4200","4200","4200","","","","","",""
"11325504","","","","1194","1194","1194","","","","","","","","",""
"11325568","4110","4110","4110","","","","","","","","","","","",""
"11326144","","","","2757","2757","2757","","","","","","","","",""
"11326720","","","","","","","4061","4061","4061","","","","","",""
"11326784","","","","4590","4590","4590","","","","","","","","",""
"11327808","4518","4518","4518","","","","","","","","","","","",""
"11328000","","","","4330","4330","4330","","","","","","","","",""
"11328128","4346","4346","4346","","","","","","","","","","","",""
"11329024","","","","","","","4141","4141","4141","","","","","",""
"11329344","1986","1986","1986","","","","","","","","","","","",""
"11330432","2215","2215","2215","","","","","","","","","","","",""
"11332608","","","","","","","4521","4521","4521","","","","","",""
"11333248","","","","4899","4899","4899","","","","","","","","",""
"11333376","","","","","","","","","","","","","2990","2990","2990"
"11335552","","","","","","","4030","4030","4030","","","","","",""
"11339200","4344","4344","4344","","","","","","","","","","","",""
"11341376","","","","","","","4807","4807","4807","","","","","",""
"11342656","","","","","","","","","","","","","4565","4565","4565"
"11342720","","","","4698","4698","4698","","","","","","","","",""
"11343616","","","","","","","","","","4517","4517","4517","","",""
"11344832","2741","2741","2741","","","","","","","","","","","",""
"11345344","","","","","","","4570","4570","4570","","","","","",""
"11346368","","","","","","","","","","","","","4061","4061","4061"
"11346816","","","","3018","3018","3018","","","","","","","","",""
"11347520","","","","","","","","","","","","","3448","3448","3448"
"11348800","4361","4361","4361","","","","","","","","","","","",""
"11350144","","","","","","","3372","3372","3372","","","","","",""
"11351168","","","","","","","","","","","","","4330","4330","4330"
"11354560","","","","","","","1879","1879","1879","","","","","",""
"11354816","","","","4387","4387","4387","","","","","","","","",""
"11355136","","","","3253","3253","3253","","","","","","","","",""
"11355648","4887","4887","4887","","","","","","","","","","","",""
"11356096","4229","4229","4229","","","","","","","","","","","",""
"11358144","","","","","","","","","","","","","3487","3487","3487"
"11358592","4826","4826","4826","","","","","","","","","","","",""
"11358784","1025","1025","1025","","","","","","","","","","","",""
"11359872","","","","","","","","","","","","","4609","4609","4609"
"11361152","","","","2015","2015","2015","","","","","","","","",""
"11362688","","","","3630","3630","3630","","","","","","","","",""
"11362816","","","","","","","","","","4556","4556","4556","","",""
"11362944","","","","","","","4812","4812","4812","","","","","",""
"11363008","","","","","","","4563","4563","4563","","","","","",""
"11363136","","","","3286","3286","3286","","","","","","","","",""
"11363328","4286","4286","4286","","","","","","","","","","","",""
"11363392","","","","4726","4726","4726","","","","","","","","",""
"11366656","","","","","","","","","","","","","4573","4573","4573"
"11367424","3706","3706","3706","","","","","","","","","","","",""
"11370752","3746","3746","3746","","","","","","","","","","","",""
"11370880","","","","4848","4848","4848","","","","","","","","",""
"11372096","","","","","","","","","","","","","4782","4782","4782"
"11372416","","","","","","","","","","3259","3259","3259","","",""
"11373632","","","","","","","","","","","","","3962","3962","3962"
"11374336","4297","4297","4297","","","","","","","","","","","",""
"11375616","","","","","","","4845","4845","4845","3671","3671","3671","","",""
"11376256","4011","4011","4011","","","","","","","","","","","",""
"11376512","3339","3339","3339","","","","","","","","","","","",""
"11376576","","","","","","","3728","3728","3728","","","","","",""
"11376896","","","","","","","4782","4782","4782","","","","","",""
"11377344","","","","","","","3779","3779","3779","","","","","",""
"11377600","","","","","","","","","","","","","4384","4384","4384"
"11378304","","","","","","","","","","2939","2939","2939","","",""
"11378432","","","","","","","","","","","","","1075","1075","1075"
"11379584","","","","","","","","","","4540","4540","4540","","",""
"11380800","4177","4177","4177","4571","4571","4571","","","","","","","","",""
"11381568","","","","3945","3945","3945","","","","","","","","",""
"11382080","4117","4117","4117","","","","","","","","","","","",""
"11383744","","","","","","","","","","","","","4000","4000","4000"
"11384704","","","","","","","","","","","","","4385","4385","4385"
"11385600","3239","3239","3239","","","","","","","","","","2820","2820","2820"
"11386624","2561","2561","2561","","","","","","","","","","","",""
"11386880","","","","","","","","","","4682","4682","4682","","",""
"11387520","","","","","","","4841","4841","4841","","","","","",""
"11388160","","","","","","","4588","4588","4588","","","","","",""
"11388864","3702","3702","3702","","","","","","","","","","","",""
"11390144","","","","","","","","","","","","","4608","4608","4608"
"11390336","","","","","","","","","","","","","4897","4897","4897"
"11390912","","","","4245","4245","4245","","","","","","","","",""
"11391488","","","","4051","4051","4051","","","","","","","","",""
"11394240","","","","3330","3330","3330","","","","","","","","",""
"11395904","","","","","","","3349","3349","3349","","","","","",""
"11397184","3683","3683","3683","","","","","","","","","","","",""
"11397440","","","","","","","","","","","","","4130","4130","4130"
"11398656","4758","4758","4758","","","","","","","","","","","",""
"11400960","","","","","","","","","","4666","4666","4666","","",""
"11401664","","","","","","","4789","4789","4789","","","","","",""
"11402176","","","","3189","3189","3189","","","","","","","","",""
"11402304","","","","","","","","","","","","","3792","3792","3792"
"11403072","","","","","","","3139","3139","3139","","","","","",""
"11403456","4260","4260","4260","","","","","","","","","","","",""
"11403776","","","","","","","","","","4023","4023","4023","4346","4346","4346"
"11404224","","","","","","","","","","","","","2393","2393","2393"
"11404352","4361","4361","4361","","","","","","","","","","","",""
"11406336","3463","3463","3463","","","","","","","","","","","",""
"11407808","","","","","","","3815","3815","3815","","","","","",""
"11408576","","","","","","","4880","4880","4880","","","","","",""
"11408704","","","","","","","","","","","","","2492","2492","2492"
"11408832","","","","4302","4302","4302","","","","","","","","",""
"11409472","","","","","","","","","","","","","4701","4701","4701"
"11409920","","","","532","532","532","","","","","","","","",""
"11411520","","","","4377","4377","4377","","","","","","","","",""
"11413568","","","","","","","","","","4449","4449","4449","","",""
"11414720","","","","","","","","","","","","","4879","4879","4879"
"11415232","","","","","","","","","","4066","4066","4066","","",""
"11415872","","","","","","","4889","4889","4889","","","","","",""
"11416000","","","","","","","","","","4007","4007","4007","","",""
"11416384","","","","3959","3959","3959","2201","2201","2201","","","","","",""
"11416896","","","","","","","","","","","","","2744","2744","2744"
"11417408","","","","","","","","","","3386","3386","3386","","",""
"11417984","4776","4776","4776","","","","","","","","","","","",""
"11419840","","","","","","","3740","3740","3740","","","","","",""
"11421184","","","","","","","3739","3739","3739","","","","","",""
"11421504","","","","","","","2006","2006","2006","","","","","",""
"11422592","4405","4405","4405","","","","","","","","","","","",""
"11422976","","","","","","","4577","4577","4577","","","","","",""
"11423296","","","","3871","3871","3871","","","","","","","","",""
"11424704","","","","","","","2882","2882","2882","","","","","",""
"11425600","","","","","","","4278","4278","4278","","","","","",""
"11426496","","","","","","","3352","3352","3352","","","","","",""
"11426816","4306","4306","4306","","","","","","","","","","","",""
"11427328","4771","4771","4771","","","","","","","","","","","",""
"11428032","","","","1318","1318","1318","","","","","","","","",""
"11428480","","","","","","","","","","4570","4570","4570","","",""
"11428608","4348","4348","4348","","","","","","","","","","","",""
"11428736","","","","","","","3314","3314","3314","","","","","",""
"11430528","","","","","","","4055","4055","4055","","","","","",""
"11430656","4477","4477","4477","","","","","","","","","","","",""
"11431040","","","","","","","","","","","","","-5000","-5000","-5000"
"11433920","","","","3648","3648","3648","","","","","","","","",""
"11434240","","","","","","","3660","3660","3660","","","","","",""
"11435008","","","","","","","4288","4288","4288","","","","","",""
"11435200","","","","","","","4741","4741","4741","","","","","",""
"11435264","","","","2124","2124","2124","","","","","","","","",""
