"Step","baseline_runseed=4 - training/episode/reward","baseline_runseed=4 - training/episode/reward__MIN","baseline_runseed=4 - training/episode/reward__MAX","baseline_runseed=3 - training/episode/reward","baseline_runseed=3 - training/episode/reward__MIN","baseline_runseed=3 - training/episode/reward__MAX","baseline_runseed=2 - training/episode/reward","baseline_runseed=2 - training/episode/reward__MIN","baseline_runseed=2 - training/episode/reward__MAX","baseline_runseed=1 - training/episode/reward","baseline_runseed=1 - training/episode/reward__MIN","baseline_runseed=1 - training/episode/reward__MAX","baseline_runseed=0 - training/episode/reward","baseline_runseed=0 - training/episode/reward__MIN","baseline_runseed=0 - training/episode/reward__MAX"
"6178304","","","","","","","-5000","-5000","-5000","","","","","",""
"6178560","","","","3478","3478","3478","","","","","","","","",""
"6178816","","","","","","","","","","3249","3249","3249","","",""
"6178880","","","","4317","4317","4317","","","","","","","","",""
"6179008","","","","","","","","","","3362","3362","3362","","",""
"6179136","","","","","","","","","","2677","2677","2677","","",""
"6179456","","","","","","","","","","1670","1670","1670","","",""
"6180352","","","","","","","","","","3293","3293","3293","","",""
"6181888","-5000","-5000","-5000","","","","","","","","","","","",""
"6183168","45","45","45","","","","","","","","","","","",""
"6185088","","","","","","","","","","","","","1736","1736","1736"
"6185792","","","","","","","","","","-5000","-5000","-5000","","",""
"6185856","","","","2698","2698","2698","","","","","","","","",""
"6186304","","","","-5000","-5000","-5000","","","","","","","","",""
"6187392","-5000","-5000","-5000","","","","","","","","","","","",""
"6187520","","","","","","","","","","","","","-5000","-5000","-5000"
"6188160","","","","","","","","","","","","","3690","3690","3690"
"6188544","","","","-5000","-5000","-5000","","","","","","","","",""
"6190336","","","","","","","","","","244","244","244","","",""
"6191168","","","","","","","441","441","441","","","","","",""
"6191232","","","","","","","919","919","919","-5000","-5000","-5000","","",""
"6191360","","","","-5000","-5000","-5000","","","","","","","","",""
"6191680","","","","","","","3965","3965","3965","","","","","",""
"6191808","","","","","","","","","","","","","-5000","-5000","-5000"
"6194816","","","","-5000","-5000","-5000","","","","","","","","",""
"6194880","-5000","-5000","-5000","","","","","","","","","","","",""
"6195392","1171","1171","1171","","","","","","","","","","","",""
"6196160","","","","","","","","","","2163","2163","2163","","",""
"6197504","-5000","-5000","-5000","2298","2298","2298","","","","","","","","",""
"6198784","60","60","60","","","","","","","","","","","",""
"6198912","","","","-5000","-5000","-5000","","","","","","","","",""
"6199040","","","","","","","2199","2199","2199","","","","","",""
"6199168","","","","3900","3900","3900","","","","","","","","",""
"6199360","","","","","","","","","","3918","3918","3918","","",""
"6199936","","","","","","","","","","4003","4003","4003","","",""
"6200192","","","","","","","2615","2615","2615","","","","","",""
"6200320","-5000","-5000","-5000","","","","3450","3450","3450","","","","","",""
"6200448","3125","3125","3125","","","","","","","","","","","",""
"6200576","","","","","","","-5000","-5000","-5000","","","","","",""
"6201024","","","","31","31","31","","","","","","","","",""
"6203904","","","","","","","406","406","406","","","","","",""
"6204416","","","","","","","1960","1960","1960","","","","","",""
"6204608","","","","","","","","","","","","","4800","4800","4800"
"6206656","195","195","195","","","","","","","","","","","",""
"6206784","","","","","","","","","","3872","3872","3872","","",""
"6206912","","","","3907","3907","3907","","","","","","","","",""
"6206976","-5000","-5000","-5000","","","","","","","","","","","",""
"6208000","","","","","","","-5000","-5000","-5000","","","","","",""
"6208256","-5000","-5000","-5000","","","","","","","","","","","",""
"6208512","","","","","","","2744","2744","2744","","","","","",""
"6208704","","","","","","","-5000","-5000","-5000","","","","","",""
"6209344","648","648","648","","","","","","","","","","","",""
"6209472","","","","","","","2674","2674","2674","","","","","",""
"6211136","","","","-5000","-5000","-5000","","","","","","","","",""
"6211392","","","","","","","3484","3484","3484","","","","","",""
"6213568","","","","","","","-5000","-5000","-5000","","","","","",""
"6214464","","","","","","","1002","1002","1002","","","","","",""
"6214656","","","","","","","-5000","-5000","-5000","","","","","",""
"6215296","","","","","","","","","","","","","2047","2047","2047"
"6216192","","","","3558","3558","3558","","","","","","","","",""
"6216704","","","","3368","3368","3368","","","","","","","","",""
"6218112","","","","","","","-5000","-5000","-5000","","","","","",""
"6218560","","","","","","","4255","4255","4255","","","","","",""
"6218880","","","","","","","","","","-5000","-5000","-5000","","",""
"6221248","","","","","","","119","119","119","","","","","",""
"6222400","-5000","-5000","-5000","","","","","","","","","","","",""
"6222912","-5000","-5000","-5000","","","","","","","","","","","",""
"6223104","","","","","","","-5000","-5000","-5000","","","","","",""
"6223232","","","","","","","4260","4260","4260","","","","","",""
"6224128","-5000","-5000","-5000","","","","","","","","","","","",""
"6224320","-5000","-5000","-5000","","","","","","","","","","","",""
"6225536","1950","1950","1950","","","","","","","","","","","",""
"6226624","","","","","","","","","","-5000","-5000","-5000","","",""
"6227008","","","","4150","4150","4150","","","","","","","","",""
"6229760","","","","","","","2900","2900","2900","","","","","",""
"6231360","","","","","","","3872","3872","3872","","","","","",""
"6232064","","","","","","","","","","-5000","-5000","-5000","","",""
"6233088","","","","","","","","","","","","","4220","4220","4220"
"6234048","","","","","","","","","","-5000","-5000","-5000","","",""
"6234560","-5000","-5000","-5000","","","","","","","","","","","",""
"6235136","","","","","","","911","911","911","","","","","",""
"6235648","","","","1706","1706","1706","","","","","","","","",""
"6236480","","","","","","","","","","","","","4722","4722","4722"
"6236864","","","","","","","","","","2114","2114","2114","","",""
"6237056","-5000","-5000","-5000","","","","","","","","","","","",""
"6238976","2740","2740","2740","-5000","-5000","-5000","","","","","","","","",""
"6239296","","","","","","","","","","2739","2739","2739","3512","3512","3512"
"6239360","","","","1028","1028","1028","","","","","","","","",""
"6243584","","","","1236","1236","1236","","","","","","","","",""
"6244352","","","","","","","","","","1094","1094","1094","","",""
"6246592","","","","","","","","","","-5000","-5000","-5000","","",""
"6246656","849","849","849","","","","","","","","","","","",""
"6247168","","","","3928","3928","3928","","","","","","","","",""
"6247488","","","","","","","","","","","","","2793","2793","2793"
"6248320","","","","","","","","","","4185","4185","4185","","",""
"6249152","","","","-5000","-5000","-5000","","","","","","","","",""
"6249600","","","","1379","1379","1379","","","","","","","","",""
"6250176","","","","-5000","-5000","-5000","","","","","","","","",""
"6250368","3643","3643","3643","","","","","","","","","","","",""
"6252672","","","","","","","","","","3846","3846","3846","","",""
"6252864","","","","","","","","","","3678","3678","3678","","",""
"6254208","","","","","","","","","","4448","4448","4448","","",""
"6254784","","","","","","","","","","","","","3307","3307","3307"
"6255808","","","","","","","","","","-5000","-5000","-5000","","",""
"6257536","","","","","","","","","","","","","1531","1531","1531"
"6257728","","","","-5000","-5000","-5000","","","","","","","","",""
"6257984","","","","","","","","","","-5000","-5000","-5000","","",""
"6258944","","","","","","","","","","","","","1835","1835","1835"
"6259264","1677","1677","1677","","","","","","","","","","","",""
"6260736","","","","","","","","","","305","305","305","","",""
"6261952","-5000","-5000","-5000","","","","","","","","","","","",""
"6262784","","","","","","","","","","3375","3375","3375","","",""
"6264000","","","","","","","","","","3849","3849","3849","","",""
"6266240","-5000","-5000","-5000","","","","","","","","","","","",""
"6267840","2821","2821","2821","","","","","","","","","","","",""
"6268352","3591","3591","3591","","","","","","","","","","","",""
"6268928","","","","","","","4152","4152","4152","","","","","",""
"6269312","","","","","","","2731","2731","2731","","","","","",""
"6269440","","","","","","","","","","1145","1145","1145","","",""
"6269760","","","","-5000","-5000","-5000","","","","","","","","",""
"6270080","","","","","","","-5000","-5000","-5000","","","","","",""
"6270336","","","","","","","","","","-5000","-5000","-5000","","",""
"6271552","","","","-5000","-5000","-5000","","","","","","","","",""
"6271872","-5000","-5000","-5000","","","","","","","","","","","",""
"6272064","-5000","-5000","-5000","","","","","","","","","","","",""
"6272704","","","","","","","3849","3849","3849","","","","","",""
"6274176","3848","3848","3848","","","","","","","","","","","",""
"6275904","","","","","","","-5000","-5000","-5000","","","","","",""
"6276032","","","","","","","-5000","-5000","-5000","","","","","",""
"6276672","","","","2092","2092","2092","","","","","","","","",""
"6277312","","","","","","","-5000","-5000","-5000","","","","","",""
"6278016","","","","","","","","","","","","","3388","3388","3388"
"6278848","","","","","","","","","","3160","3160","3160","","",""
"6280064","-5000","-5000","-5000","","","","","","","","","","","",""
"6280320","","","","","","","","","","-5000","-5000","-5000","","",""
"6281152","","","","-5000","-5000","-5000","","","","","","","","",""
"6281600","","","","","","","3861","3861","3861","","","","","",""
"6282944","-5000","-5000","-5000","","","","","","","","","","","",""
"6284160","","","","","","","","","","-5000","-5000","-5000","","",""
"6285568","","","","","","","3109","3109","3109","","","","","",""
"6285696","","","","","","","","","","-5000","-5000","-5000","","",""
"6285760","503","503","503","","","","","","","","","","","",""
"6286400","-5000","-5000","-5000","","","","","","","","","","","",""
"6286720","","","","","","","-5000","-5000","-5000","","","","","",""
"6286784","","","","-5000","-5000","-5000","","","","","","","","",""
"6286976","","","","","","","","","","264","264","264","","",""
"6289728","","","","","","","3723","3723","3723","","","","","",""
"6290240","-5000","-5000","-5000","","","","","","","","","","","",""
"6291584","-5000","-5000","-5000","","","","","","","","","","","",""
"6293056","","","","","","","","","","","","","2395","2395","2395"
"6295168","3893","3893","3893","","","","","","","","","","","",""
"6295744","","","","429","429","429","","","","","","","","",""
"6296640","","","","","","","","","","2328","2328","2328","","",""
"6297920","","","","-5000","-5000","-5000","","","","","","","","",""
"6297984","","","","-5000","-5000","-5000","","","","","","","","",""
"6298048","","","","","","","2858","2858","2858","","","","","",""
"6298944","","","","","","","-5000","-5000","-5000","","","","","",""
"6300352","","","","","","","-5000","-5000","-5000","","","","","",""
"6300928","","","","838","838","838","","","","","","","","",""
"6301440","-5000","-5000","-5000","","","","","","","","","","","",""
"6302080","","","","","","","4760","4760","4760","","","","","",""
"6303168","","","","-5000","-5000","-5000","","","","","","","","",""
"6303232","","","","","","","","","","2336","2336","2336","","",""
"6305920","","","","","","","","","","","","","414","414","414"
"6306176","","","","3127","3127","3127","","","","","","","","",""
"6307200","","","","2530","2530","2530","","","","","","","","",""
"6307264","","","","3939","3939","3939","","","","","","","","",""
"6311680","","","","","","","2556","2556","2556","","","","3869","3869","3869"
"6312384","","","","","","","","","","","","","4520","4520","4520"
"6313024","","","","","","","","","","3650","3650","3650","","",""
"6313984","","","","","","","","","","","","","-5000","-5000","-5000"
"6314048","-5000","-5000","-5000","","","","","","","","","","","",""
"6314432","","","","","","","1519","1519","1519","","","","","",""
"6314752","","","","","","","","","","-5000","-5000","-5000","","",""
"6315072","","","","","","","2369","2369","2369","","","","","",""
"6315904","","","","","","","-5000","-5000","-5000","","","","","",""
"6317120","-5000","-5000","-5000","","","","","","","","","","","",""
"6317760","","","","","","","-5000","-5000","-5000","","","","","",""
"6318784","","","","-5000","-5000","-5000","","","","","","","","",""
"6321216","-5000","-5000","-5000","","","","","","","","","","","",""
"6321664","","","","","","","","","","-5000","-5000","-5000","","",""
"6323968","","","","","","","","","","-5000","-5000","-5000","","",""
"6329024","","","","","","","","","","-5000","-5000","-5000","","",""
"6329280","","","","","","","","","","526","526","526","","",""
"6329408","","","","3400","3400","3400","","","","","","","","",""
"6332480","3998","3998","3998","","","","","","","","","","","",""
"6332800","-5000","-5000","-5000","","","","","","","2924","2924","2924","","",""
"6333184","2924","2924","2924","","","","","","","","","","","",""
"6333568","-5000","-5000","-5000","","","","","","","","","","","",""
"6334080","","","","880","880","880","","","","","","","","",""
"6336512","-5000","-5000","-5000","","","","","","","","","","","",""
"6336896","","","","","","","-5000","-5000","-5000","","","","","",""
"6338816","","","","2198","2198","2198","","","","2694","2694","2694","","",""
"6340608","","","","734","734","734","","","","","","","","",""
"6340928","","","","-5000","-5000","-5000","","","","","","","","",""
"6341056","","","","-5000","-5000","-5000","","","","","","","","",""
"6341568","","","","3041","3041","3041","","","","","","","","",""
"6341696","","","","","","","-5000","-5000","-5000","","","","","",""
"6343744","","","","","","","","","","2744","2744","2744","","",""
"6344000","","","","","","","-5000","-5000","-5000","","","","","",""
"6345664","","","","","","","","","","3225","3225","3225","","",""
"6346560","","","","2697","2697","2697","","","","","","","","",""
"6348608","","","","","","","","","","","","","3443","3443","3443"
"6349440","","","","","","","","","","2339","2339","2339","","",""
"6349696","","","","","","","","","","2144","2144","2144","","",""
"6349888","","","","","","","","","","-5000","-5000","-5000","","",""
"6350336","","","","298","298","298","","","","","","","","",""
"6352256","","","","3405","3405","3405","","","","","","","","",""
"6352384","-5000","-5000","-5000","","","","","","","","","","","",""
"6352896","","","","","","","-5000","-5000","-5000","","","","","",""
"6353536","","","","-5000","-5000","-5000","","","","","","","","",""
"6354496","","","","","","","","","","3567","3567","3567","","",""
"6354816","","","","","","","4392","4392","4392","","","","","",""
"6356032","","","","","","","","","","-5000","-5000","-5000","","",""
"6356288","","","","","","","2691","2691","2691","","","","","",""
"6358400","","","","1190","1190","1190","","","","","","","","",""
"6358720","-5000","-5000","-5000","","","","","","","","","","","",""
"6359168","2642","2642","2642","","","","","","","","","","","",""
"6359232","","","","","","","-5000","-5000","-5000","","","","","",""
"6360192","","","","","","","3592","3592","3592","","","","","",""
"6360320","","","","","","","","","","3854","3854","3854","","",""
"6360640","","","","","","","","","","4283","4283","4283","","",""
"6360704","","","","","","","","","","1865","1865","1865","","",""
"6360768","","","","","","","","","","","","","4879","4879","4879"
"6361408","","","","","","","782","782","782","","","","","",""
"6361664","","","","","","","","","","","","","4347","4347","4347"
"6363648","","","","307","307","307","","","","","","","","",""
"6363840","2243","2243","2243","","","","","","","","","","","",""
"6364800","","","","","","","","","","","","","4876","4876","4876"
"6365056","","","","","","","1028","1028","1028","","","","","",""
"6365120","-5000","-5000","-5000","","","","","","","","","","","",""
"6368512","","","","","","","","","","-5000","-5000","-5000","","",""
"6369088","","","","2277","2277","2277","","","","3613","3613","3613","","",""
"6369728","","","","","","","","","","2027","2027","2027","","",""
"6370496","","","","","","","","","","-5000","-5000","-5000","","",""
"6370944","","","","","","","","","","","","","4397","4397","4397"
"6371840","","","","-5000","-5000","-5000","","","","","","","","",""
"6372416","","","","","","","","","","3212","3212","3212","","",""
"6372800","","","","","","","","","","-5000","-5000","-5000","","",""
"6373184","2671","2671","2671","","","","","","","","","","","",""
"6373440","","","","","","","","","","","","","3032","3032","3032"
"6373568","2687","2687","2687","","","","","","","","","","","",""
"6373952","","","","","","","","","","","","","2776","2776","2776"
"6375232","","","","-5000","-5000","-5000","","","","","","","","",""
"6375872","","","","3154","3154","3154","","","","","","","","",""
"6376128","","","","-5000","-5000","-5000","","","","","","","","",""
"6376768","","","","","","","","","","4407","4407","4407","","",""
"6379136","","","","","","","","","","","","","961","961","961"
"6380544","","","","","","","-5000","-5000","-5000","","","","","",""
"6380800","","","","","","","535","535","535","","","","","",""
"6380864","","","","1076","1076","1076","","","","","","","","",""
"6380928","","","","3291","3291","3291","","","","","","","","",""
"6382016","","","","3815","3815","3815","","","","","","","","",""
"6382656","","","","","","","","","","","","","4567","4567","4567"
"6383104","","","","","","","-5000","-5000","-5000","","","","","",""
"6383744","","","","","","","","","","","","","2545","2545","2545"
"6384704","","","","","","","-5000","-5000","-5000","","","","","",""
"6385536","","","","","","","","","","862","862","862","","",""
"6385600","","","","","","","","","","-5000","-5000","-5000","","",""
"6385664","","","","","","","3287","3287","3287","4751","4751","4751","","",""
"6389632","","","","","","","","","","","","","3984","3984","3984"
"6389824","3330","3330","3330","","","","","","","","","","","",""
"6390464","","","","","","","","","","-5000","-5000","-5000","","",""
"6390592","","","","-5000","-5000","-5000","","","","","","","","",""
"6390976","","","","","","","2019","2019","2019","","","","","",""
"6391168","","","","","","","","","","-5000","-5000","-5000","","",""
"6391936","","","","","","","","","","","","","-5000","-5000","-5000"
"6392064","","","","","","","","","","","","","-5000","-5000","-5000"
"6392320","","","","1541","1541","1541","","","","","","","","",""
"6392576","","","","","","","","","","570","570","570","","",""
"6392704","1131","1131","1131","","","","","","","","","","","",""
"6393856","","","","","","","3054","3054","3054","4306","4306","4306","","",""
"6394432","","","","-5000","-5000","-5000","","","","","","","","",""
"6395264","-5000","-5000","-5000","","","","","","","","","","","",""
"6395904","","","","2113","2113","2113","","","","","","","","",""
"6396096","","","","","","","","","","4278","4278","4278","","",""
"6398272","","","","","","","-5000","-5000","-5000","","","","","",""
"6402688","","","","","","","3379","3379","3379","","","","","",""
"6403072","","","","","","","","","","-5000","-5000","-5000","","",""
"6403136","","","","4511","4511","4511","","","","","","","","",""
"6403264","","","","","","","-5000","-5000","-5000","","","","","",""
"6403584","","","","","","","-5000","-5000","-5000","","","","","",""
"6404480","2865","2865","2865","","","","","","","","","","","",""
"6404864","","","","2060","2060","2060","","","","","","","","",""
"6405952","","","","324","324","324","","","","","","","","",""
"6406336","","","","","","","","","","2531","2531","2531","","",""
"6406400","","","","","","","-5000","-5000","-5000","","","","","",""
"6407232","","","","-5000","-5000","-5000","","","","","","","","",""
"6407744","","","","","","","-5000","-5000","-5000","","","","","",""
"6409600","","","","","","","2861","2861","2861","","","","","",""
"6411520","","","","-5000","-5000","-5000","","","","","","","","",""
"6411584","","","","","","","","","","3460","3460","3460","","",""
"6411968","1065","1065","1065","","","","","","","","","","","",""
"6412096","2415","2415","2415","","","","","","","","","","","",""
"6413696","","","","2436","2436","2436","","","","","","","","",""
"6414144","","","","","","","","","","3674","3674","3674","","",""
"6414848","-5000","-5000","-5000","","","","","","","","","","","",""
"6415488","1991","1991","1991","","","","","","","","","","","",""
"6415552","","","","","","","","","","-5000","-5000","-5000","","",""
"6416448","","","","1397","1397","1397","","","","","","","","",""
"6418176","","","","","","","","","","2906","2906","2906","","",""
"6418368","","","","-5000","-5000","-5000","","","","","","","","",""
"6421504","","","","-5000","-5000","-5000","","","","","","","","",""
"6422720","","","","","","","-5000","-5000","-5000","","","","","",""
"6422976","","","","-5000","-5000","-5000","","","","","","","","",""
"6424192","","","","","","","1780","1780","1780","","","","","",""
"6425536","","","","2744","2744","2744","","","","","","","","",""
"6427328","","","","","","","","","","4142","4142","4142","","",""
"6432768","-5000","-5000","-5000","","","","","","","","","","","",""
"6434240","","","","","","","","","","1872","1872","1872","","",""
"6434304","-5000","-5000","-5000","","","","","","","","","","","",""
"6436928","-5000","-5000","-5000","-5000","-5000","-5000","","","","","","","","",""
"6437760","","","","","","","1511","1511","1511","","","","","",""
"6438592","","","","","","","","","","4578","4578","4578","","",""
"6438848","","","","","","","","","","940","940","940","","",""
"6438912","","","","","","","","","","1960","1960","1960","","",""
"6439488","","","","","","","","","","2258","2258","2258","","",""
"6439616","","","","","","","","","","-5000","-5000","-5000","","",""
"6439744","","","","2785","2785","2785","","","","","","","","",""
"6439872","","","","-5000","-5000","-5000","","","","","","","","",""
"6440832","","","","","","","","","","-5000","-5000","-5000","","",""
"6442048","","","","","","","","","","911","911","911","","",""
"6444672","-5000","-5000","-5000","","","","","","","-5000","-5000","-5000","","",""
"6444864","","","","","","","","","","617","617","617","","",""
"6446464","","","","","","","","","","2381","2381","2381","","",""
"6447168","","","","1246","1246","1246","","","","","","","","",""
"6447360","","","","","","","","","","3897","3897","3897","","",""
"6447552","","","","-5000","-5000","-5000","","","","","","","","",""
"6449088","","","","","","","","","","3124","3124","3124","","",""
"6449664","246","246","246","","","","","","","","","","","",""
"6449856","","","","","","","","","","-5000","-5000","-5000","","",""
"6449984","","","","","","","1155","1155","1155","","","","","",""
"6452032","","","","","","","-5000","-5000","-5000","","","","","",""
"6452096","","","","","","","2463","2463","2463","","","","","",""
"6454400","","","","","","","3850","3850","3850","","","","","",""
"6455936","","","","","","","","","","-5000","-5000","-5000","","",""
"6457536","","","","2472","2472","2472","","","","","","","","",""
"6458240","-5000","-5000","-5000","","","","3544","3544","3544","","","","","",""
"6459072","","","","","","","2697","2697","2697","","","","","",""
"6459968","","","","","","","","","","1887","1887","1887","","",""
"6460480","","","","","","","935","935","935","","","","","",""
"6461504","","","","","","","","","","2013","2013","2013","","",""
"6463040","","","","","","","","","","2965","2965","2965","","",""
"6463488","","","","","","","","","","-5000","-5000","-5000","","",""
"6464960","","","","1541","1541","1541","","","","","","","","",""
"6465088","","","","","","","","","","","","","3140","3140","3140"
"6466368","-5000","-5000","-5000","","","","","","","","","","","",""
"6466432","","","","","","","","","","","","","2562","2562","2562"
"6467136","-5000","-5000","-5000","","","","","","","","","","","",""
"6467456","","","","","","","-5000","-5000","-5000","","","","","",""
"6467648","","","","-5000","-5000","-5000","","","","","","","","",""
"6468352","","","","","","","-5000","-5000","-5000","","","","","",""
"6469248","","","","","","","2932","2932","2932","","","","","",""
"6469376","","","","","","","","","","-5000","-5000","-5000","","",""
"6469632","","","","","","","","","","4613","4613","4613","","",""
"6469888","-5000","-5000","-5000","","","","","","","","","","","",""
"6470720","2257","2257","2257","","","","","","","","","","","",""
"6471104","","","","","","","-5000","-5000","-5000","","","","","",""
"6471808","","","","","","","","","","4305","4305","4305","","",""
"6473984","-5000","-5000","-5000","","","","","","","","","","","",""
"6474240","","","","","","","","","","3153","3153","3153","","",""
"6474624","-5000","-5000","-5000","","","","","","","","","","","",""
"6477056","","","","","","","","","","3844","3844","3844","","",""
"6478144","","","","","","","1991","1991","1991","","","","","",""
"6478528","","","","","","","4363","4363","4363","","","","","",""
"6479168","-5000","-5000","-5000","","","","","","","","","","","",""
"6479232","-5000","-5000","-5000","","","","","","","","","","","",""
"6480960","","","","3848","3848","3848","","","","","","","","",""
"6482304","","","","","","","","","","3094","3094","3094","","",""
"6485184","","","","","","","","","","-5000","-5000","-5000","","",""
"6485888","","","","","","","3036","3036","3036","","","","","",""
"6487360","","","","","","","","","","-5000","-5000","-5000","","",""
"6487680","","","","-5000","-5000","-5000","","","","","","","","",""
"6488832","1522","1522","1522","","","","","","","","","","","",""
"6490176","","","","","","","","","","","","","2133","2133","2133"
"6490432","","","","2557","2557","2557","","","","","","","","",""
"6490496","","","","","","","","","","4203","4203","4203","","",""
"6492416","-5000","-5000","-5000","","","","","","","","","","","",""
"6493504","","","","","","","","","","1261","1261","1261","","",""
"6493760","","","","","","","","","","","","","4575","4575","4575"
"6494080","","","","","","","","","","2306","2306","2306","","",""
"6495360","","","","","","","","","","1724","1724","1724","","",""
"6495488","3095","3095","3095","","","","","","","","","","","",""
"6495936","","","","","","","","","","-5000","-5000","-5000","","",""
"6496256","","","","2750","2750","2750","","","","","","","","",""
"6496512","","","","","","","3396","3396","3396","","","","","",""
"6497024","","","","","","","","","","4182","4182","4182","","",""
"6498048","","","","3404","3404","3404","","","","","","","","",""
"6498112","","","","","","","-5000","-5000","-5000","","","","","",""
"6498304","","","","","","","-5000","-5000","-5000","","","","","",""
"6498880","","","","-5000","-5000","-5000","","","","","","","","",""
"6498944","","","","","","","","","","4538","4538","4538","","",""
"6500736","","","","","","","","","","4418","4418","4418","","",""
"6501888","-5000","-5000","-5000","","","","","","","","","","","",""
"6503168","-5000","-5000","-5000","","","","","","","","","","","",""
"6504320","","","","","","","3066","3066","3066","","","","","",""
"6504576","820","820","820","","","","","","","","","","","",""
"6505536","","","","","","","","","","","","","-5000","-5000","-5000"
"6505792","","","","","","","","","","-5000","-5000","-5000","","",""
"6506624","","","","","","","","","","2548","2548","2548","","",""
"6507264","","","","","","","562","562","562","","","","","",""
"6507712","","","","","","","","","","4057","4057","4057","","",""
"6508544","","","","-5000","-5000","-5000","","","","","","","","",""
"6508864","135","135","135","","","","","","","","","","","",""
"6509952","","","","","","","","","","2857","2857","2857","","",""
"6511168","","","","","","","-5000","-5000","-5000","","","","","",""
"6511232","","","","","","","-5000","-5000","-5000","","","","","",""
"6511360","","","","-5000","-5000","-5000","","","","","","","","",""
"6511424","","","","","","","","","","3866","3866","3866","","",""
"6511680","","","","","","","-5000","-5000","-5000","","","","","",""
"6512640","2595","2595","2595","","","","","","","","","","","",""
"6514880","-5000","-5000","-5000","","","","","","","","","","","",""
"6515136","","","","","","","","","","4075","4075","4075","","",""
"6515392","-5000","-5000","-5000","","","","","","","","","","","",""
"6516224","","","","","","","","","","2692","2692","2692","","",""
"6517504","","","","-5000","-5000","-5000","","","","","","","","",""
"6517760","","","","","","","","","","2699","2699","2699","","",""
"6517824","1384","1384","1384","","","","","","","","","","","",""
"6518784","-5000","-5000","-5000","","","","","","","3870","3870","3870","","",""
"6518912","","","","-5000","-5000","-5000","","","","","","","","",""
"6520576","","","","","","","4198","4198","4198","","","","","",""
"6521024","","","","-5000","-5000","-5000","","","","","","","","",""
"6521088","","","","3507","3507","3507","","","","","","","","",""
"6521600","","","","3193","3193","3193","","","","","","","","",""
"6521664","","","","2952","2952","2952","","","","","","","","",""
"6524416","","","","","","","-5000","-5000","-5000","","","","","",""
"6526656","-5000","-5000","-5000","","","","","","","","","","","",""
"6526784","","","","","","","","","","-5000","-5000","-5000","","",""
"6526976","-5000","-5000","-5000","","","","","","","","","","","",""
"6527040","","","","1088","1088","1088","4236","4236","4236","","","","","",""
"6528640","4785","4785","4785","","","","","","","","","","","",""
"6529344","-5000","-5000","-5000","","","","","","","","","","","",""
"6529472","","","","","","","-5000","-5000","-5000","","","","","",""
"6529600","","","","","","","","","","","","","-5000","-5000","-5000"
"6530368","","","","","","","2280","2280","2280","","","","","",""
"6531200","","","","","","","","","","3485","3485","3485","","",""
"6531264","","","","","","","","","","438","438","438","","",""
"6531392","","","","","","","-5000","-5000","-5000","","","","","",""
"6532480","","","","","","","","","","2081","2081","2081","","",""
"6533568","","","","","","","-5000","-5000","-5000","","","","","",""
"6534080","","","","","","","","","","2026","2026","2026","","",""
"6535104","","","","","","","","","","3527","3527","3527","","",""
"6536896","","","","1758","1758","1758","","","","","","","","",""
"6536960","986","986","986","","","","","","","","","","","",""
"6538560","","","","","","","-5000","-5000","-5000","","","","","",""
"6539200","","","","","","","249","249","249","","","","","",""
"6540224","3975","3975","3975","","","","","","","","","","","",""
"6540864","","","","","","","2063","2063","2063","","","","","",""
"6541248","","","","","","","-5000","-5000","-5000","","","","","",""
"6541376","","","","","","","","","","4252","4252","4252","","",""
"6542144","","","","","","","2142","2142","2142","","","","","",""
"6542400","-5000","-5000","-5000","","","","","","","","","","","",""
"6542912","","","","","","","","","","2056","2056","2056","","",""
"6543040","","","","","","","","","","4605","4605","4605","","",""
"6543104","","","","","","","-5000","-5000","-5000","","","","","",""
"6543680","","","","3770","3770","3770","","","","","","","","",""
"6545024","","","","","","","3515","3515","3515","","","","","",""
"6549760","","","","","","","-5000","-5000","-5000","","","","","",""
"6551360","","","","","","","-5000","-5000","-5000","","","","","",""
"6553920","","","","","","","","","","3198","3198","3198","","",""
"6554560","-5000","-5000","-5000","","","","","","","","","","","",""
"6555648","","","","-5000","-5000","-5000","","","","","","","","",""
"6556672","","","","1283","1283","1283","","","","","","","","",""
"6556864","","","","","","","","","","-5000","-5000","-5000","","",""
"6558144","","","","2709","2709","2709","","","","","","","","",""
"6558976","-5000","-5000","-5000","-5000","-5000","-5000","","","","","","","","",""
"6563072","","","","","","","","","","4105","4105","4105","","",""
"6565440","","","","","","","822","822","822","","","","","",""
"6566144","","","","","","","","","","3818","3818","3818","","",""
"6566592","","","","","","","","","","-5000","-5000","-5000","","",""
"6567168","","","","-5000","-5000","-5000","","","","","","","","",""
"6567744","","","","","","","","","","3340","3340","3340","","",""
"6568576","672","672","672","","","","","","","","","","","",""
"6569152","","","","-5000","-5000","-5000","","","","","","","","",""
"6570368","-5000","-5000","-5000","","","","","","","","","","","",""
"6572288","","","","","","","","","","","","","-5000","-5000","-5000"
"6572416","","","","","","","2348","2348","2348","","","","","",""
"6572672","","","","","","","","","","-5000","-5000","-5000","","",""
"6572864","","","","","","","","","","-5000","-5000","-5000","","",""
"6573440","","","","","","","","","","4031","4031","4031","","",""
"6575808","","","","","","","","","","-5000","-5000","-5000","","",""
"6579264","-5000","-5000","-5000","","","","","","","","","","","",""
"6579712","","","","","","","","","","4425","4425","4425","","",""
"6580224","","","","","","","","","","2963","2963","2963","","",""
