"Step","baseline_runseed=4 - training/episode/reward","baseline_runseed=4 - training/episode/reward__MIN","baseline_runseed=4 - training/episode/reward__MAX","baseline_runseed=3 - training/episode/reward","baseline_runseed=3 - training/episode/reward__MIN","baseline_runseed=3 - training/episode/reward__MAX","baseline_runseed=2 - training/episode/reward","baseline_runseed=2 - training/episode/reward__MIN","baseline_runseed=2 - training/episode/reward__MAX","baseline_runseed=1 - training/episode/reward","baseline_runseed=1 - training/episode/reward__MIN","baseline_runseed=1 - training/episode/reward__MAX","baseline_runseed=0 - training/episode/reward","baseline_runseed=0 - training/episode/reward__MIN","baseline_runseed=0 - training/episode/reward__MAX"
"239040","","","","","","","","","","2590","2590","2590","","",""
"243968","","","","","","","","","","","","","1187","1187","1187"
"244928","","","","","","","","","","1172","1172","1172","","",""
"245952","","","","1156","1156","1156","","","","","","","","",""
"247616","","","","","","","1130","1130","1130","","","","","",""
"250432","","","","","","","","","","1086","1086","1086","","",""
"252608","","","","","","","","","","1052","1052","1052","","",""
"252800","","","","","","","4316","4316","4316","","","","","",""
"254848","","","","1017","1017","1017","","","","","","","","",""
"259264","948","948","948","","","","","","","","","","","",""
"262272","3435","3435","3435","","","","","","","","","","","",""
"264000","","","","","","","874","874","874","","","","","",""
"264448","867","867","867","","","","","","","","","","","",""
"264704","","","","","","","863","863","863","","","","","",""
"265024","","","","","","","858","858","858","","","","","",""
"267776","","","","","","","815","815","815","","","","","",""
"268608","","","","","","","","","","2899","2899","2899","","",""
"269760","","","","","","","","","","784","784","784","","",""
"273856","","","","","","","","","","3657","3657","3657","","",""
"274368","","","","712","712","712","","","","","","","","",""
"275776","","","","","","","2166","2166","2166","","","","","",""
"276096","","","","685","685","685","","","","","","","","",""
"276928","","","","","","","3880","3880","3880","","","","","",""
"278336","","","","","","","650","650","650","","","","","",""
"279296","","","","","","","","","","3631","3631","3631","","",""
"281728","597","597","597","","","","","","","","","","","",""
"281984","","","","","","","","","","593","593","593","","",""
"282816","","","","580","580","580","","","","","","","","",""
"287680","","","","","","","","","","504","504","504","","",""
"287872","3041","3041","3041","","","","","","","","","","","",""
"289728","","","","","","","","","","","","","472","472","472"
"290112","","","","","","","4013","4013","4013","","","","","",""
"292672","","","","","","","","","","426","426","426","","",""
"293056","","","","","","","","","","1603","1603","1603","","",""
"295936","","","","","","","","","","3516","3516","3516","","",""
"297216","","","","","","","","","","355","355","355","","",""
"298240","","","","","","","","","","339","339","339","","",""
"298688","","","","332","332","332","","","","","","","","",""
"300736","300","300","300","","","","","","","","","","","",""
"301376","","","","","","","","","","","","","1260","1260","1260"
"301952","3329","3329","3329","","","","","","","","","","","",""
"302912","","","","","","","","","","266","266","266","","",""
"303488","","","","","","","","","","257","257","257","","",""
"303552","","","","","","","","","","256","256","256","","",""
"304448","","","","","","","2941","2941","2941","","","","","",""
"304512","","","","","","","","","","","","","4318","4318","4318"
"305664","223","223","223","","","","","","","","","","","",""
"305856","220","220","220","","","","","","","","","","","",""
"307456","","","","","","","","","","195","195","195","","",""
"307584","193","193","193","","","","","","","","","","","",""
"309632","","","","","","","","","","1924","1924","1924","","",""
"309888","157","157","157","","","","","","","","","","","",""
"312576","","","","","","","1545","1545","1545","","","","","",""
"314240","","","","","","","","","","","","","4464","4464","4464"
"315520","","","","","","","69","69","69","","","","","",""
"316032","","","","61","61","61","","","","","","","","",""
"316544","","","","3109","3109","3109","","","","","","","","",""
"317952","3061","3061","3061","","","","","","","","","","","",""
"318080","","","","29","29","29","","","","","","","","",""
"318848","","","","","","","","","","17","17","17","","",""
"319040","","","","","","","","","","","","","4531","4531","4531"
"319936","-5000","-5000","-5000","-5000","-5000","-5000","-5000","-5000","-5000","-5000","-5000","-5000","","",""
"324416","","","","","","","2042","2042","2042","","","","","",""
"325376","","","","2107","2107","2107","","","","","","","","",""
"345152","-5000","-5000","-5000","","","","","","","","","","","",""
"348736","","","","","","","3087","3087","3087","","","","","",""
"354880","","","","","","","-5000","-5000","-5000","","","","","",""
"356672","","","","","","","480","480","480","","","","","",""
"359744","4378","4378","4378","","","","","","","","","","","",""
"360640","","","","761","761","761","","","","","","","","",""
"361088","","","","","","","","","","3017","3017","3017","","",""
"361792","3749","3749","3749","","","","","","","","","","","",""
"362624","","","","","","","","","","4333","4333","4333","","",""
"364160","","","","","","","3260","3260","3260","","","","","",""
"364544","","","","-5000","-5000","-5000","","","","","","","","",""
"365184","","","","","","","","","","4293","4293","4293","","",""
"366784","","","","","","","609","609","609","","","","","",""
"367680","","","","","","","","","","","","","-5000","-5000","-5000"
"372672","","","","","","","4246","4246","4246","","","","","",""
"372800","","","","","","","-5000","-5000","-5000","","","","","",""
"373504","","","","","","","","","","-5000","-5000","-5000","","",""
"374848","","","","","","","954","954","954","","","","","",""
"375552","","","","","","","-5000","-5000","-5000","","","","","",""
"376896","","","","1106","1106","1106","","","","","","","","",""
"378816","","","","","","","3430","3430","3430","","","","","",""
"380096","1820","1820","1820","","","","","","","","","","","",""
"380992","","","","","","","1840","1840","1840","","","","","",""
"384384","3993","3993","3993","","","","","","","","","","","",""
"389120","","","","","","","","","","4562","4562","4562","","",""
"389312","","","","","","","","","","3916","3916","3916","","",""
"390528","-5000","-5000","-5000","","","","","","","","","","","",""
"390784","","","","","","","","","","1805","1805","1805","","",""
"391808","","","","","","","","","","2705","2705","2705","","",""
"396160","","","","","","","4541","4541","4541","","","","","",""
"398784","","","","","","","","","","1850","1850","1850","","",""
"398912","","","","711","711","711","","","","","","","","",""
"401152","","","","","","","2007","2007","2007","","","","","",""
"401344","-5000","-5000","-5000","","","","","","","","","","","",""
"401728","","","","","","","","","","1446","1446","1446","","",""
"402880","","","","","","","","","","-5000","-5000","-5000","","",""
"404800","","","","","","","-5000","-5000","-5000","","","","","",""
"405184","2263","2263","2263","","","","","","","","","","","",""
"407040","1443","1443","1443","","","","","","","","","","","",""
"407104","-5000","-5000","-5000","","","","","","","","","","","",""
"407616","4284","4284","4284","","","","","","","3630","3630","3630","","",""
"408512","-5000","-5000","-5000","","","","","","","","","","","",""
"408960","","","","","","","","","","3609","3609","3609","","",""
"409152","","","","","","","-5000","-5000","-5000","","","","","",""
"410944","","","","","","","3578","3578","3578","","","","","",""
"411712","-5000","-5000","-5000","","","","3566","3566","3566","","","","","",""
"413184","-5000","-5000","-5000","","","","","","","","","","","",""
"413504","","","","-5000","-5000","-5000","","","","","","","","",""
"414016","","","","","","","","","","3530","3530","3530","","",""
"416128","","","","3497","3497","3497","","","","","","","","",""
"418048","","","","-5000","-5000","-5000","","","","","","","","",""
"419392","-5000","-5000","-5000","","","","","","","","","","","",""
"420096","-5000","-5000","-5000","","","","","","","","","","","",""
"421312","","","","","","","","","","3416","3416","3416","","",""
"421952","","","","","","","","","","4513","4513","4513","","",""
"423296","","","","3385","3385","3385","","","","","","","","",""
"424768","","","","","","","3362","3362","3362","","","","","",""
"426752","","","","3331","3331","3331","","","","","","","","",""
"428416","","","","","","","","","","3305","3305","3305","","",""
"429760","","","","","","","","","","3284","3284","3284","","",""
"430016","-5000","-5000","-5000","","","","","","","","","","","",""
"430272","1418","1418","1418","","","","","","","","","","","",""
"431168","","","","","","","2590","2590","2590","","","","","",""
"431808","-5000","-5000","-5000","","","","","","","","","","","",""
"432640","","","","","","","","","","3239","3239","3239","","",""
"438080","","","","","","","","","","2888","2888","2888","","",""
"438336","","","","","","","-5000","-5000","-5000","","","","","",""
"439488","","","","3132","3132","3132","","","","","","","","",""
"440448","","","","-5000","-5000","-5000","","","","","","","","",""
"440768","","","","-5000","-5000","-5000","","","","","","","","",""
"441472","","","","","","","","","","3938","3938","3938","","",""
"444416","","","","","","","-5000","-5000","-5000","","","","","",""
"444544","1279","1279","1279","","","","","","","","","","","",""
"445696","","","","3035","3035","3035","","","","","","","","",""
"447680","2723","2723","2723","","","","","","","","","","","",""
"447936","","","","","","","2185","2185","2185","","","","","",""
"448128","","","","","","","2997","2997","2997","","","","","",""
"449280","1657","1657","1657","","","","","","","","","","","",""
"449984","","","","","","","","","","-5000","-5000","-5000","","",""
"451264","","","","","","","3806","3806","3806","","","","","",""
"453184","353","353","353","","","","","","","","","","","",""
"453632","","","","","","","","","","2645","2645","2645","","",""
"453952","","","","","","","2906","2906","2906","","","","","",""
"455552","-5000","-5000","-5000","","","","","","","","","","","",""
"455872","169","169","169","","","","","","","","","","","",""
"457728","","","","","","","3767","3767","3767","","","","","",""
"458304","","","","","","","2838","2838","2838","","","","","",""
"460032","","","","","","","2811","2811","2811","","","","","",""
"460928","2574","2574","2574","","","","","","","","","","","",""
"461568","","","","-5000","-5000","-5000","","","","","","","","",""
"462656","2770","2770","2770","","","","","","","","","","","",""
"463680","","","","","","","","","","2754","2754","2754","","",""
"464192","","","","","","","","","","2746","2746","2746","","",""
"464768","","","","-5000","-5000","-5000","","","","","","","","",""
"465472","","","","","","","2726","2726","2726","","","","","",""
"467264","","","","2698","2698","2698","","","","","","","","",""
"467776","","","","","","","-5000","-5000","-5000","","","","","",""
"467968","","","","","","","-5000","-5000","-5000","","","","","",""
"468352","-5000","-5000","-5000","","","","","","","","","","","",""
"470080","","","","","","","-5000","-5000","-5000","","","","","",""
"470848","","","","","","","","","","2216","2216","2216","","",""
"472640","","","","","","","","","","-5000","-5000","-5000","","",""
"475520","","","","","","","-5000","-5000","-5000","","","","","",""
"475712","4286","4286","4286","","","","","","","","","","","",""
"476224","","","","2558","2558","2558","","","","","","","","",""
"476480","3494","3494","3494","","","","","","","","","","","",""
"476864","-5000","-5000","-5000","","","","","","","","","","","",""
"481216","2480","2480","2480","","","","","","","","","","","",""
"484288","-5000","-5000","-5000","","","","","","","","","","","",""
"484480","","","","","","","","","","2429","2429","2429","","",""
"485696","","","","","","","2168","2168","2168","","","","","",""
"486336","2400","2400","2400","","","","","","","","","","","",""
"488448","","","","","","","","","","-5000","-5000","-5000","","",""
"489984","3615","3615","3615","","","","","","","","","","","",""
"490688","","","","","","","","","","1739","1739","1739","","",""
"490816","","","","2330","2330","2330","","","","","","","","",""
"492288","","","","","","","","","","1932","1932","1932","","",""
"493632","","","","-5000","-5000","-5000","","","","","","","","",""
"494080","2279","2279","2279","","","","","","","","","","","",""
"498816","","","","1188","1188","1188","","","","","","","","",""
"501056","","","","","","","1312","1312","1312","","","","","",""
"502720","","","","","","","","","","1983","1983","1983","","",""
"503552","","","","","","","","","","-5000","-5000","-5000","","",""
"504640","","","","3004","3004","3004","","","","","","","","",""
"505344","","","","2103","2103","2103","","","","","","","","",""
"506880","-5000","-5000","-5000","","","","","","","","","","","",""
"506944","","","","","","","4231","4231","4231","","","","","",""
"507712","","","","-5000","-5000","-5000","","","","","","","","",""
"511808","","","","","","","","","","2002","2002","2002","","",""
"512128","","","","","","","-5000","-5000","-5000","","","","","",""
"513088","","","","","","","","","","","","","-5000","-5000","-5000"
"514176","1965","1965","1965","","","","","","","","","","","",""
"514944","3337","3337","3337","","","","","","","","","","","",""
"515648","1942","1942","1942","","","","","","","","","","","",""
"515776","","","","-5000","-5000","-5000","","","","","","","","",""
"517248","","","","","","","","","","1917","1917","1917","","",""
"521152","","","","1856","1856","1856","","","","","","","","",""
"522112","","","","","","","","","","1039","1039","1039","","",""
"522816","","","","","","","1830","1830","1830","","","","","",""
"523712","","","","","","","255","255","255","","","","","",""
"524160","","","","","","","","","","1454","1454","1454","","",""
"525376","","","","","","","","","","3822","3822","3822","","",""
"526272","","","","","","","","","","1520","1520","1520","","",""
"528896","","","","","","","2559","2559","2559","","","","","",""
"530816","","","","1705","1705","1705","","","","","","","","",""
"530944","","","","","","","1703","1703","1703","","","","","",""
"532608","","","","3890","3890","3890","","","","","","","","",""
"532864","","","","","","","1673","1673","1673","","","","","",""
"532992","","","","-5000","-5000","-5000","","","","","","","","",""
"534336","-5000","-5000","-5000","","","","","","","","","","","",""
"536064","","","","","","","","","","571","571","571","","",""
"537984","","","","","","","","","","-5000","-5000","-5000","","",""
"539008","-5000","-5000","-5000","","","","","","","","","","","",""
"541952","","","","","","","-5000","-5000","-5000","","","","","",""
"542272","","","","","","","","","","3884","3884","3884","","",""
"543488","","","","-5000","-5000","-5000","","","","","","","","",""
"545728","","","","","","","3475","3475","3475","","","","","",""
"546944","","","","","","","","","","189","189","189","","",""
"548544","","","","","","","","","","56","56","56","","",""
"549184","3621","3621","3621","","","","","","","","","","","",""
"551424","","","","","","","-5000","-5000","-5000","","","","","",""
"551936","","","","","","","1949","1949","1949","","","","","",""
"554304","1338","1338","1338","","","","","","","","","","","",""
"555072","","","","-5000","-5000","-5000","","","","","","","","",""
"556224","","","","1308","1308","1308","","","","","","","","",""
"558336","","","","","","","-5000","-5000","-5000","","","","","",""
"561728","","","","","","","","","","3311","3311","3311","","",""
"565952","","","","-5000","-5000","-5000","","","","","","","","",""
"566464","1148","1148","1148","","","","","","","","","","","",""
"567616","","","","","","","-5000","-5000","-5000","","","","","",""
"569344","3537","3537","3537","","","","","","","","","","","",""
"570432","","","","","","","","","","-5000","-5000","-5000","","",""
"574080","729","729","729","","","","","","","","","","","",""
"576064","","","","","","","","","","","","","-5000","-5000","-5000"
"578624","","","","","","","958","958","958","958","958","958","","",""
"579264","-5000","-5000","-5000","","","","","","","","","","","",""
"579328","2279","2279","2279","","","","","","","","","","","",""
"581696","3362","3362","3362","","","","","","","","","","","",""
"581760","3477","3477","3477","","","","","","","","","","","",""
"582272","-5000","-5000","-5000","","","","","","","","","","","",""
"584000","","","","874","874","874","-5000","-5000","-5000","","","","","",""
"584448","-5000","-5000","-5000","","","","","","","","","","","",""
"584704","","","","","","","-5000","-5000","-5000","","","","","",""
"585472","","","","","","","","","","131","131","131","","",""
"588544","","","","","","","803","803","803","","","","","",""
"589056","","","","","","","329","329","329","","","","","",""
"589760","","","","","","","","","","-5000","-5000","-5000","","",""
"593408","","","","","","","3649","3649","3649","","","","","",""
"594176","","","","","","","2809","2809","2809","","","","","",""
"594368","","","","-5000","-5000","-5000","","","","","","","","",""
"595776","","","","","","","-5000","-5000","-5000","","","","","",""
"596032","","","","","","","","","","3379","3379","3379","","",""
"596096","","","","-5000","-5000","-5000","","","","","","","","",""
"597504","","","","","","","","","","2133","2133","2133","","",""
"598336","","","","","","","","","","3841","3841","3841","","",""
"599296","","","","","","","","","","-5000","-5000","-5000","","",""
"599872","","","","","","","3891","3891","3891","","","","","",""
"601216","","","","","","","","","","605","605","605","","",""
"601664","","","","2131","2131","2131","","","","","","","","",""
"601856","595","595","595","","","","","","","","","","","",""
"602816","","","","-5000","-5000","-5000","","","","","","","","",""
"603008","","","","577","577","577","","","","","","","","",""
"604992","","","","","","","","","","3214","3214","3214","","",""
"606912","","","","","","","3843","3843","3843","","","","","",""
"607680","","","","","","","","","","-5000","-5000","-5000","","",""
"607872","-5000","-5000","-5000","","","","","","","","","","","",""
"609728","","","","","","","","","","","","","-5000","-5000","-5000"
"611008","","","","","","","2090","2090","2090","","","","","",""
"612480","","","","","","","","","","","","","-5000","-5000","-5000"
"613248","","","","","","","","","","3964","3964","3964","","",""
"613760","","","","409","409","409","","","","","","","","",""
"614464","1760","1760","1760","","","","","","","","","","","",""
"618240","","","","","","","","","","-5000","-5000","-5000","","",""
"618688","","","","-5000","-5000","-5000","","","","","","","","",""
"622016","","","","","","","","","","1576","1576","1576","","",""
"623296","","","","","","","1694","1694","1694","","","","","",""
"623488","","","","1760","1760","1760","","","","-5000","-5000","-5000","","",""
"625856","-5000","-5000","-5000","","","","","","","","","","","",""
"627264","","","","","","","129","129","129","","","","","",""
"627456","","","","","","","","","","-5000","-5000","-5000","","",""
"627584","-5000","-5000","-5000","","","","","","","","","","","",""
"628288","","","","","","","","","","1776","1776","1776","","",""
"629888","-5000","-5000","-5000","","","","","","","","","","","",""
"630208","","","","","","","152","152","152","","","","","",""
"631936","","","","1587","1587","1587","","","","","","","","",""
"632576","","","","","","","-5000","-5000","-5000","","","","","",""
"635136","","","","","","","","","","","","","-5000","-5000","-5000"
"635648","2788","2788","2788","","","","","","","","","","","",""
"636032","","","","-5000","-5000","-5000","","","","","","","","",""
"636544","","","","-5000","-5000","-5000","","","","","","","","",""
"636672","","","","","","","877","877","877","","","","","",""
"637184","","","","679","679","679","","","","","","","","",""
"637952","-5000","-5000","-5000","","","","","","","","","","","",""
"638080","","","","-5000","-5000","-5000","","","","","","","","",""
"638848","","","","","","","","","","-5000","-5000","-5000","","",""
"639296","","","","3339","3339","3339","","","","","","","","",""
"639936","-5000","-5000","-5000","-5000","-5000","-5000","-5000","-5000","-5000","-5000","-5000","-5000","","",""
"643072","","","","","","","1689","1689","1689","","","","","",""
"644352","","","","","","","","","","2564","2564","2564","","",""
"645376","","","","-5000","-5000","-5000","","","","","","","","",""
"645440","","","","","","","","","","2912","2912","2912","","",""
"646464","","","","","","","3515","3515","3515","","","","","",""
"649728","1208","1208","1208","","","","","","","","","","","",""
"651200","","","","","","","1246","1246","1246","","","","","",""
"651776","1249","1249","1249","","","","","","","","","","","",""
"651904","1537","1537","1537","","","","","","","","","","","",""
"653120","4293","4293","4293","","","","","","","","","","","",""
"654592","","","","","","","","","","1532","1532","1532","","",""
"655744","2072","2072","2072","","","","","","","","","","","",""
"660992","","","","","","","","","","2540","2540","2540","","",""
"663872","","","","","","","","","","1321","1321","1321","","",""
"664128","","","","1237","1237","1237","","","","","","","","",""
"665152","-5000","-5000","-5000","","","","","","","","","","","",""
"668736","","","","","","","-5000","-5000","-5000","","","","","",""
"670592","","","","1409","1409","1409","","","","","","","","",""
"674624","","","","","","","","","","2835","2835","2835","","",""
"674880","","","","","","","-5000","-5000","-5000","","","","","",""
"674944","","","","","","","","","","4173","4173","4173","","",""
"676992","","","","","","","","","","1992","1992","1992","","",""
"677376","4415","4415","4415","","","","","","","","","","","",""
"679744","-5000","-5000","-5000","","","","","","","","","","","",""
"680576","","","","","","","","","","1751","1751","1751","","",""
"681280","","","","2240","2240","2240","","","","","","","","",""
"681728","","","","2491","2491","2491","","","","","","","","",""
"682624","","","","","","","","","","-5000","-5000","-5000","","",""
"683264","","","","","","","3460","3460","3460","","","","","",""
"683904","","","","816","816","816","","","","","","","","",""
"684160","","","","","","","-5000","-5000","-5000","","","","","",""
"684800","","","","","","","","","","3636","3636","3636","","",""
"685184","","","","","","","","","","-5000","-5000","-5000","","",""
"687680","","","","","","","","","","","","","-5000","-5000","-5000"
"690304","","","","4213","4213","4213","","","","","","","","",""
"690816","","","","","","","","","","2983","2983","2983","","",""
