"Step","melting_softmax_runseed=4 - training/episode/length","melting_softmax_runseed=4 - training/episode/length__MIN","melting_softmax_runseed=4 - training/episode/length__MAX","melting_softmax_runseed=3 - training/episode/length","melting_softmax_runseed=3 - training/episode/length__MIN","melting_softmax_runseed=3 - training/episode/length__MAX","melting_softmax_runseed=2 - training/episode/length","melting_softmax_runseed=2 - training/episode/length__MIN","melting_softmax_runseed=2 - training/episode/length__MAX","melting_softmax_runseed=1 - training/episode/length","melting_softmax_runseed=1 - training/episode/length__MIN","melting_softmax_runseed=1 - training/episode/length__MAX","melting_softmax_runseed=0 - training/episode/length","melting_softmax_runseed=0 - training/episode/length__MIN","melting_softmax_runseed=0 - training/episode/length__MAX"
"2235648","","","","","","","5000","5000","5000","","","","","",""
"2239936","","","","","","","5000","5000","5000","","","","","",""
"2240448","","","","5000","5000","5000","","","","","","","","",""
"2240512","","","","","","","","","","","","","5000","5000","5000"
"2240704","","","","5000","5000","5000","","","","","","","","",""
"2240832","","","","5000","5000","5000","","","","","","","","",""
"2241792","","","","3817","3817","3817","","","","","","","","",""
"2242944","","","","2519","2519","2519","","","","","","","","",""
"2243648","","","","","","","","","","","","","4127","4127","4127"
"2253120","1241","1241","1241","","","","","","","","","","","",""
"2254336","","","","","","","","","","","","","5000","5000","5000"
"2255552","","","","","","","","","","1178","1178","1178","","",""
"2261696","","","","","","","","","","","","","5000","5000","5000"
"2264320","","","","","","","","","","","","","1682","1682","1682"
"2266048","","","","","","","5000","5000","5000","","","","","",""
"2267072","","","","","","","","","","2634","2634","2634","","",""
"2269760","3645","3645","3645","","","","","","","","","","","",""
"2270656","819","819","819","","","","","","","","","","","",""
"2272512","","","","495","495","495","","","","","","","","",""
"2272832","","","","","","","","","","4470","4470","4470","","",""
"2274240","","","","","","","","","","1500","1500","1500","","",""
"2275456","","","","","","","","","","1146","1146","1146","","",""
"2277568","","","","842","842","842","","","","","","","","",""
"2278144","","","","","","","","","","","","","981","981","981"
"2279168","","","","415","415","415","","","","","","","","",""
"2279424","","","","","","","","","","","","","3411","3411","3411"
"2279808","1278","1278","1278","","","","","","","","","","","",""
"2279872","","","","","","","","","","2072","2072","2072","","",""
"2285056","","","","5000","5000","5000","","","","","","","","",""
"2285632","","","","","","","","","","906","906","906","","",""
"2286336","","","","","","","","","","","","","1974","1974","1974"
"2287872","","","","","","","","","","3405","3405","3405","","",""
"2288384","2735","2735","2735","","","","","","","","","","","",""
"2289536","","","","2828","2828","2828","","","","","","","","",""
"2290560","","","","1890","1890","1890","","","","","","","","",""
"2293056","","","","","","","","","","","","","3762","3762","3762"
"2293120","","","","1376","1376","1376","","","","","","","","",""
"2296896","","","","","","","","","","3639","3639","3639","","",""
"2297344","","","","","","","","","","","","","2210","2210","2210"
"2297472","","","","1003","1003","1003","","","","","","","","",""
"2298752","","","","","","","","","","2495","2495","2495","","",""
"2299520","","","","","","","","","","","","","4668","4668","4668"
"2299584","","","","4619","4619","4619","","","","","","","","",""
"2301696","","","","","","","5000","5000","5000","","","","","",""
"2303104","2919","2919","2919","","","","","","","","","","","",""
"2304064","","","","2245","2245","2245","","","","","","","","",""
"2304128","4369","4369","4369","","","","","","","","","","","",""
"2304768","","","","3099","3099","3099","","","","","","","","",""
"2307136","","","","3737","3737","3737","","","","","","","","",""
"2307904","","","","","","","","","","5000","5000","5000","","",""
"2308224","3845","3845","3845","","","","","","","","","","","",""
"2308416","","","","3088","3088","3088","","","","","","","","",""
"2308544","","","","2909","2909","2909","","","","","","","","",""
"2308672","","","","","","","","","","830","830","830","","",""
"2308864","5000","5000","5000","","","","","","","","","","","",""
"2309824","","","","","","","","","","3379","3379","3379","","",""
"2310592","","","","","","","","","","","","","3652","3652","3652"
"2310720","","","","","","","","","","5000","5000","5000","","",""
"2312128","","","","","","","","","","5000","5000","5000","","",""
"2313920","","","","","","","","","","2414","2414","2414","","",""
"2314048","","","","","","","","","","","","","2411","2411","2411"
"2315136","","","","","","","","","","","","","3049","3049","3049"
"2316800","","","","","","","","","","","","","5000","5000","5000"
"2316864","5000","5000","5000","","","","","","","","","","","",""
"2320256","","","","2216","2216","2216","","","","","","","","",""
"2321408","703","703","703","","","","","","","","","","","",""
"2322368","5000","5000","5000","","","","","","","","","","","",""
"2322688","","","","5000","5000","5000","","","","","","","","",""
"2323456","","","","1297","1297","1297","","","","","","","","",""
"2324096","","","","","","","","","","253","253","253","","",""
"2326336","","","","1107","1107","1107","","","","","","","","",""
"2327168","","","","","","","","","","1027","1027","1027","","",""
"2329664","2515","2515","2515","","","","","","","","","","","",""
"2330048","","","","","","","","","","1666","1666","1666","","",""
"2330112","","","","","","","","","","","","","234","234","234"
"2330816","","","","4017","4017","4017","","","","","","","","",""
"2331136","","","","","","","","","","","","","1726","1726","1726"
"2333952","","","","","","","","","","","","","1097","1097","1097"
"2334016","","","","","","","","","","4391","4391","4391","","",""
"2336128","","","","","","","","","","1955","1955","1955","","",""
"2338048","","","","","","","","","","5000","5000","5000","","",""
"2341824","","","","4824","4824","4824","","","","","","","","",""
"2342336","4589","4589","4589","","","","","","","","","","","",""
"2344768","","","","2024","2024","2024","","","","","","","5000","5000","5000"
"2345600","5000","5000","5000","","","","","","","","","","","",""
"2347456","","","","","","","","","","","","","871","871","871"
"2349888","","","","","","","","","","5000","5000","5000","","",""
"2349952","","","","","","","","","","5000","5000","5000","","",""
"2351168","","","","483","483","483","","","","","","","","",""
"2351680","","","","744","744","744","","","","","","","","",""
"2360064","","","","4367","4367","4367","","","","","","","","",""
"2360128","","","","","","","","","","1453","1453","1453","","",""
"2364224","","","","","","","","","","3702","3702","3702","","",""
"2364928","3475","3475","3475","","","","","","","","","","","",""
"2366400","","","","","","","","","","613","613","613","","",""
"2366592","","","","","","","","","","","","","2675","2675","2675"
"2367296","","","","","","","","","","","","","5000","5000","5000"
"2368000","","","","1944","1944","1944","","","","","","","","",""
"2368128","","","","1494","1494","1494","","","","","","","","",""
"2376064","1060","1060","1060","","","","","","","","","","","",""
"2376704","","","","","","","","","","5000","5000","5000","","",""
"2381120","","","","3511","3511","3511","","","","","","","","",""
"2384064","2346","2346","2346","","","","","","","","","","","",""
"2389760","2714","2714","2714","","","","","","","","","","","",""
"2393280","","","","","","","","","","","","","1984","1984","1984"
"2393408","","","","5000","5000","5000","","","","","","","","",""
"2394560","","","","","","","","","","","","","5000","5000","5000"
"2399360","","","","2683","2683","2683","","","","","","","","",""
"2399744","","","","","","","","","","","","","1088","1088","1088"
"2400704","","","","","","","","","","","","","1119","1119","1119"
"2401216","","","","643","643","643","","","","","","","","",""
"2405312","","","","2537","2537","2537","","","","","","","","",""
"2407808","","","","2615","2615","2615","","","","","","","","",""
"2415104","","","","","","","","","","","","","747","747","747"
"2415232","","","","","","","","","","","","","5000","5000","5000"
"2415552","5000","5000","5000","","","","","","","","","","","",""
"2416320","884","884","884","","","","","","","","","","","",""
"2416640","","","","","","","","","","","","","5000","5000","5000"
"2417152","","","","2156","2156","2156","","","","","","","","",""
"2419904","5000","5000","5000","","","","","","","","","","","",""
"2420608","","","","2307","2307","2307","","","","","","","","",""
"2420800","","","","1080","1080","1080","","","","","","","","",""
"2421248","2518","2518","2518","","","","","","","","","","","",""
"2424128","","","","1871","1871","1871","","","","","","","","",""
"2425216","","","","","","","","","","","","","5000","5000","5000"
"2425856","","","","","","","","","","","","","4212","4212","4212"
"2426368","","","","3476","3476","3476","","","","","","","","",""
"2429568","1690","1690","1690","","","","","","","","","","","",""
"2432320","","","","","","","","","","","","","2281","2281","2281"
"2432960","","","","2485","2485","2485","","","","","","","","",""
"2437120","","","","5000","5000","5000","","","","","","","","",""
"2437312","","","","5000","5000","5000","","","","","","","","",""
"2437952","","","","","","","","","","","","","3085","3085","3085"
"2440000","","","","","","","","","","","","","2745","2745","2745"
"2441728","","","","","","","","","","5000","5000","5000","","",""
"2442112","","","","2467","2467","2467","","","","","","","","",""
"2447104","","","","5000","5000","5000","","","","","","","","",""
"2450496","","","","2702","2702","2702","","","","","","","","",""
"2451712","","","","","","","","","","5000","5000","5000","","",""
"2452608","5000","5000","5000","","","","","","","","","","","",""
"2453184","","","","5000","5000","5000","","","","","","","","",""
"2454016","371","371","371","","","","","","","","","","","",""
"2455616","","","","","","","","","","","","","5000","5000","5000"
"2461376","","","","3333","3333","3333","","","","","","","","",""
"2462592","","","","2082","2082","2082","","","","","","","","",""
"2462976","","","","2654","2654","2654","","","","","","","","",""
"2465408","","","","","","","","","","5000","5000","5000","","",""
"2466432","","","","4822","4822","4822","","","","","","","","",""
"2468608","","","","","","","","","","","","","5000","5000","5000"
"2469120","","","","2742","2742","2742","","","","","","","","",""
"2471040","","","","2541","2541","2541","","","","","","","","",""
"2472128","","","","1627","1627","1627","","","","","","","","",""
"2475392","933","933","933","","","","","","","","","","","",""
"2475840","5000","5000","5000","","","","","","","","","","","",""
"2475968","","","","","","","5000","5000","5000","","","","","",""
"2476224","","","","5000","5000","5000","","","","","","","","",""
"2477056","","","","5000","5000","5000","","","","","","","","",""
"2477120","","","","","","","","","","","","","4614","4614","4614"
"2479808","","","","2110","2110","2110","","","","","","","","",""
"2485056","","","","1246","1246","1246","","","","","","","","",""
"2485568","","","","","","","","","","","","","4330","4330","4330"
"2493248","","","","2366","2366","2366","","","","","","","","",""
"2493504","3205","3205","3205","","","","","","","","","","","",""
"2496128","","","","1688","1688","1688","","","","","","","","",""
"2496576","1623","1623","1623","","","","","","","","","","","",""
"2496832","2454","2454","2454","","","","","","","","","","","",""
"2497408","","","","","","","","","","","","","2107","2107","2107"
"2497600","4463","4463","4463","","","","","","","","","","","",""
"2501760","","","","","","","5000","5000","5000","","","","","",""
"2502144","","","","","","","","","","2793","2793","2793","","",""
"2504448","","","","","","","5000","5000","5000","","","","","",""
"2506048","","","","","","","","","","","","","2730","2730","2730"
"2508416","","","","","","","5000","5000","5000","","","","","",""
"2508544","","","","","","","","","","","","","5000","5000","5000"
"2509184","","","","","","","5000","5000","5000","","","","","",""
"2511168","5000","5000","5000","","","","","","","","","","","",""
"2511424","","","","","","","5000","5000","5000","","","","","",""
"2516736","","","","","","","","","","","","","2768","2768","2768"
"2524160","","","","3423","3423","3423","","","","","","","","",""
"2526336","3218","3218","3218","","","","","","","","","","","",""
"2527488","","","","","","","5000","5000","5000","","","","","",""
"2529408","","","","5000","5000","5000","","","","","","","","",""
"2530048","","","","530","530","530","","","","","","","","",""
"2531264","","","","","","","","","","5000","5000","5000","","",""
"2531456","","","","","","","5000","5000","5000","","","","","",""
"2533632","","","","","","","5000","5000","5000","2606","2606","2606","","",""
"2534016","","","","2857","2857","2857","","","","","","","","",""
"2536000","1158","1158","1158","","","","","","","","","","","",""
"2540672","","","","5000","5000","5000","","","","","","","","",""
"2541696","4413","4413","4413","","","","","","","","","","","",""
"2542400","","","","","","","5000","5000","5000","","","","","",""
"2542784","","","","3660","3660","3660","","","","","","","","",""
"2543936","","","","2127","2127","2127","","","","","","","","",""
"2544128","","","","","","","","","","5000","5000","5000","","",""
"2544256","","","","","","","5000","5000","5000","","","","","",""
"2548544","","","","","","","","","","","","","3664","3664","3664"
"2550208","","","","","","","5000","5000","5000","","","","","",""
"2551552","","","","3819","3819","3819","","","","","","","","",""
"2553408","","","","","","","5000","5000","5000","","","","","",""
"2553600","887","887","887","","","","","","","","","","","",""
"2553984","","","","","","","5000","5000","5000","","","","","",""
"2554688","","","","2705","2705","2705","","","","","","","","",""
"2555648","","","","","","","5000","5000","5000","","","","","",""
"2559936","","","","","","","5000","5000","5000","","","","","",""
"2560320","","","","","","","","","","2033","2033","2033","","",""
"2565632","","","","","","","","","","","","","2167","2167","2167"
"2565696","","","","","","","","","","","","","5000","5000","5000"
"2570048","3316","3316","3316","","","","","","","","","","","",""
"2572544","","","","","","","","","","","","","1823","1823","1823"
"2573120","5000","5000","5000","","","","","","","","","","","",""
"2577280","","","","","","","","","","4179","4179","4179","","",""
"2578624","","","","","","","","","","4363","4363","4363","","",""
"2579008","","","","","","","","","","","","","5000","5000","5000"
"2579776","","","","","","","","","","4561","4561","4561","","",""
"2583872","","","","","","","","","","4452","4452","4452","","",""
"2584896","","","","","","","","","","5000","5000","5000","","",""
"2586048","","","","","","","5000","5000","5000","","","","","",""
"2588032","","","","1858","1858","1858","","","","","","","","",""
"2590656","5000","5000","5000","","","","","","","","","","","",""
"2591552","","","","1376","1376","1376","","","","","","","","",""
"2594240","","","","","","","","","","5000","5000","5000","","",""
"2594688","4341","4341","4341","","","","","","","","","","","",""
"2595456","","","","","","","","","","5000","5000","5000","","",""
"2595776","","","","4534","4534","4534","","","","","","","","",""
"2597440","","","","","","","","","","582","582","582","","",""
"2598848","4531","4531","4531","","","","","","","","","","","",""
"2599808","","","","2607","2607","2607","","","","","","","","",""
"2601152","","","","2258","2258","2258","","","","","","","","",""
"2601984","","","","","","","","","","","","","2531","2531","2531"
"2602560","","","","3947","3947","3947","","","","","","","","",""
"2602816","","","","2185","2185","2185","","","","","","","","",""
"2604800","","","","1178","1178","1178","","","","","","","","",""
"2605056","","","","5000","5000","5000","","","","","","","","",""
"2609536","","","","5000","5000","5000","","","","","","","","",""
"2610880","1523","1523","1523","","","","","","","","","","","",""
"2613312","","","","","","","","","","5000","5000","5000","","",""
"2613504","","","","2358","2358","2358","","","","","","","","",""
"2613824","","","","","","","","","","","","","3105","3105","3105"
"2616896","","","","","","","","","","5000","5000","5000","","",""
"2617344","","","","","","","","","","769","769","769","4793","4793","4793"
"2619136","","","","","","","","","","","","","5000","5000","5000"
"2621568","1921","1921","1921","","","","","","","","","","","",""
"2621696","","","","","","","5000","5000","5000","","","","","",""
"2623104","5000","5000","5000","","","","","","","","","","","",""
"2623296","","","","4570","4570","4570","","","","","","","","",""
"2623488","4393","4393","4393","","","","","","","","","","","",""
"2624128","","","","2392","2392","2392","","","","","","","","",""
"2625216","","","","2436","2436","2436","","","","","","","","",""
"2625856","5000","5000","5000","","","","","","","","","","","",""
"2626432","1910","1910","1910","","","","","","","","","","","",""
"2628608","","","","5000","5000","5000","","","","","","","","",""
"2631360","1878","1878","1878","","","","","","","","","","","",""
"2633472","","","","","","","","","","","","","2899","2899","2899"
"2633728","","","","4131","4131","4131","","","","","","","","",""
"2634944","","","","","","","","","","4639","4639","4639","","",""
"2635840","","","","","","","","","","5000","5000","5000","","",""
"2639232","","","","3841","3841","3841","","","","","","","","",""
"2639296","2000","2000","2000","","","","","","","","","","","",""
"2642624","","","","","","","1292","1292","1292","","","","","",""
"2642688","","","","5000","5000","5000","","","","","","","","",""
"2643328","","","","","","","","","","5000","5000","5000","","",""
"2643456","","","","5000","5000","5000","","","","","","","","",""
"2644288","","","","","","","","","","","","","1928","1928","1928"
"2647168","2378","2378","2378","","","","","","","","","","","",""
"2648512","","","","3147","3147","3147","","","","","","","","",""
"2649472","","","","","","","","","","","","","5000","5000","5000"
"2650496","","","","1665","1665","1665","","","","","","","","",""
"2651904","","","","","","","","","","","","","1615","1615","1615"
"2654080","5000","5000","5000","","","","","","","","","","","",""
"2656768","2487","2487","2487","","","","","","","","","","616","616","616"
"2657664","2517","2517","2517","","","","","","","","","","","",""
"2659840","","","","770","770","770","","","","","","","","",""
"2661312","","","","","","","","","","","","","5000","5000","5000"
"2663680","","","","631","631","631","","","","","","","","",""
"2664704","","","","601","601","601","","","","","","","","",""
"2666240","","","","4237","4237","4237","","","","","","","","",""
"2667456","","","","","","","","","","","","","5000","5000","5000"
"2672576","1459","1459","1459","","","","","","","","","","","",""
"2678848","","","","","","","1960","1960","1960","","","","","",""
"2679104","","","","","","","","","","5000","5000","5000","","",""
"2680128","","","","","","","","","","5000","5000","5000","","",""
"2680448","","","","4880","4880","4880","","","","","","","","",""
"2681984","","","","890","890","890","","","","","","","","",""
"2683712","","","","5000","5000","5000","","","","","","","","",""
"2686848","","","","","","","","","","","","","2658","2658","2658"
"2687552","","","","","","","","","","4356","4356","4356","","",""
"2689920","","","","","","","","","","2031","2031","2031","","",""
"2691520","","","","2077","2077","2077","","","","","","","","",""
"2696064","5000","5000","5000","","","","","","","","","","","",""
"2697536","1111","1111","1111","","","","","","","","","","","",""
"2700992","","","","","","","","","","2198","2198","2198","","",""
"2701504","","","","828","828","828","","","","","","","","",""
"2701632","","","","","","","","","","2662","2662","2662","","",""
"2702656","","","","","","","","","","1270","1270","1270","","",""
"2705344","5000","5000","5000","","","","","","","","","","","",""
"2707648","4075","4075","4075","","","","","","","","","","","",""
"2707968","","","","","","","2313","2313","2313","","","","","",""
"2708096","","","","1821","1821","1821","","","","","","","","",""
"2709056","","","","","","","","","","1158","1158","1158","","",""
"2710848","","","","697","697","697","","","","","","","","",""
"2714432","","","","3875","3875","3875","","","","","","","","",""
"2715712","","","","730","730","730","","","","","","","","",""
"2715968","","","","803","803","803","","","","","","","","",""
"2716480","4580","4580","4580","","","","","","","","","","","",""
"2719680","","","","3055","3055","3055","","","","","","","","",""
"2720704","","","","","","","","","","","","","5000","5000","5000"
"2721216","","","","5000","5000","5000","","","","","","","","",""
"2724032","1601","1601","1601","","","","2564","2564","2564","","","","","",""
"2728896","","","","","","","","","","1232","1232","1232","","",""
"2732288","","","","4534","4534","4534","","","","","","","","",""
"2733888","","","","","","","2718","2718","2718","","","","","",""
"2735232","","","","","","","","","","","","","5000","5000","5000"
"2739904","5000","5000","5000","","","","","","","","","","","",""
"2741248","5000","5000","5000","","","","","","","","","","","",""
"2743232","","","","","","","","","","","","","5000","5000","5000"
"2744128","","","","5000","5000","5000","","","","","","","","",""
"2746368","","","","5000","5000","5000","","","","","","","","",""
"2749248","","","","544","544","544","","","","","","","","",""
"2749440","3970","3970","3970","","","","","","","","","","","",""
"2749760","","","","","","","","","","2542","2542","2542","","",""
"2750976","","","","551","551","551","","","","","","","","",""
"2751104","","","","1366","1366","1366","","","","","","","","",""
"2751232","","","","674","674","674","","","","","","","","",""
"2753216","","","","","","","","","","","","","4048","4048","4048"
"2753280","","","","","","","","","","","","","3399","3399","3399"
"2753600","","","","","","","","","","","","","3293","3293","3293"
"2755648","","","","","","","","","","","","","3805","3805","3805"
"2756416","","","","573","573","573","","","","","","","","",""
"2757056","","","","","","","","","","","","","1567","1567","1567"
"2757248","","","","4999","4999","4999","","","","","","","","",""
"2762368","2555","2555","2555","","","","","","","","","","","",""
"2762496","1552","1552","1552","","","","","","","","","","","",""
"2765440","1084","1084","1084","","","","","","","","","","","",""
"2766592","417","417","417","","","","","","","","","","","",""
"2767424","2212","2212","2212","","","","","","","","","","2584","2584","2584"
"2771008","","","","","","","","","","","","","5000","5000","5000"
"2771904","","","","","","","","","","1809","1809","1809","","",""
"2772928","1801","1801","1801","","","","","","","","","","","",""
"2773312","1152","1152","1152","","","","","","","","","","","",""
"2773440","","","","","","","","","","5000","5000","5000","","",""
"2778688","","","","","","","","","","","","","5000","5000","5000"
"2778816","938","938","938","","","","","","","","","","","",""
"2779200","","","","","","","3426","3426","3426","","","","","",""
"2779456","","","","737","737","737","","","","","","","","",""
"2780992","","","","","","","","","","2971","2971","2971","","",""
"2781376","","","","5000","5000","5000","","","","","","","","",""
"2781440","","","","1271","1271","1271","","","","","","","","",""
"2784448","","","","4277","4277","4277","3508","3508","3508","","","","","",""
"2784832","","","","","","","3514","3514","3514","","","","","",""
"2785536","","","","","","","","","","3254","3254","3254","","",""
"2792128","","","","5000","5000","5000","","","","","","","","",""
"2793152","","","","3726","3726","3726","","","","","","","","",""
"2794560","","","","2251","2251","2251","","","","","","","","",""
"2794624","","","","","","","3667","3667","3667","","","","","",""
"2794880","","","","","","","4580","4580","4580","","","","","",""
"2795008","508","508","508","","","","","","","","","","","",""
"2795200","4714","4714","4714","","","","","","","","","","","",""
"2795392","5000","5000","5000","","","","","","","","","","","",""
"2795968","","","","","","","5000","5000","5000","","","","","",""
"2796224","","","","5000","5000","5000","","","","","","","","",""
"2796608","","","","","","","4491","4491","4491","","","","","",""
"2798656","","","","","","","","","","","","","1233","1233","1233"
"2798912","","","","2581","2581","2581","","","","","","","","",""
"2799168","","","","2445","2445","2445","","","","","","","","",""
"2799616","","","","3075","3075","3075","","","","","","","","",""
"2799808","","","","5000","5000","5000","","","","","","","","",""
"2800960","","","","","","","3766","3766","3766","","","","","",""
"2802944","1129","1129","1129","","","","","","","","","","","",""
"2805568","","","","","","","","","","","","","5000","5000","5000"
"2805888","","","","","","","3843","3843","3843","","","","","",""
"2807488","","","","","","","","","","3050","3050","3050","","",""
"2812032","","","","","","","","","","3872","3872","3872","","",""
"2814208","","","","2066","2066","2066","","","","","","","","",""
"2816640","","","","","","","","","","","","","371","371","371"
"2818752","1598","1598","1598","","","","","","","","","","","",""
"2819584","","","","","","","4057","4057","4057","","","","","",""
"2821824","","","","","","","","","","5000","5000","5000","","",""
"2824448","","","","","","","5000","5000","5000","","","","","",""
"2825280","3603","3603","3603","","","","","","","","","","","",""
"2827904","","","","","","","","","","2193","2193","2193","","",""
"2828288","","","","","","","4700","4700","4700","","","","","",""
"2828416","","","","","","","5000","5000","5000","","","","","",""
"2829184","","","","","","","5000","5000","5000","","","","","",""
"2831424","","","","","","","5000","5000","5000","","","","","",""
"2833280","","","","","","","","","","","","","940","940","940"
"2836480","","","","","","","","","","5000","5000","5000","","",""
"2840384","","","","","","","","","","","","","371","371","371"
"2841152","5000","5000","5000","","","","","","","","","","","",""
"2843392","","","","1067","1067","1067","","","","","","","","",""
"2843840","","","","2947","2947","2947","","","","","","","","",""
"2845824","","","","","","","2154","2154","2154","","","","","",""
"2845952","","","","1511","1511","1511","","","","","","","","",""
"2846080","795","795","795","","","","","","","","","","","",""
"2847232","3863","3863","3863","","","","","","","","","","","",""
"2847936","1258","1258","1258","","","","","","","","","","","",""
"2849472","","","","","","","4617","4617","4617","","","","","",""
"2851456","","","","","","","5000","5000","5000","","","","","",""
"2853632","","","","","","","5000","5000","5000","","","","","",""
"2855168","","","","","","","","","","","","","1580","1580","1580"
"2855616","3596","3596","3596","","","","","","","","","","","",""
"2859712","","","","2289","2289","2289","","","","","","","2709","2709","2709"
"2859968","","","","","","","","","","2712","2712","2712","","",""
"2860672","","","","5000","5000","5000","","","","","","","","",""
"2862400","","","","","","","5000","5000","5000","","","","","",""
"2864000","","","","4312","4312","4312","","","","","","","","",""
"2864256","","","","","","","5000","5000","5000","","","","","",""
"2870208","","","","","","","5000","5000","5000","","","","","",""
"2870720","","","","4296","4296","4296","","","","","","","","",""
"2874560","","","","1455","1455","1455","","","","","","","","",""
"2874944","","","","1839","1839","1839","","","","","","","","",""
"2875648","","","","","","","5000","5000","5000","","","","","",""
"2875968","","","","","","","","","","4564","4564","4564","","",""
"2876416","","","","","","","","","","2615","2615","2615","","",""
"2879936","","","","","","","5000","5000","5000","","","","","",""
"2880960","","","","4315","4315","4315","","","","","","","","",""
"2882944","5000","5000","5000","","","","","","","","","","","",""
"2884288","","","","","","","","","","4857","4857","4857","","",""
"2886528","","","","","","","","","","4895","4895","4895","","",""
"2888832","2659","2659","2659","","","","","","","","","","","",""
"2889856","","","","511","511","511","","","","","","","","",""
"2890944","","","","3933","3933","3933","","","","","","","","",""
"2895168","","","","2333","2333","2333","","","","","","","","",""
"2895744","","","","","","","","","","","","","1197","1197","1197"
"2896448","3077","3077","3077","","","","","","","","","","","",""
"2897728","","","","","","","","","","","","","3694","3694","3694"
"2901248","1598","1598","1598","","","","","","","","","","","",""
"2904064","244","244","244","","","","","","","","","","","",""
"2904832","","","","","","","","","","5000","5000","5000","","",""
"2906048","","","","","","","5000","5000","5000","","","","","",""
"2908672","","","","","","","","","","2050","2050","2050","","",""
"2909632","2058","2058","2058","","","","","","","","","","","",""
"2912640","","","","","","","","","","","","","2269","2269","2269"
"2917888","","","","2606","2606","2606","","","","","","","","",""
"2921152","","","","5000","5000","5000","","","","","","","","",""
"2921984","","","","","","","","","","","","","5000","5000","5000"
"2922560","","","","5000","5000","5000","","","","","","","","",""
"2924288","","","","","","","","","","3008","3008","3008","","",""
"2927424","2949","2949","2949","","","","","","","","","","","",""
"2928768","","","","","","","","","","","","","1588","1588","1588"
"2931648","","","","","","","","","","759","759","759","","",""
"2931712","","","","","","","","","","","","","1170","1170","1170"
"2933504","","","","5000","5000","5000","","","","","","","","",""
"2933696","","","","2095","2095","2095","","","","","","","","",""
"2936896","","","","","","","","","","5000","5000","5000","","",""
"2937280","1618","1618","1618","","","","","","","","","","","",""
"2938112","","","","902","902","902","","","","","","","","",""
"2938944","","","","","","","3358","3358","3358","","","","","",""
"2939136","","","","","","","","","","","","","5000","5000","5000"
"2941696","","","","","","","5000","5000","5000","","","","","",""
"2945792","","","","","","","","","","","","","2194","2194","2194"
"2947712","","","","4810","4810","4810","","","","","","","","",""
"2949312","5000","5000","5000","","","","","","","","","","","",""
"2949440","","","","","","","","","","2870","2870","2870","","",""
"2951360","5000","5000","5000","","","","","","","","","","","",""
"2953984","","","","","","","","","","594","594","594","","",""
"2956416","","","","","","","1195","1195","1195","","","","","",""
"2957312","","","","1458","1458","1458","","","","","","","","",""
"2960128","","","","","","","","","","","","","4935","4935","4935"
"2962624","","","","","","","5000","5000","5000","","","","","",""
"2962688","","","","","","","","","","","","","2194","2194","2194"
"2965760","","","","","","","1817","1817","1817","","","","","",""
"2969472","","","","","","","","","","","","","5000","5000","5000"
"2973312","","","","1886","1886","1886","","","","","","","","",""
"2976064","5000","5000","5000","","","","","","","","","","","",""
"2978240","5000","5000","5000","","","","","","","2668","2668","2668","","",""
"2982848","","","","3872","3872","3872","","","","","","","","",""
"2985792","","","","","","","","","","","","","1099","1099","1099"
"2989056","2311","2311","2311","","","","","","","","","","","",""
"2989184","","","","","","","2152","2152","2152","","","","","",""
"2990016","","","","1482","1482","1482","","","","","","","","",""
"2993408","","","","1601","1601","1601","","","","","","","","",""
"2993600","2156","2156","2156","","","","","","","","","","","",""
"2994112","","","","","","","1784","1784","1784","","","","","",""
"2998848","","","","","","","5000","5000","5000","","","","","",""
"3001984","","","","975","975","975","","","","","","","","",""
"3002816","","","","","","","1920","1920","1920","","","","","",""
"3005056","","","","4517","4517","4517","","","","","","","","",""
"3005120","","","","3306","3306","3306","","","","","","","","",""
"3005888","","","","2423","2423","2423","","","","","","","","",""
"3006656","","","","2481","2481","2481","1980","1980","1980","","","","","",""
"3006720","","","","","","","1573","1573","1573","","","","","",""
"3007680","","","","2560","2560","2560","","","","","","","","",""
"3010112","","","","3406","3406","3406","","","","","","","","",""
"3016128","","","","2212","2212","2212","","","","","","","","",""
"3016704","","","","","","","","","","5000","5000","5000","","",""
"3018560","","","","","","","","","","4952","4952","4952","","",""
"3019648","","","","546","546","546","","","","","","","","",""
"3021120","","","","","","","","","","2905","2905","2905","","",""
"3022912","","","","5000","5000","5000","","","","","","","","",""
"3024832","","","","2835","2835","2835","","","","","","","","",""
"3028736","3028","3028","3028","","","","","","","","","","","",""
"3028992","","","","3637","3637","3637","","","","","","","","",""
"3031936","","","","","","","","","","","","","2361","2361","2361"
"3032384","","","","","","","","","","","","","2698","2698","2698"
"3032640","","","","","","","","","","","","","4088","4088","4088"
"3033280","2992","2992","2992","","","","","","","","","","","",""
"3034112","","","","1765","1765","1765","","","","","","","","",""
"3036032","","","","","","","","","","","","","724","724","724"
"3039680","","","","5000","5000","5000","","","","","","","","",""
"3046976","","","","574","574","574","","","","","","","","",""
"3048640","","","","","","","","","","470","470","470","","",""
"3050624","","","","4010","4010","4010","","","","","","","759","759","759"
"3050688","","","","2653","2653","2653","","","","","","","","",""
"3051520","","","","","","","","","","2232","2232","2232","","",""
"3052864","","","","4971","4971","4971","","","","","","","","",""
"3053888","2671","2671","2671","","","","5000","5000","5000","","","","","",""
"3054272","","","","","","","","","","","","","3852","3852","3852"
"3054720","","","","","","","","","","","","","2280","2280","2280"
