"Step","melting_softmax_runseed=4 - training/episode/length","melting_softmax_runseed=4 - training/episode/length__MIN","melting_softmax_runseed=4 - training/episode/length__MAX","melting_softmax_runseed=3 - training/episode/length","melting_softmax_runseed=3 - training/episode/length__MIN","melting_softmax_runseed=3 - training/episode/length__MAX","melting_softmax_runseed=2 - training/episode/length","melting_softmax_runseed=2 - training/episode/length__MIN","melting_softmax_runseed=2 - training/episode/length__MAX","melting_softmax_runseed=1 - training/episode/length","melting_softmax_runseed=1 - training/episode/length__MIN","melting_softmax_runseed=1 - training/episode/length__MAX","melting_softmax_runseed=0 - training/episode/length","melting_softmax_runseed=0 - training/episode/length__MIN","melting_softmax_runseed=0 - training/episode/length__MAX"
"555968","","","","","","","5000","5000","5000","","","","","",""
"557248","","","","","","","","","","3708","3708","3708","","",""
"557376","","","","","","","","","","3710","3710","3710","","",""
"572224","","","","","","","","","","","","","3942","3942","3942"
"581760","","","","","","","5000","5000","5000","","","","","",""
"584448","","","","","","","5000","5000","5000","","","","","",""
"585920","4156","4156","4156","","","","","","","","","","","",""
"588032","1475","1475","1475","","","","","","","","","","","",""
"588416","","","","","","","5000","5000","5000","","","","","",""
"589184","","","","","","","5000","5000","5000","","","","","",""
"591424","","","","","","","5000","5000","5000","","","","","",""
"593984","","","","5000","5000","5000","","","","","","","","",""
"597120","","","","","","","","","","","","","4331","4331","4331"
"602304","","","","","","","","","","","","","4412","4412","4412"
"607488","","","","","","","5000","5000","5000","","","","","",""
"611456","","","","","","","5000","5000","5000","","","","","",""
"613632","","","","","","","5000","5000","5000","","","","","",""
"622400","","","","","","","5000","5000","5000","","","","","",""
"623872","4749","4749","4749","","","","","","","","","","","",""
"624256","","","","","","","5000","5000","5000","","","","","",""
"630208","","","","","","","5000","5000","5000","","","","","",""
"633408","","","","","","","5000","5000","5000","","","","","",""
"633984","","","","","","","5000","5000","5000","","","","","",""
"635648","","","","","","","5000","5000","5000","","","","","",""
"639936","","","","","","","5000","5000","5000","","","","","",""
"643968","","","","5000","5000","5000","","","","","","","","",""
"646336","","","","","","","","","","","","","2370","2370","2370"
"650304","2478","2478","2478","","","","","","","","","","","",""
"651072","2569","2569","2569","","","","","","","","","","","",""
"664448","","","","","","","","","","","","","383","383","383"
"666048","","","","","","","5000","5000","5000","","","","","",""
"666112","","","","","","","","","","","","","1151","1151","1151"
"667264","1035","1035","1035","","","","","","","","","","","",""
"668928","","","","5000","5000","5000","","","","","","","","",""
"673152","","","","5000","5000","5000","","","","","","","","",""
"682752","2526","2526","2526","","","","","","","","","","","",""
"688128","","","","","","","","","","","","","1341","1341","1341"
"689536","5000","5000","5000","","","","","","","","","","","",""
"689664","","","","5000","5000","5000","","","","","","","","",""
"691904","","","","5000","5000","5000","","","","","","","","",""
"692288","","","","5000","5000","5000","","","","","","","","",""
"695424","","","","5000","5000","5000","","","","","","","","",""
"699392","","","","","","","","","","4909","4909","4909","","",""
"701632","","","","","","","","","","964","964","964","","",""
"701696","","","","","","","5000","5000","5000","","","","","",""
"701888","","","","","","","","","","","","","968","968","968"
"704064","","","","5000","5000","5000","","","","","","","","",""
"706752","","","","5000","5000","5000","","","","","","","","",""
"711296","","","","","","","","","","2480","2480","2480","","",""
"711552","","","","","","","","","","2721","2721","2721","","",""
"711936","","","","","","","","","","5000","5000","5000","","",""
"712768","","","","","","","","","","","","","1138","1138","1138"
"714240","","","","5000","5000","5000","","","","","","","","",""
"717184","1207","1207","1207","","","","","","","","","","","",""
"726592","","","","","","","","","","5000","5000","5000","","",""
"729216","1233","1233","1233","","","","","","","","","","","",""
"738368","","","","","","","","","","5000","5000","5000","","",""
"738816","","","","5000","5000","5000","","","","","","","","",""
"741376","","","","5000","5000","5000","","","","","","","","",""
"745280","","","","","","","","","","5000","5000","5000","","",""
"745856","","","","","","","","","","","","","1655","1655","1655"
"746880","","","","","","","","","","3075","3075","3075","","",""
"748096","","","","","","","","","","","","","4257","4257","4257"
"749440","","","","","","","","","","","","","1711","1711","1711"
"753600","","","","","","","","","","585","585","585","","",""
"754240","","","","","","","","","","661","661","661","","",""
"754496","","","","5000","5000","5000","","","","","","","","",""
