"Step","melting_self_runseed=4 - training/episode/length","melting_self_runseed=4 - training/episode/length__MIN","melting_self_runseed=4 - training/episode/length__MAX","melting_self_runseed=3 - training/episode/length","melting_self_runseed=3 - training/episode/length__MIN","melting_self_runseed=3 - training/episode/length__MAX","melting_self_runseed=2 - training/episode/length","melting_self_runseed=2 - training/episode/length__MIN","melting_self_runseed=2 - training/episode/length__MAX","melting_self_runseed=1 - training/episode/length","melting_self_runseed=1 - training/episode/length__MIN","melting_self_runseed=1 - training/episode/length__MAX","melting_self_runseed=0 - training/episode/length","melting_self_runseed=0 - training/episode/length__MIN","melting_self_runseed=0 - training/episode/length__MAX"
"6020544","","","","","","","","","","3550","3550","3550","","",""
"6021632","","","","","","","","","","2357","2357","2357","","",""
"6022016","","","","","","","3477","3477","3477","","","","","",""
"6022336","","","","","","","3835","3835","3835","","","","","",""
"6022400","","","","","","","","","","4605","4605","4605","","",""
"6022912","890","890","890","","","","","","","","","","","",""
"6028864","","","","","","","","","","3600","3600","3600","","",""
"6030400","","","","2297","2297","2297","","","","","","","","",""
"6033088","","","","2924","2924","2924","","","","","","","","",""
"6035136","4356","4356","4356","","","","","","","","","","","",""
"6037440","743","743","743","","","","","","","","","","","",""
"6037888","","","","","","","2998","2998","2998","","","","","",""
"6039040","","","","5000","5000","5000","","","","","","","","",""
"6039936","","","","5000","5000","5000","","","","","","","","",""
"6041856","","","","","","","1810","1810","1810","","","","","",""
"6044544","","","","","","","","","","4708","4708","4708","","",""
"6044992","","","","","","","1632","1632","1632","","","","","",""
"6047680","","","","","","","825","825","825","","","","","",""
"6048064","4814","4814","4814","","","","","","","","","","","",""
"6048704","","","","5000","5000","5000","","","","","","","","",""
"6050112","","","","","","","4145","4145","4145","","","","","",""
"6050624","","","","","","","835","835","835","","","","","",""
"6052224","","","","","","","","","","5000","5000","5000","","",""
"6052480","","","","","","","","","","","","","1151","1151","1151"
"6052800","","","","","","","","","","","","","1879","1879","1879"
"6059456","","","","","","","","","","","","","3069","3069","3069"
"6060864","2620","2620","2620","","","","","","","","","","","",""
"6061184","","","","","","","774","774","774","","","","","",""
"6062464","","","","","","","","","","","","","509","509","509"
"6069760","","","","","","","4244","4244","4244","","","","","",""
"6070400","","","","","","","","","","1599","1599","1599","","",""
"6071552","","","","","","","524","524","524","","","","","",""
"6073728","","","","","","","","","","","","","1440","1440","1440"
"6073856","","","","","","","","","","811","811","811","","",""
"6074688","","","","","","","","","","","","","2589","2589","2589"
"6075200","2094","2094","2094","","","","","","","","","","","",""
"6076928","","","","3918","3918","3918","","","","","","","","",""
"6080704","","","","","","","","","","5000","5000","5000","","",""
"6080960","","","","","","","2977","2977","2977","","","","","",""
"6081152","","","","","","","1893","1893","1893","","","","","",""
"6081344","","","","","","","","","","","","","3918","3918","3918"
"6081664","1881","1881","1881","","","","","","","","","","","",""
"6082432","3700","3700","3700","","","","","","","","","","","",""
"6082560","1544","1544","1544","","","","","","","","","","","",""
"6086336","","","","","","","5000","5000","5000","","","","","",""
"6087040","","","","","","","","","","4666","4666","4666","","",""
"6089088","","","","","","","","","","","","","1887","1887","1887"
"6092608","","","","","","","","","","","","","3083","3083","3083"
"6094720","","","","","","","1131","1131","1131","","","","","",""
"6095488","","","","","","","","","","","","","2339","2339","2339"
"6098304","","","","","","","","","","5000","5000","5000","","",""
"6098880","","","","","","","","","","","","","807","807","807"
"6100416","","","","5000","5000","5000","","","","","","","","",""
"6100736","707","707","707","","","","","","","","","","","",""
"6102016","","","","","","","","","","5000","5000","5000","","",""
"6102528","","","","978","978","978","","","","","","","","",""
"6103424","","","","","","","5000","5000","5000","","","","","",""
"6105984","","","","","","","1423","1423","1423","","","","","",""
"6108672","","","","","","","","","","","","","251","251","251"
"6110336","","","","2521","2521","2521","","","","","","","","",""
"6111040","","","","","","","","","","873","873","873","","",""
"6112000","221","221","221","","","","","","","","","","","",""
"6114624","","","","","","","","","","","","","3378","3378","3378"
"6115264","","","","","","","1984","1984","1984","","","","","",""
"6116224","","","","","","","","","","2199","2199","2199","","",""
"6117760","","","","","","","828","828","828","","","","","",""
"6119040","","","","1385","1385","1385","","","","","","","","",""
"6121280","944","944","944","","","","","","","","","","","",""
"6122304","","","","","","","1208","1208","1208","","","","","",""
"6124736","","","","","","","","","","","","","4689","4689","4689"
"6124864","","","","","","","833","833","833","","","","","",""
"6126080","","","","","","","","","","","","","797","797","797"
"6126208","1461","1461","1461","","","","","","","","","","","",""
"6129728","1316","1316","1316","","","","","","","","","","","",""
"6132096","","","","","","","","","","","","","3573","3573","3573"
"6133568","","","","","","","1365","1365","1365","","","","","",""
"6133888","","","","5000","5000","5000","","","","","","","","",""
"6135872","4385","4385","4385","","","","","","","","","","","",""
"6136384","","","","","","","","","","1031","1031","1031","","",""
"6141632","","","","","","","","","","","","","3301","3301","3301"
"6142336","","","","","","","","","","","","","1335","1335","1335"
"6143232","","","","5000","5000","5000","","","","","","","","",""
"6143808","3914","3914","3914","","","","","","","","","","","",""
"6144320","","","","","","","","","","732","732","732","","",""
"6144384","","","","","","","","","","","","","5000","5000","5000"
"6144576","","","","","","","3152","3152","3152","","","","","",""
"6145216","","","","4837","4837","4837","","","","","","","","",""
"6145920","","","","","","","170","170","170","","","","","",""
"6148480","","","","","","","","","","2859","2859","2859","","",""
"6149440","","","","","","","","","","","","","1994","1994","1994"
"6149760","","","","","","","4251","4251","4251","","","","","",""
"6151424","","","","","","","","","","2075","2075","2075","","",""
"6151872","","","","","","","","","","2023","2023","2023","","",""
"6153664","","","","","","","","","","","","","1345","1345","1345"
"6159168","","","","","","","","","","1791","1791","1791","","",""
"6159808","","","","","","","5000","5000","5000","","","","","",""
"6160704","","","","","","","","","","","","","1876","1876","1876"
"6166016","","","","","","","","","","","","","4301","4301","4301"
"6166208","","","","","","","","","","","","","877","877","877"
"6166976","","","","","","","","","","2877","2877","2877","","",""
"6167104","","","","","","","","","","","","","306","306","306"
"6168704","","","","","","","","","","","","","1518","1518","1518"
"6168960","","","","","","","1464","1464","1464","","","","","",""
"6176448","","","","","","","917","917","917","","","","","",""
"6179264","1382","1382","1382","","","","","","","","","","","",""
"6179392","","","","","","","","","","2981","2981","2981","","",""
"6182080","","","","1511","1511","1511","","","","","","","","",""
"6183872","5000","5000","5000","","","","","","","","","","","",""
"6184320","","","","5000","5000","5000","","","","","","","","",""
"6188160","","","","1532","1532","1532","","","","","","","","",""
"6188544","","","","","","","1147","1147","1147","","","","","",""
"6189440","","","","","","","","","","1440","1440","1440","","",""
"6191936","","","","","","","","","","","","","4152","4152","4152"
"6193088","3413","3413","3413","","","","","","","","","","","",""
"6195008","1832","1832","1832","","","","","","","","","","","",""
"6196736","","","","","","","1181","1181","1181","","","","","",""
"6198400","","","","","","","760","760","760","","","","","",""
"6198464","","","","","","","","","","","","","580","580","580"
"6198528","","","","","","","462","462","462","","","","","",""
"6200000","767","767","767","","","","","","","","","","","",""
"6200448","","","","","","","576","576","576","","","","","",""
"6204736","","","","","","","","","","3421","3421","3421","","",""
"6208000","","","","","","","923","923","923","","","","","",""
"6208128","","","","","","","","","","4284","4284","4284","","",""
"6210048","","","","","","","","","","239","239","239","","",""
"6212608","","","","","","","1498","1498","1498","","","","","",""
"6214464","","","","5000","5000","5000","","","","","","","","",""
"6216320","","","","","","","2115","2115","2115","","","","","",""
"6216704","","","","","","","4491","4491","4491","","","","","",""
"6216896","","","","","","","","","","","","","3618","3618","3618"
"6217856","","","","","","","","","","","","","793","793","793"
"6220736","","","","1211","1211","1211","","","","","","","","",""
"6220864","","","","","","","793","793","793","","","","","",""
"6221056","","","","1055","1055","1055","","","","","","","","",""
"6221184","2871","2871","2871","","","","","","","","","","","",""
"6221376","","","","5000","5000","5000","","","","","","","","",""
"6222208","3026","3026","3026","","","","","","","","","","","",""
"6222720","","","","5000","5000","5000","","","","","","","","",""
"6223040","879","879","879","","","","","","","","","","","",""
"6228032","","","","","","","","","","1507","1507","1507","","",""
"6230592","","","","","","","2659","2659","2659","","","","","",""
"6233728","","","","","","","504","504","504","","","","","",""
"6235136","","","","","","","","","","1993","1993","1993","","",""
"6236096","","","","","","","4325","4325","4325","","","","","",""
"6237184","","","","","","","","","","2445","2445","2445","","",""
"6240128","","","","","","","5000","5000","5000","","","","","",""
"6241728","","","","","","","3478","3478","3478","","","","","",""
"6242176","","","","","","","2882","2882","2882","","","","","",""
"6244288","","","","","","","2098","2098","2098","","","","","",""
"6246016","","","","","","","","","","4266","4266","4266","","",""
"6246272","","","","","","","","","","3819","3819","3819","","",""
"6247360","","","","5000","5000","5000","","","","","","","","",""
"6248384","","","","2543","2543","2543","","","","","","","","",""
"6248512","","","","5000","5000","5000","","","","","","","","",""
"6249024","","","","1143","1143","1143","","","","","","","","",""
"6249792","","","","","","","","","","2682","2682","2682","","",""
"6253824","","","","","","","","","","","","","1742","1742","1742"
"6255808","","","","","","","895","895","895","","","","","",""
"6256640","4308","4308","4308","","","","","","","","","","","",""
"6261696","","","","","","","","","","","","","5000","5000","5000"
"6263232","","","","","","","","","","","","","658","658","658"
"6263936","","","","","","","1420","1420","1420","","","","","",""
"6264512","","","","","","","","","","2519","2519","2519","","",""
"6269312","3294","3294","3294","","","","","","","","","","","",""
"6269504","","","","2143","2143","2143","","","","","","","","",""
"6269888","","","","","","","","","","2681","2681","2681","","",""
"6270144","","","","","","","","","","","","","1367","1367","1367"
"6271808","","","","2881","2881","2881","","","","","","","","",""
"6272384","2506","2506","2506","","","","","","","","","","","",""
"6272640","","","","","","","5000","5000","5000","","","","","",""
"6274240","2995","2995","2995","","","","","","","","","","","",""
"6274496","","","","","","","581","581","581","","","","","",""
"6277120","","","","","","","","","","","","","914","914","914"
"6278016","","","","","","","","","","","","","1708","1708","1708"
"6278464","","","","","","","","","","1069","1069","1069","","",""
"6278976","","","","","","","","","","1534","1534","1534","","",""
"6280768","","","","","","","","","","5000","5000","5000","","",""
"6282752","3005","3005","3005","","","","","","","","","","","",""
"6283328","1153","1153","1153","","","","","","","","","","","",""
"6285888","","","","","","","2380","2380","2380","","","","","",""
"6285952","","","","","","","","","","","","","5000","5000","5000"
"6287808","","","","","","","","","","","","","639","639","639"
"6291712","4473","4473","4473","","","","","","","","","","","",""
"6293184","","","","","","","","","","144","144","144","","",""
"6296832","","","","","","","","","","","","","313","313","313"
"6297472","1714","1714","1714","","","","","","","","","","","",""
"6298560","","","","","","","","","","5000","5000","5000","","",""
"6301952","","","","","","","","","","2507","2507","2507","","",""
"6302016","","","","","","","","","","4451","4451","4451","","",""
"6303872","","","","1014","1014","1014","","","","","","","","",""
"6304064","","","","","","","2254","2254","2254","","","","","",""
"6304128","5000","5000","5000","","","","","","","","","","","",""
"6305536","","","","","","","","","","","","","2415","2415","2415"
"6308480","","","","","","","","","","3934","3934","3934","","",""
"6309248","3215","3215","3215","","","","","","","","","","","",""
"6311936","5000","5000","5000","","","","","","","","","","","",""
"6312768","","","","","","","","","","536","536","536","","",""
"6315712","","","","","","","","","","","","","844","844","844"
"6320256","","","","","","","","","","912","912","912","","",""
"6321216","","","","","","","1887","1887","1887","","","","","",""
"6324032","","","","","","","","","","","","","444","444","444"
"6324096","","","","","","","1990","1990","1990","","","","","",""
"6327872","3867","3867","3867","","","","","","","","","","","",""
"6329216","","","","393","393","393","","","","","","","","",""
"6329472","","","","5000","5000","5000","","","","","","","","",""
"6329536","5000","5000","5000","","","","","","","","","","","",""
"6330432","","","","","","","","","","2171","2171","2171","","",""
"6333568","","","","","","","3108","3108","3108","","","","","",""
"6336128","","","","","","","","","","5000","5000","5000","","",""
"6336640","","","","","","","1394","1394","1394","","","","","",""
"6336704","","","","","","","3260","3260","3260","","","","3857","3857","3857"
"6336832","","","","","","","1574","1574","1574","","","","","",""
"6338496","","","","","","","1505","1505","1505","","","","","",""
"6339328","","","","","","","4519","4519","4519","","","","","",""
"6346624","","","","","","","1568","1568","1568","","","","","",""
"6354944","2004","2004","2004","","","","","","","","","","","",""
"6355968","","","","","","","1910","1910","1910","","","","","",""
"6357312","3262","3262","3262","","","","","","","","","","","",""
"6357440","","","","2234","2234","2234","","","","","","","","",""
"6359104","","","","","","","718","718","718","","","","","",""
"6359168","","","","","","","1830","1830","1830","","","","","",""
"6359616","","","","","","","1387","1387","1387","","","","","",""
"6360960","","","","","","","","","","1737","1737","1737","","",""
"6362304","","","","1450","1450","1450","","","","5000","5000","5000","","",""
"6363392","","","","","","","1389","1389","1389","","","","","",""
"6366784","","","","837","837","837","","","","","","","","",""
"6367680","4019","4019","4019","","","","","","","","","","","",""
"6369152","1473","1473","1473","","","","","","","","","","","",""
"6370560","","","","","","","3579","3579","3579","","","","","",""
"6372352","","","","","","","193","193","193","","","","","",""
"6373696","","","","5000","5000","5000","","","","","","","","",""
"6375616","","","","","","","555","555","555","","","","","",""
"6382592","","","","3515","3515","3515","","","","","","","","",""
"6384064","","","","","","","","","","1283","1283","1283","","",""
"6385856","3763","3763","3763","","","","","","","","","","","",""
"6386816","","","","","","","","","","","","","2543","2543","2543"
"6389312","","","","2095","2095","2095","","","","","","","","",""
"6389568","555","555","555","","","","","","","","","","","",""
"6395840","","","","","","","2935","2935","2935","","","","","",""
"6396928","","","","5000","5000","5000","","","","","","","","",""
"6398144","","","","","","","","","","","","","1435","1435","1435"
"6399424","","","","","","","958","958","958","","","","","",""
"6402688","","","","","","","","","","574","574","574","","",""
"6403328","","","","","","","","","","1139","1139","1139","","",""
"6405376","589","589","589","","","","","","","","","","","",""
"6410368","904","904","904","","","","","","","624","624","624","","",""
"6411136","","","","919","919","919","","","","","","","","",""
"6413056","2807","2807","2807","","","","","","","","","","","",""
"6414720","","","","","","","","","","","","","4079","4079","4079"
"6419008","","","","","","","245","245","245","","","","","",""
"6419264","","","","","","","682","682","682","","","","","",""
"6420736","","","","","","","","","","3011","3011","3011","","",""
"6421056","","","","","","","","","","","","","2358","2358","2358"
"6421120","","","","","","","","","","5000","5000","5000","","",""
"6426432","1934","1934","1934","","","","","","","","","","","",""
"6428288","924","924","924","","","","","","","","","","","",""
"6428672","","","","3853","3853","3853","","","","","","","","",""
"6429440","1587","1587","1587","","","","","","","","","","","",""
"6431808","","","","","","","251","251","251","","","","","",""
"6433600","","","","","","","","","","","","","2550","2550","2550"
"6433664","1944","1944","1944","","","","","","","","","","","",""
"6435200","","","","","","","","","","","","","3801","3801","3801"
"6435264","","","","","","","5000","5000","5000","","","","","",""
"6436864","","","","","","","1568","1568","1568","","","","","",""
"6438912","5000","5000","5000","","","","","","","","","","","",""
"6439040","","","","5000","5000","5000","","","","","","","","",""
"6441536","2081","2081","2081","","","","","","","","","","","",""
"6442240","","","","","","","","","","","","","1702","1702","1702"
"6442368","","","","","","","1460","1460","1460","","","","","",""
"6443648","","","","","","","3159","3159","3159","","","","","",""
"6444480","","","","","","","","","","","","","1277","1277","1277"
"6444992","","","","","","","","","","","","","2365","2365","2365"
"6445632","2488","2488","2488","","","","","","","","","","","",""
"6448000","","","","","","","5000","5000","5000","","","","520","520","520"
"6448192","","","","1155","1155","1155","","","","","","","","",""
"6448256","917","917","917","","","","","","","","","","","",""
"6450112","2613","2613","2613","","","","","","","","","","","",""
"6451776","","","","","","","","","","","","","5000","5000","5000"
"6453248","","","","","","","2724","2724","2724","","","","","",""
"6454336","","","","","","","","","","","","","1407","1407","1407"
"6456384","","","","","","","","","","","","","1087","1087","1087"
"6458368","","","","2113","2113","2113","","","","","","","","",""
"6459520","","","","","","","1090","1090","1090","","","","","",""
"6459968","","","","","","","4087","4087","4087","","","","","",""
"6464896","","","","","","","","","","","","","2490","2490","2490"
"6466240","","","","5000","5000","5000","","","","","","","","",""
"6467712","","","","","","","","","","4109","4109","4109","","",""
"6469760","","","","2532","2532","2532","","","","","","","","",""
"6470720","","","","","","","","","","","","","1075","1075","1075"
"6470848","","","","","","","","","","1345","1345","1345","","",""
"6471296","","","","","","","","","","3933","3933","3933","","",""
"6476736","","","","","","","2396","2396","2396","","","","","",""
"6477952","1134","1134","1134","","","","","","","","","","","",""
"6478336","1062","1062","1062","","","","","","","","","","","",""
"6478464","2602","2602","2602","","","","","","","","","","","",""
"6487296","707","707","707","","","","","","","","","","","",""
"6487360","","","","","","","","","","2341","2341","2341","","",""
"6488512","2050","2050","2050","","","","","","","","","","","",""
"6491456","","","","1477","1477","1477","","","","","","","","",""
"6492160","","","","","","","","","","","","","1933","1933","1933"
"6493760","","","","","","","","","","","","","1017","1017","1017"
"6495424","","","","","","","1540","1540","1540","","","","","",""
"6496640","292","292","292","","","","","","","","","","","",""
"6498432","","","","","","","1701","1701","1701","","","","","",""
"6500224","917","917","917","","","","","","","","","","","",""
"6500608","","","","2513","2513","2513","","","","","","","","",""
"6500928","","","","858","858","858","","","","","","","","",""
"6501248","","","","1554","1554","1554","","","","","","","","",""
"6502592","","","","","","","","","","5000","5000","5000","","",""
"6502848","853","853","853","","","","","","","","","","","",""
"6503360","2607","2607","2607","","","","","","","","","","","",""
"6504320","","","","5000","5000","5000","","","","","","","","",""
"6504960","","","","","","","","","","3461","3461","3461","","",""
"6505856","512","512","512","","","","","","","","","","","",""
"6507200","","","","","","","","","","3878","3878","3878","","",""
"6507456","","","","1750","1750","1750","","","","","","","","",""
"6507904","","","","","","","","","","183","183","183","","",""
"6508416","","","","","","","2476","2476","2476","","","","","",""
"6511552","","","","","","","","","","2332","2332","2332","","",""
"6511744","","","","","","","712","712","712","","","","","",""
"6513664","","","","","","","1279","1279","1279","","","","","",""
"6514368","","","","","","","","","","3154","3154","3154","","",""
"6522432","2458","2458","2458","","","","","","","","","","","",""
"6522880","","","","","","","","","","3663","3663","3663","","",""
"6527424","","","","","","","3177","3177","3177","","","","","",""
"6528128","","","","","","","","","","551","551","551","","",""
"6528256","","","","","","","317","317","317","","","","","",""
"6528320","","","","","","","","","","","","","2989","2989","2989"
"6530432","","","","","","","","","","963","963","963","","",""
"6530688","","","","","","","371","371","371","","","","","",""
"6532608","","","","","","","","","","","","","1263","1263","1263"
"6533184","","","","4154","4154","4154","","","","","","","","",""
"6533632","","","","","","","","","","","","","264","264","264"
"6534784","","","","","","","","","","509","509","509","","",""
"6536064","1943","1943","1943","","","","","","","","","","","",""
"6537216","","","","","","","3880","3880","3880","","","","","",""
"6540736","","","","5000","5000","5000","","","","","","","","",""
"6541888","","","","","","","2764","2764","2764","","","","2578","2578","2578"
"6542912","","","","","","","726","726","726","","","","","",""
"6544128","","","","","","","476","476","476","","","","","",""
"6545216","","","","2263","2263","2263","","","","","","","","",""
"6547456","2397","2397","2397","","","","","","","","","","","",""
"6548672","","","","","","","2730","2730","2730","","","","","",""
"6554368","","","","","","","603","603","603","","","","","",""
"6554816","","","","","","","","","","","","","4325","4325","4325"
"6555328","","","","","","","","","","","","","987","987","987"
"6556224","1000","1000","1000","","","","","","","","","","","",""
"6558272","","","","","","","1173","1173","1173","","","","","",""
"6559104","","","","","","","","","","","","","548","548","548"
"6559680","","","","1190","1190","1190","","","","","","","","",""
"6560128","","","","","","","5000","5000","5000","","","","","",""
"6563968","338","338","338","","","","","","","","","","","",""
"6565440","","","","","","","","","","5000","5000","5000","","",""
"6566016","","","","","","","","","","5000","5000","5000","","",""
"6567744","","","","","","","","","","946","946","946","","",""
"6568192","","","","1234","1234","1234","","","","","","","","",""
"6568832","","","","911","911","911","","","","","","","","",""
"6570688","","","","","","","2283","2283","2283","","","","","",""
"6571264","2560","2560","2560","","","","","","","","","","","",""
"6571712","","","","5000","5000","5000","","","","","","","2898","2898","2898"
"6576000","","","","","","","1574","1574","1574","","","","","",""
"6577856","","","","","","","","","","","","","825","825","825"
"6582464","","","","","","","","","","","","","2531","2531","2531"
"6583168","","","","","","","1405","1405","1405","","","","","",""
"6583232","","","","","","","","","","","","","5000","5000","5000"
"6584960","","","","4053","4053","4053","","","","","","","","",""
"6585920","","","","","","","2055","2055","2055","","","","","",""
"6587200","","","","","","","","","","","","","1395","1395","1395"
"6587264","","","","","","","1388","1388","1388","","","","","",""
"6594496","","","","3286","3286","3286","","","","","","","","",""
"6595584","","","","","","","","","","","","","629","629","629"
"6595712","","","","","","","","","","","","","5000","5000","5000"
"6596416","","","","436","436","436","","","","","","","","",""
"6597056","1228","1228","1228","","","","","","","","","","","",""
"6597568","","","","","","","","","","1300","1300","1300","","",""
"6598144","","","","","","","","","","1176","1176","1176","","",""
"6602304","905","905","905","","","","","","","","","","","",""
"6602944","4014","4014","4014","","","","","","","","","","","",""
"6605504","","","","","","","","","","","","","5000","5000","5000"
"6605632","","","","","","","","","","","","","1277","1277","1277"
"6606720","","","","","","","","","","","","","5000","5000","5000"
"6610432","","","","660","660","660","","","","","","","","",""
"6611136","","","","2280","2280","2280","","","","","","","","",""
"6614656","","","","3521","3521","3521","","","","","","","","",""
"6615680","","","","","","","824","824","824","","","","","",""
"6616256","2113","2113","2113","","","","","","","","","","","",""
"6616768","4613","4613","4613","","","","","","","","","","","",""
"6617280","954","954","954","","","","","","","","","","","",""
"6622528","","","","","","","","","","","","","2425","2425","2425"
"6623168","","","","1999","1999","1999","","","","","","","","",""
"6623360","","","","","","","3666","3666","3666","","","","","",""
"6625408","","","","","","","","","","1416","1416","1416","","",""
"6626944","","","","","","","1223","1223","1223","","","","","",""
"6630656","","","","","","","2843","2843","2843","","","","","",""
"6631168","401","401","401","","","","","","","","","","","",""
"6632128","576","576","576","","","","","","","","","","","",""
"6635584","","","","","","","","","","","","","3550","3550","3550"
"6636480","2529","2529","2529","","","","","","","","","","","",""
"6639488","","","","","","","659","659","659","","","","","",""
"6639936","","","","","","","1064","1064","1064","","","","","",""
"6640128","3036","3036","3036","","","","","","","","","","","",""
"6640576","","","","734","734","734","","","","","","","","",""
"6641280","","","","652","652","652","","","","","","","","",""
"6642176","","","","","","","","","","2535","2535","2535","","",""
"6642240","202","202","202","","","","","","","","","","","",""
"6645184","999","999","999","","","","","","","","","","","",""
"6646336","","","","","","","","","","","","","167","167","167"
"6646400","","","","680","680","680","","","","","","","","",""
"6648512","1406","1406","1406","","","","","","","","","","","",""
"6649280","","","","","","","474","474","474","","","","","",""
"6649536","","","","","","","","","","2612","2612","2612","","",""
"6652736","","","","","","","","","","1911","1911","1911","","",""
"6652928","574","574","574","","","","","","","","","","","",""
"6654400","2521","2521","2521","","","","","","","","","","","",""
"6654848","","","","","","","","","","3506","3506","3506","","",""
"6657600","","","","","","","652","652","652","","","","","",""
"6659264","","","","","","","1818","1818","1818","","","","","",""
"6660672","","","","2419","2419","2419","","","","","","","","",""
"6661568","","","","","","","","","","2532","2532","2532","","",""
"6662336","","","","","","","","","","","","","1320","1320","1320"
"6662400","1021","1021","1021","","","","","","","","","","","",""
"6664576","","","","835","835","835","","","","","","","","",""
"6666816","2214","2214","2214","","","","","","","","","","","",""
"6669248","1054","1054","1054","","","","","","","","","","","",""
"6670336","2509","2509","2509","","","","","","","","","","","",""
"6671552","","","","","","","1309","1309","1309","","","","","",""
"6675904","","","","","","","2307","2307","2307","","","","","",""
"6677696","431","431","431","","","","","","","","","","","",""
"6677760","","","","","","","685","685","685","","","","","",""
"6680192","629","629","629","","","","","","","","","","","",""
"6682368","","","","","","","","","","2809","2809","2809","","",""
"6685376","2544","2544","2544","","","","","","","","","","","",""
"6685952","","","","","","","922","922","922","","","","","",""
"6688000","","","","","","","","","","5000","5000","5000","","",""
"6690368","","","","","","","","","","","","","1612","1612","1612"
"6691584","","","","","","","","","","2528","2528","2528","","",""
"6691968","","","","745","745","745","813","813","813","","","","","",""
"6692224","","","","","","","865","865","865","","","","","",""
"6692480","","","","","","","","","","","","","1588","1588","1588"
"6694656","","","","","","","2452","2452","2452","","","","","",""
"6695808","","","","1334","1334","1334","","","","","","","","",""
"6696256","","","","","","","","","","","","","3780","3780","3780"
"6699008","","","","","","","1061","1061","1061","","","","","",""
"6699840","","","","","","","","","","1306","1306","1306","","",""
"6700096","","","","","","","918","918","918","","","","","",""
"6700800","","","","","","","1246","1246","1246","","","","","",""
"6703936","318","318","318","","","","","","","","","","","",""
"6706432","1490","1490","1490","","","","","","","","","","","",""
"6707712","","","","","","","","","","1285","1285","1285","","",""
"6708672","","","","2143","2143","2143","","","","","","","","",""
"6709120","","","","","","","","","","","","","2279","2279","2279"
"6709184","679","679","679","","","","","","","","","","","",""
"6709632","","","","","","","805","805","805","","","","","",""
"6711232","","","","","","","545","545","545","","","","","",""
"6712000","","","","","","","","","","","","","1241","1241","1241"
"6714176","","","","","","","","","","3239","3239","3239","","",""
"6715520","3547","3547","3547","","","","","","","","","","","",""
"6715712","","","","","","","2098","2098","2098","","","","","",""
"6716480","","","","","","","4015","4015","4015","","","","","",""
"6716544","","","","","","","3200","3200","3200","","","","","",""
"6716800","","","","","","","1346","1346","1346","","","","","",""
"6718848","1336","1336","1336","","","","378","378","378","","","","","",""
"6720000","428","428","428","","","","","","","","","","","",""
"6720640","","","","2444","2444","2444","3001","3001","3001","","","","","",""
"6720896","2499","2499","2499","","","","","","","","","","","",""
"6721024","","","","1596","1596","1596","","","","","","","","",""
"6723072","","","","","","","","","","4509","4509","4509","","",""
"6723264","","","","","","","851","851","851","","","","","",""
"6724800","","","","5000","5000","5000","","","","","","","","",""
"6725632","","","","","","","","","","2052","2052","2052","","",""
"6728896","","","","","","","","","","","","","1290","1290","1290"
"6729472","","","","1572","1572","1572","","","","","","","","",""
"6729600","1922","1922","1922","","","","","","","","","","","",""
"6729984","","","","","","","816","816","816","","","","","",""
"6730368","","","","","","","","","","5000","5000","5000","","",""
"6738240","","","","","","","613","613","613","","","","","",""
"6738752","","","","","","","","","","","","","929","929","929"
"6739968","","","","","","","2860","2860","2860","","","","","",""
"6747840","","","","3166","3166","3166","","","","","","","","",""
"6748352","","","","","","","1085","1085","1085","","","","","",""
"6751552","","","","480","480","480","","","","","","","","",""
"6752448","","","","","","","","","","4585","4585","4585","","",""
"6755264","","","","","","","","","","5000","5000","5000","","",""
"6757248","","","","","","","637","637","637","","","","","",""
"6759872","","","","5000","5000","5000","","","","","","","","",""
"6765312","","","","","","","","","","5000","5000","5000","","",""
"6767232","","","","","","","697","697","697","","","","","",""
"6767936","","","","","","","1187","1187","1187","","","","","",""
"6770176","551","551","551","","","","","","","","","","","",""
"6771840","","","","","","","","","","","","","5000","5000","5000"
"6774336","","","","","","","","","","1041","1041","1041","","",""
"6777344","","","","1274","1274","1274","","","","","","","","",""
"6779520","","","","","","","1064","1064","1064","","","","","",""
"6780096","892","892","892","","","","3500","3500","3500","","","","","",""
"6783744","","","","","","","2380","2380","2380","","","","","",""
"6784448","","","","","","","","","","1893","1893","1893","","",""
"6790912","","","","","","","","","","","","","4356","4356","4356"
"6791040","2415","2415","2415","","","","","","","","","","","",""
"6791296","","","","","","","","","","5000","5000","5000","","",""
"6791552","","","","","","","1606","1606","1606","","","","","",""
"6791872","1968","1968","1968","","","","","","","","","","","",""
"6792576","","","","1811","1811","1811","","","","","","","","",""
"6795520","","","","2327","2327","2327","","","","","","","","",""
"6795968","","","","5000","5000","5000","","","","","","","","",""
"6798016","","","","3207","3207","3207","","","","","","","","",""
"6801472","2179","2179","2179","","","","","","","","","","","",""
"6804480","","","","","","","","","","869","869","869","","",""
"6805248","","","","","","","2307","2307","2307","","","","","",""
"6806272","908","908","908","","","","","","","","","","","",""
"6806528","","","","1569","1569","1569","","","","","","","","",""
"6806656","","","","","","","772","772","772","","","","","",""
"6809216","","","","","","","820","820","820","","","","","",""
"6809472","996","996","996","","","","","","","","","","","",""
"6811776","","","","","","","1883","1883","1883","","","","","",""
"6812352","","","","","","","1061","1061","1061","","","","","",""
"6813952","","","","","","","","","","1783","1783","1783","","",""
"6817792","4764","4764","4764","","","","","","","","","","","",""
"6818752","2123","2123","2123","","","","","","","","","","","",""
