"Step","a3c_runseed=4 - training/episode/reward","a3c_runseed=4 - training/episode/reward__MIN","a3c_runseed=4 - training/episode/reward__MAX","a3c_runseed=3 - training/episode/reward","a3c_runseed=3 - training/episode/reward__MIN","a3c_runseed=3 - training/episode/reward__MAX","a3c_runseed=2 - training/episode/reward","a3c_runseed=2 - training/episode/reward__MIN","a3c_runseed=2 - training/episode/reward__MAX","a3c_runseed=1 - training/episode/reward","a3c_runseed=1 - training/episode/reward__MIN","a3c_runseed=1 - training/episode/reward__MAX","a3c_runseed=0 - training/episode/reward","a3c_runseed=0 - training/episode/reward__MIN","a3c_runseed=0 - training/episode/reward__MAX"
"394816","-5000","-5000","-5000","","","","","","","","","","","",""
"394944","","","","","","","","","","3828","3828","3828","","",""
"396032","","","","","","","","","","3903","3903","3903","","",""
"402368","","","","","","","","","","","","","3712","3712","3712"
"408064","3267","3267","3267","","","","","","","","","","","",""
"408320","","","","","","","","","","485","485","485","","",""
"408512","","","","-5000","-5000","-5000","","","","","","","","",""
"408704","-5000","-5000","-5000","","","","","","","","","","","",""
"408960","","","","","","","","","","","","","-5000","-5000","-5000"
"410368","","","","","","","3587","3587","3587","","","","","",""
"410560","","","","","","","3584","3584","3584","","","","","",""
"410624","","","","","","","","","","","","","2904","2904","2904"
"416832","","","","","","","","","","","","","-5000","-5000","-5000"
"417536","","","","","","","","","","78","78","78","","",""
"418368","","","","","","","2346","2346","2346","","","","","",""
"420672","","","","","","","","","","","","","-5000","-5000","-5000"
"422080","","","","","","","","","","","","","2139","2139","2139"
"423488","","","","-5000","-5000","-5000","","","","","","","","",""
"428608","","","","138","138","138","","","","","","","","",""
"432448","","","","","","","-5000","-5000","-5000","","","","","",""
"432768","-5000","-5000","-5000","","","","","","","","","","","",""
"434944","","","","","","","-5000","-5000","-5000","","","","","",""
"438080","","","","3154","3154","3154","","","","","","","","",""
"438784","","","","","","","","","","","","","2485","2485","2485"
"440512","-5000","-5000","-5000","","","","","","","","","","","",""
"447232","-5000","-5000","-5000","","","","","","","","","","","",""
"447552","","","","","","","","","","","","","4294","4294","4294"
"447808","3002","3002","3002","","","","","","","","","","","",""
"449600","","","","","","","","","","","","","2974","2974","2974"
"458176","","","","","","","","","","4435","4435","4435","","",""
"458560","3357","3357","3357","","","","","","","","","","","",""
"467008","","","","","","","","","","","","","2702","2702","2702"
"468096","","","","","","","-5000","-5000","-5000","","","","","",""
"469248","3312","3312","3312","","","","","","","","","","","",""
"471680","","","","","","","-5000","-5000","-5000","","","","","",""
"473408","","","","","","","","","","","","","3467","3467","3467"
"475392","","","","-5000","-5000","-5000","","","","","","","","",""
"475456","","","","","","","","","","","","","2570","2570","2570"
"477888","","","","","","","","","","3412","3412","3412","","",""
"480512","","","","","","","","","","","","","3882","3882","3882"
"482880","-5000","-5000","-5000","","","","","","","","","","","",""
"484864","","","","","","","608","608","608","","","","","",""
"486784","","","","","","","","","","","","","-5000","-5000","-5000"
"493120","-5000","-5000","-5000","","","","","","","","","","","",""
"496192","","","","","","","","","","1825","1825","1825","","",""
"500736","140","140","140","","","","","","","","","","","",""
"506432","-5000","-5000","-5000","","","","","","","","","","","",""
"510656","","","","","","","","","","1121","1121","1121","","",""
"516736","-5000","-5000","-5000","","","","","","","","","","","",""
"517696","","","","","","","","","","","","","3002","3002","3002"
"519232","","","","","","","-5000","-5000","-5000","","","","","",""
"519872","","","","1876","1876","1876","","","","","","","","",""
"520576","","","","","","","","","","","","","3891","3891","3891"
"520768","","","","1862","1862","1862","","","","","","","","",""
"523584","","","","","","","","","","3981","3981","3981","","",""
"528064","","","","","","","","","","4019","4019","4019","","",""
"528128","","","","","","","","","","1747","1747","1747","","",""
"528192","","","","","","","1832","1832","1832","","","","","",""
"528320","","","","","","","","","","","","","1194","1194","1194"
"528896","2495","2495","2495","","","","","","","","","","","",""
"532416","","","","1680","1680","1680","","","","","","","","",""
"533248","2587","2587","2587","","","","","","","","","","","",""
"542528","","","","","","","","","","","","","-5000","-5000","-5000"
"544448","-5000","-5000","-5000","","","","","","","","","","","",""
"546112","1888","1888","1888","","","","","","","","","","","",""
"549888","","","","","","","","","","","","","3292","3292","3292"
"550720","","","","-5000","-5000","-5000","","","","","","","","",""
"551936","","","","-5000","-5000","-5000","","","","","","","","",""
"552000","","","","","","","","","","","","","-5000","-5000","-5000"
"555712","","","","","","","-5000","-5000","-5000","","","","","",""
"556416","","","","","","","","","","","","","-5000","-5000","-5000"
"556480","","","","","","","","","","","","","1304","1304","1304"
"571520","2953","2953","2953","","","","","","","","","","","",""
"573056","","","","1045","1045","1045","","","","","","","","",""
"573952","","","","","","","","","","","","","3578","3578","3578"
"576064","","","","","","","","","","","","","998","998","998"
"578432","","","","","","","2414","2414","2414","","","","","",""
"582208","","","","","","","","","","902","902","902","","",""
"584384","3511","3511","3511","","","","","","","","","","","",""
"587200","","","","","","","","","","-5000","-5000","-5000","","",""
"587392","","","","3693","3693","3693","","","","","","","","",""
"587712","-5000","-5000","-5000","","","","","","","","","","","",""
"587840","","","","","","","","","","","","","1406","1406","1406"
"588800","","","","447","447","447","","","","","","","","",""
"592128","","","","","","","","","","1184","1184","1184","","",""
"592768","","","","","","","737","737","737","","","","","",""
"594176","715","715","715","","","","","","","","","","","",""
"595392","","","","","","","","","","459","459","459","","",""
"597248","","","","1295","1295","1295","","","","","","","","",""
"602688","","","","","","","","","","","","","-5000","-5000","-5000"
"607872","","","","","","","","","","259","259","259","","",""
