"Step","a3c_runseed=4 - training/episode/reward","a3c_runseed=4 - training/episode/reward__MIN","a3c_runseed=4 - training/episode/reward__MAX","a3c_runseed=3 - training/episode/reward","a3c_runseed=3 - training/episode/reward__MIN","a3c_runseed=3 - training/episode/reward__MAX","a3c_runseed=2 - training/episode/reward","a3c_runseed=2 - training/episode/reward__MIN","a3c_runseed=2 - training/episode/reward__MAX","a3c_runseed=1 - training/episode/reward","a3c_runseed=1 - training/episode/reward__MIN","a3c_runseed=1 - training/episode/reward__MAX","a3c_runseed=0 - training/episode/reward","a3c_runseed=0 - training/episode/reward__MIN","a3c_runseed=0 - training/episode/reward__MAX"
"5073088","","","","-5000","-5000","-5000","","","","","","","","",""
"5076288","","","","","","","","","","","","","314","314","314"
"5076736","2916","2916","2916","","","","","","","","","","","",""
"5083904","","","","","","","","","","","","","3106","3106","3106"
"5084480","","","","","","","","","","-5000","-5000","-5000","","",""
"5084928","","","","4368","4368","4368","","","","","","","","",""
"5085184","","","","","","","2469","2469","2469","","","","","",""
"5085760","","","","2412","2412","2412","","","","1644","1644","1644","","",""
"5087232","","","","","","","-5000","-5000","-5000","","","","","",""
"5087680","","","","4095","4095","4095","","","","","","","","",""
"5089856","","","","","","","","","","2962","2962","2962","","",""
"5090688","","","","","","","","","","","","","-5000","-5000","-5000"
"5091072","","","","","","","","","","4401","4401","4401","","",""
"5091584","","","","","","","4502","4502","4502","","","","","",""
"5092544","","","","","","","","","","-5000","-5000","-5000","","",""
"5095296","","","","","","","2313","2313","2313","","","","","",""
"5097024","","","","","","","","","","-5000","-5000","-5000","","",""
"5097088","","","","","","","3644","3644","3644","","","","","",""
"5097984","","","","","","","","","","","","","3294","3294","3294"
"5098304","3737","3737","3737","","","","","","","","","","","",""
"5098368","","","","3735","3735","3735","","","","","","","","",""
"5099776","","","","","","","","","","","","","856","856","856"
"5101376","4108","4108","4108","","","","","","","","","","","",""
"5103104","","","","","","","","","","","","","-5000","-5000","-5000"
"5103168","","","","","","","3187","3187","3187","","","","","",""
"5107712","","","","1668","1668","1668","","","","","","","","",""
"5109440","","","","","","","2336","2336","2336","","","","","",""
"5116160","","","","","","","","","","","","","42","42","42"
"5116352","","","","","","","","","","","","","-5000","-5000","-5000"
"5116480","","","","","","","-5000","-5000","-5000","","","","","",""
"5117184","","","","","","","-5000","-5000","-5000","","","","","",""
"5118912","","","","3612","3612","3612","","","","","","","","",""
"5119488","771","771","771","","","","","","","","","","","",""
"5121088","","","","","","","","","","","","","2930","2930","2930"
"5122944","","","","","","","","","","-5000","-5000","-5000","","",""
"5123264","","","","","","","","","","","","","2787","2787","2787"
"5125440","","","","","","","","","","","","","3417","3417","3417"
"5126912","324","324","324","","","","","","","","","","","",""
"5128256","","","","","","","","","","","","","4413","4413","4413"
"5128512","","","","","","","","","","","","","941","941","941"
"5128640","4527","4527","4527","","","","","","","","","","","",""
"5129344","3083","3083","3083","","","","","","","","","","","",""
"5129600","3194","3194","3194","","","","","","","","","","","",""
"5131776","","","","2443","2443","2443","","","","","","","","",""
"5132608","","","","","","","","","","4374","4374","4374","","",""
"5132800","","","","3678","3678","3678","","","","","","","","",""
"5133056","","","","","","","","","","4153","4153","4153","","",""
"5133312","","","","2654","2654","2654","","","","","","","","",""
"5134400","-5000","-5000","-5000","","","","","","","","","","","",""
"5135296","","","","","","","-5000","-5000","-5000","","","","","",""
"5136960","","","","","","","","","","4731","4731","4731","","",""
"5142720","","","","","","","","","","2523","2523","2523","","",""
"5143360","","","","1365","1365","1365","","","","","","","","",""
"5145024","","","","","","","","","","","","","3385","3385","3385"
"5146048","","","","4777","4777","4777","","","","","","","","",""
"5148096","","","","3478","3478","3478","","","","","","","","",""
"5149568","","","","","","","2976","2976","2976","","","","4555","4555","4555"
"5153216","","","","","","","","","","3892","3892","3892","","",""
"5153792","","","","","","","","","","","","","1919","1919","1919"
"5154240","","","","","","","","","","","","","851","851","851"
"5155648","","","","","","","","","","2339","2339","2339","","",""
"5157888","","","","","","","","","","","","","-5000","-5000","-5000"
"5158848","","","","","","","","","","","","","-5000","-5000","-5000"
"5160256","","","","","","","","","","-5000","-5000","-5000","","",""
"5160512","","","","","","","","","","3915","3915","3915","","",""
"5162112","","","","","","","","","","1364","1364","1364","","",""
"5162304","3374","3374","3374","","","","","","","","","","","",""
"5168384","","","","","","","","","","1489","1489","1489","","",""
"5169984","","","","-5000","-5000","-5000","","","","","","","","",""
"5170176","","","","","","","","","","548","548","548","","",""
"5170560","","","","","","","","","","2187","2187","2187","","",""
"5170752","2099","2099","2099","","","","","","","","","","","",""
"5170816","","","","4522","4522","4522","","","","","","","","",""
"5172416","","","","","","","","","","","","","-5000","-5000","-5000"
"5174848","","","","","","","","","","","","","-5000","-5000","-5000"
"5176128","","","","","","","","","","","","","2313","2313","2313"
"5176576","","","","","","","","","","","","","-5000","-5000","-5000"
"5176640","","","","-5000","-5000","-5000","","","","","","","","",""
"5177984","","","","-5000","-5000","-5000","","","","","","","","",""
"5179584","2853","2853","2853","","","","","","","","","","","",""
"5181120","","","","1591","1591","1591","","","","","","","","",""
"5182784","","","","","","","","","","","","","3236","3236","3236"
"5183616","","","","2416","2416","2416","","","","","","","","",""
"5183808","","","","","","","","","","-5000","-5000","-5000","","",""
"5184192","","","","1858","1858","1858","","","","","","","","",""
"5186432","","","","3229","3229","3229","","","","","","","","",""
"5187840","","","","","","","2904","2904","2904","","","","","",""
"5188736","","","","","","","","","","1705","1705","1705","","",""
"5190144","","","","","","","565","565","565","","","","","",""
"5191424","","","","","","","","","","1956","1956","1956","","",""
"5194176","276","276","276","","","","","","","","","","","",""
"5197632","","","","","","","","","","-5000","-5000","-5000","","",""
"5197888","","","","-5000","-5000","-5000","","","","","","","","",""
"5197952","","","","","","","-5000","-5000","-5000","","","","","",""
"5199232","","","","3349","3349","3349","","","","","","","","",""
"5200000","","","","","","","","","","1133","1133","1133","","",""
"5201344","","","","","","","49","49","49","","","","","",""
"5201856","","","","","","","","","","2670","2670","2670","","",""
"5205376","","","","","","","","","","","","","-5000","-5000","-5000"
"5208320","","","","","","","","","","","","","2353","2353","2353"
"5208384","","","","","","","","","","-5000","-5000","-5000","","",""
"5208832","","","","","","","","","","","","","1674","1674","1674"
"5208896","","","","1833","1833","1833","","","","","","","","",""
"5209856","","","","","","","","","","","","","2336","2336","2336"
"5213952","","","","","","","","","","","","","3472","3472","3472"
"5215168","","","","","","","-5000","-5000","-5000","","","","","",""
"5216576","","","","","","","","","","-5000","-5000","-5000","","",""
"5216704","","","","553","553","553","","","","","","","","",""
"5217280","","","","","","","","","","","","","4072","4072","4072"
"5218880","2291","2291","2291","","","","","","","","","","","",""
"5219136","3326","3326","3326","","","","","","","","","","","",""
"5219328","","","","-5000","-5000","-5000","","","","","","","","",""
"5220480","","","","2376","2376","2376","","","","","","","","",""
"5221440","590","590","590","","","","","","","","","","","",""
"5224768","","","","1685","1685","1685","","","","","","","","",""
"5226304","","","","","","","","","","313","313","313","","",""
"5229376","","","","","","","","","","","","","-5000","-5000","-5000"
"5230912","","","","","","","","","","3102","3102","3102","","",""
"5233920","","","","","","","","","","1613","1613","1613","","",""
"5234496","1395","1395","1395","","","","","","","","","","","",""
"5237248","","","","1859","1859","1859","","","","","","","","",""
"5238080","","","","","","","","","","1683","1683","1683","","",""
"5238272","","","","","","","","","","","","","2697","2697","2697"
"5239360","","","","","","","","","","","","","3268","3268","3268"
"5239488","","","","","","","3350","3350","3350","","","","","",""
"5241280","","","","","","","-5000","-5000","-5000","","","","","",""
"5241408","","","","","","","","","","-5000","-5000","-5000","","",""
"5242496","-5000","-5000","-5000","","","","","","","","","","","",""
"5242944","","","","","","","","","","3125","3125","3125","","",""
"5244416","","","","","","","","","","1439","1439","1439","","",""
"5248384","","","","","","","","","","","","","-5000","-5000","-5000"
"5249024","","","","","","","1348","1348","1348","","","","","",""
"5249728","","","","","","","","","","2614","2614","2614","","",""
"5251072","","","","","","","","","","","","","811","811","811"
"5252224","-5000","-5000","-5000","","","","","","","","","","","",""
"5253184","","","","","","","-5000","-5000","-5000","","","","","",""
"5253824","","","","","","","2646","2646","2646","","","","","",""
"5257216","2418","2418","2418","","","","","","","","","","","",""
"5259328","","","","","","","","","","2867","2867","2867","","",""
"5260160","","","","","","","","","","3712","3712","3712","","",""
"5261056","331","331","331","","","","","","","","","","","",""
"5261248","","","","","","","","","","","","","704","704","704"
"5263552","","","","1311","1311","1311","","","","","","","","",""
"5265024","","","","","","","","","","","","","3269","3269","3269"
"5267520","","","","2678","2678","2678","","","","","","","","",""
"5268096","","","","","","","","","","1506","1506","1506","","",""
"5268288","3885","3885","3885","","","","","","","","","","","",""
"5269888","","","","","","","141","141","141","","","","","",""
"5270336","2956","2956","2956","","","","","","","","","","","",""
"5273280","2751","2751","2751","","","","","","","","","","","",""
"5274752","","","","4553","4553","4553","","","","","","","","",""
"5279360","","","","","","","","","","","","","459","459","459"
"5280064","","","","","","","","","","3128","3128","3128","","",""
"5280320","","","","","","","","","","","","","-5000","-5000","-5000"
"5283200","","","","3453","3453","3453","","","","","","","","",""
"5284800","","","","","","","","","","-5000","-5000","-5000","","",""
"5285632","","","","","","","","","","4073","4073","4073","","",""
"5285760","","","","","","","","","","","","","3294","3294","3294"
"5289280","","","","1807","1807","1807","","","","","","","","",""
"5289792","","","","","","","","","","3103","3103","3103","","",""
"5294144","","","","","","","","","","1629","1629","1629","3156","3156","3156"
"5297600","","","","4280","4280","4280","","","","","","","","",""
"5298880","","","","","","","","","","3374","3374","3374","","",""
"5299136","","","","","","","1689","1689","1689","","","","","",""
"5299392","","","","","","","","","","","","","3601","3601","3601"
"5303040","","","","","","","","","","2798","2798","2798","","",""
"5303360","","","","","","","","","","","","","1325","1325","1325"
"5304512","","","","","","","","","","1646","1646","1646","","",""
"5304704","","","","","","","","","","","","","-5000","-5000","-5000"
"5305792","-5000","-5000","-5000","","","","","","","","","","","",""
"5306688","1834","1834","1834","","","","","","","","","","","",""
"5307136","","","","","","","-5000","-5000","-5000","","","","","",""
"5310272","","","","4332","4332","4332","","","","","","","","",""
"5310848","","","","","","","","","","4519","4519","4519","","",""
"5312384","","","","","","","","","","-5000","-5000","-5000","","",""
"5312960","","","","","","","","","","3267","3267","3267","","",""
"5313600","","","","","","","","","","","","","-5000","-5000","-5000"
"5314176","","","","","","","3671","3671","3671","","","","","",""
"5318656","","","","","","","","","","","","","3605","3605","3605"
"5319232","","","","","","","","","","3914","3914","3914","","",""
"5319552","","","","","","","","","","","","","896","896","896"
"5319936","","","","-5000","-5000","-5000","","","","","","","","",""
"5322560","4467","4467","4467","","","","","","","","","","","",""
"5325184","","","","","","","2643","2643","2643","","","","","",""
"5325824","","","","","","","786","786","786","","","","","",""
"5326272","4694","4694","4694","","","","","","","","","","","",""
"5326720","","","","","","","","","","","","","160","160","160"
"5327296","296","296","296","","","","","","","","","","","",""
"5327744","","","","","","","","","","","","","4391","4391","4391"
"5327808","","","","","","","","","","","","","-5000","-5000","-5000"
"5327872","","","","","","","3630","3630","3630","","","","","",""
"5328128","","","","1033","1033","1033","","","","","","","","",""
"5329344","","","","","","","","","","","","","-5000","-5000","-5000"
"5329408","","","","","","","","","","94","94","94","","",""
"5329472","","","","1709","1709","1709","","","","","","","","",""
"5332032","","","","","","","","","","3965","3965","3965","","",""
"5333184","","","","","","","","","","","","","1653","1653","1653"
"5333760","","","","2454","2454","2454","","","","","","","","",""
"5335424","","","","1099","1099","1099","","","","","","","","",""
"5337920","","","","","","","3250","3250","3250","","","","","",""
"5338432","","","","","","","","","","","","","4308","4308","4308"
"5338624","","","","","","","4449","4449","4449","","","","","",""
"5338880","","","","","","","","","","","","","-5000","-5000","-5000"
"5343232","","","","","","","","","","1608","1608","1608","","",""
"5348800","","","","","","","","","","-5000","-5000","-5000","","",""
"5350208","3540","3540","3540","","","","","","","","","","","",""
"5355840","","","","","","","2411","2411","2411","","","","","",""
"5356416","2625","2625","2625","","","","","","","","","","","",""
"5356608","","","","","","","","","","","","","3923","3923","3923"
"5357120","-5000","-5000","-5000","","","","","","","","","","","",""
"5357824","","","","","","","4083","4083","4083","","","","","",""
"5359040","","","","","","","","","","4537","4537","4537","","",""
"5363072","-5000","-5000","-5000","","","","","","","","","","","",""
"5364864","","","","3395","3395","3395","","","","","","","","",""
"5365632","3579","3579","3579","","","","","","","","","","","",""
"5367296","","","","","","","","","","1920","1920","1920","","",""
"5367872","","","","3547","3547","3547","","","","","","","","",""
"5368064","4269","4269","4269","","","","","","","","","","","",""
"5369024","","","","","","","","","","3423","3423","3423","","",""
"5369664","","","","","","","","","","1889","1889","1889","","",""
"5372672","","","","","","","","","","","","","3917","3917","3917"
"5373312","4207","4207","4207","","","","","","","","","","","",""
"5377600","","","","","","","2835","2835","2835","","","","","",""
"5378176","","","","","","","4134","4134","4134","","","","","",""
"5379968","","","","","","","-5000","-5000","-5000","","","","","",""
"5381376","","","","","","","179","179","179","","","","","",""
"5384256","","","","","","","","","","","","","-5000","-5000","-5000"
"5385664","","","","","","","","","","3644","3644","3644","","",""
"5386240","2190","2190","2190","","","","","","","","","","","",""
"5386368","","","","","","","","","","1357","1357","1357","","",""
"5388096","","","","4684","4684","4684","","","","","","","","",""
"5388608","3706","3706","3706","","","","","","","","","","","",""
"5388864","","","","2605","2605","2605","","","","","","","","",""
"5389120","","","","","","","","","","2176","2176","2176","","",""
"5389376","","","","","","","","","","1344","1344","1344","","",""
"5390080","","","","","","","2282","2282","2282","","","","","",""
"5390848","","","","","","","-5000","-5000","-5000","","","","","",""
"5390912","","","","","","","","","","","","","3871","3871","3871"
"5391040","","","","","","","","","","3625","3625","3625","","",""
"5391168","","","","","","","","","","","","","3620","3620","3620"
"5392192","","","","","","","962","962","962","","","","","",""
"5400320","1551","1551","1551","","","","","","","","","","","",""
"5401536","","","","","","","","","","","","","2118","2118","2118"
"5403904","","","","","","","","","","","","","-5000","-5000","-5000"
"5404352","","","","","","","3951","3951","3951","","","","","",""
"5406720","3759","3759","3759","","","","","","","","","","","",""
"5407232","","","","","","","","","","3518","3518","3518","","",""
"5409728","","","","","","","","","","","","","1001","1001","1001"
"5414272","","","","-5000","-5000","-5000","","","","","","","","",""
"5416512","2907","2907","2907","","","","","","","","","","","",""
"5418304","-5000","-5000","-5000","","","","","","","","","","","",""
"5418880","","","","","","","","","","","","","3577","3577","3577"
"5419520","","","","1314","1314","1314","","","","","","","","",""
"5419776","","","","","","","","","","","","","-5000","-5000","-5000"
"5420608","","","","-5000","-5000","-5000","","","","","","","","",""
"5421888","","","","2526","2526","2526","","","","","","","","",""
"5421952","","","","","","","-5000","-5000","-5000","","","","","",""
"5424512","","","","","","","","","","","","","2307","2307","2307"
"5426560","","","","","","","","","","1439","1439","1439","","",""
"5428480","3978","3978","3978","","","","","","","","","","","",""
"5430656","","","","","","","","","","","","","4545","4545","4545"
"5434560","","","","","","","1952","1952","1952","","","","","",""
"5436096","","","","4071","4071","4071","","","","","","","","",""
"5438144","","","","","","","","","","","","","4465","4465","4465"
"5438976","3239","3239","3239","","","","","","","","","","","",""
"5439552","","","","","","","","","","","","","488","488","488"
"5439616","","","","","","","","","","","","","-5000","-5000","-5000"
"5439808","","","","","","","","","","","","","1383","1383","1383"
"5440384","","","","","","","","","","1915","1915","1915","","",""
"5440576","","","","1823","1823","1823","","","","","","","","",""
"5443264","","","","","","","","","","","","","-5000","-5000","-5000"
"5444544","","","","","","","","","","4138","4138","4138","","",""
"5444864","","","","","","","657","657","657","","","","","",""
"5445440","","","","","","","","","","","","","3612","3612","3612"
"5446656","","","","","","","","","","","","","304","304","304"
"5446912","3394","3394","3394","","","","","","","","","","","",""
"5447424","","","","","","","4338","4338","4338","","","","","",""
"5447872","-5000","-5000","-5000","","","","","","","","","","","",""
"5448000","","","","","","","","","","","","","2365","2365","2365"
"5449152","","","","","","","","","","2970","2970","2970","","",""
"5451136","","","","474","474","474","","","","","","","","",""
"5451264","-5000","-5000","-5000","","","","","","","","","","","",""
"5452608","2198","2198","2198","","","","","","","","","","","",""
"5452672","","","","2352","2352","2352","","","","","","","","",""
"5454400","-5000","-5000","-5000","","","","","","","","","","","",""
"5455296","","","","","","","-5000","-5000","-5000","","","","","",""
"5459840","","","","4244","4244","4244","","","","","","","","",""
"5461376","","","","1236","1236","1236","","","","","","","","",""
"5462720","","","","","","","","","","","","","3413","3413","3413"
"5463232","","","","","","","","","","","","","537","537","537"
"5466496","","","","","","","","","","","","","3354","3354","3354"
"5468096","","","","-5000","-5000","-5000","","","","","","","","",""
"5472000","","","","","","","","","","","","","2771","2771","2771"
"5475392","","","","","","","","","","4111","4111","4111","","",""
"5478528","339","339","339","","","","","","","","","","","",""
"5481728","","","","","","","","","","","","","1630","1630","1630"
"5483072","","","","","","","","","","","","","4181","4181","4181"
"5483968","","","","2653","2653","2653","","","","","","","","",""
"5484608","-5000","-5000","-5000","","","","","","","","","","","",""
"5485568","","","","","","","2428","2428","2428","","","","","",""
"5486080","","","","","","","","","","4423","4423","4423","","",""
"5486656","","","","","","","","","","","","","1227","1227","1227"
"5489152","","","","","","","3846","3846","3846","","","","","",""
"5489984","","","","-5000","-5000","-5000","","","","","","","","",""
"5491648","","","","","","","","","","","","","3784","3784","3784"
"5491904","","","","","","","","","","318","318","318","","",""
"5494720","","","","","","","2393","2393","2393","","","","","",""
"5494848","","","","","","","","","","","","","-5000","-5000","-5000"
"5496256","","","","","","","","","","118","118","118","","",""
"5497856","","","","","","","","","","829","829","829","","",""
"5498944","","","","-5000","-5000","-5000","","","","","","","","",""
"5499328","","","","","","","","","","","","","-5000","-5000","-5000"
"5499712","","","","3805","3805","3805","","","","","","","","",""
"5500544","","","","","","","4536","4536","4536","","","","","",""
"5503232","","","","","","","","","","","","","1815","1815","1815"
"5504512","","","","","","","","","","","","","3831","3831","3831"
"5504704","","","","3669","3669","3669","4320","4320","4320","","","","","",""
"5505280","","","","1236","1236","1236","","","","","","","","",""
"5505536","","","","","","","","","","","","","4101","4101","4101"
"5506432","2559","2559","2559","","","","","","","","","","","",""
"5506880","1340","1340","1340","","","","","","","","","","","",""
"5509056","2641","2641","2641","","","","","","","","","","","",""
"5510080","","","","","","","","","","","","","3742","3742","3742"
"5511296","583","583","583","","","","","","","","","","","",""
"5511424","","","","","","","","","","-5000","-5000","-5000","","",""
"5514496","2169","2169","2169","","","","","","","","","","","",""
"5514624","","","","","","","","","","","","","2312","2312","2312"
"5516480","","","","3620","3620","3620","","","","","","","","",""
"5517120","","","","","","","","","","","","","3451","3451","3451"
"5517312","","","","","","","","","","4567","4567","4567","","",""
"5520960","","","","","","","","","","2709","2709","2709","","",""
"5521344","","","","","","","-5000","-5000","-5000","","","","","",""
"5521856","","","","","","","","","","","","","2958","2958","2958"
"5522752","","","","","","","","","","","","","4108","4108","4108"
"5524352","","","","","","","","","","","","","150","150","150"
"5525120","","","","","","","","","","","","","3316","3316","3316"
"5525312","3270","3270","3270","","","","","","","","","","","",""
"5529664","","","","2948","2948","2948","","","","","","","","",""
"5532480","3718","3718","3718","","","","","","","","","","","",""
"5535168","","","","","","","-5000","-5000","-5000","","","","","",""
"5535296","4590","4590","4590","","","","","","","","","","","",""
"5536128","","","","","","","","","","","","","93","93","93"
"5537088","","","","","","","","","","","","","3846","3846","3846"
"5537152","","","","-5000","-5000","-5000","","","","","","","","",""
"5537728","","","","","","","","","","2520","2520","2520","","",""
"5537856","","","","-5000","-5000","-5000","","","","","","","","",""
"5538944","","","","","","","-5000","-5000","-5000","","","","","",""
"5539136","-5000","-5000","-5000","","","","","","","","","","","",""
"5539776","","","","","","","","","","4074","4074","4074","","",""
"5540480","","","","","","","","","","","","","3481","3481","3481"
"5540736","3135","3135","3135","","","","","","","","","","","",""
"5541440","-5000","-5000","-5000","","","","","","","","","","","",""
"5541632","","","","","","","","","","","","","3199","3199","3199"
"5543488","","","","","","","","","","573","573","573","","",""
"5547456","4366","4366","4366","","","","","","","","","","","",""
"5548672","","","","","","","","","","3124","3124","3124","","",""
"5550016","","","","","","","-5000","-5000","-5000","","","","","",""
"5551168","","","","","","","","","","3458","3458","3458","","",""
"5551552","","","","","","","","","","","","","3361","3361","3361"
"5552064","","","","","","","","","","","","","3749","3749","3749"
"5554176","","","","","","","","","","","","","1547","1547","1547"
"5555840","","","","","","","3568","3568","3568","","","","","",""
"5556992","3908","3908","3908","","","","","","","","","","","",""
"5557376","","","","","","","","","","-5000","-5000","-5000","","",""
"5558400","","","","","","","","","","","","","3879","3879","3879"
"5558656","","","","","","","","","","2832","2832","2832","","",""
"5559232","","","","1006","1006","1006","","","","","","","","",""
"5559360","","","","","","","","","","","","","-5000","-5000","-5000"
"5563520","","","","","","","","","","3632","3632","3632","","",""
"5564416","3048","3048","3048","","","","","","","","","","","",""
"5564928","1883","1883","1883","","","","","","","","","","","",""
"5565376","","","","-5000","-5000","-5000","","","","","","","","",""
"5568384","","","","","","","","","","","","","-5000","-5000","-5000"
"5569792","","","","","","","","","","1460","1460","1460","","",""
"5572992","","","","","","","","","","","","","4088","4088","4088"
"5573504","","","","","","","","","","1649","1649","1649","","",""
"5574336","","","","","","","","","","1802","1802","1802","","",""
"5574784","","","","","","","","","","4102","4102","4102","","",""
"5576256","","","","","","","2143","2143","2143","","","","","",""
"5576320","2703","2703","2703","","","","","","","","","","","",""
"5576576","","","","","","","","","","","","","2605","2605","2605"
"5577216","-5000","-5000","-5000","","","","","","","","","","","",""
"5577344","","","","","","","4565","4565","4565","","","","","",""
"5577728","","","","","","","","","","3296","3296","3296","","",""
"5579520","","","","3552","3552","3552","","","","","","","","",""
"5581376","","","","","","","","","","3786","3786","3786","","",""
"5583360","","","","","","","3774","3774","3774","","","","","",""
"5583808","","","","","","","","","","","","","4603","4603","4603"
"5583936","","","","","","","","","","2541","2541","2541","","",""
"5587584","","","","","","","2055","2055","2055","","","","","",""
"5588288","1690","1690","1690","","","","","","","","","","","",""
"5588480","","","","3613","3613","3613","","","","","","","","",""
"5589568","","","","","","","","","","","","","2326","2326","2326"
"5590848","","","","","","","","","","3786","3786","3786","","",""
"5591360","","","","","","","3490","3490","3490","","","","","",""
"5592512","3913","3913","3913","","","","","","","","","","","",""
"5594752","","","","-5000","-5000","-5000","","","","","","","","",""
"5594880","","","","","","","","","","4666","4666","4666","","",""
"5597248","","","","","","","","","","4571","4571","4571","","",""
"5597568","","","","4067","4067","4067","","","","","","","","",""
"5600448","","","","","","","","","","50","50","50","","",""
"5600512","","","","3715","3715","3715","","","","","","","","",""
"5602048","","","","-5000","-5000","-5000","","","","","","","","",""
"5603712","","","","","","","","","","","","","3588","3588","3588"
"5604224","","","","1045","1045","1045","","","","","","","","",""
"5604800","","","","","","","","","","-5000","-5000","-5000","","",""
"5605760","","","","2476","2476","2476","","","","","","","-5000","-5000","-5000"
"5606336","","","","","","","","","","","","","2398","2398","2398"
"5606720","","","","","","","","","","3630","3630","3630","","",""
"5608640","","","","","","","","","","","","","3017","3017","3017"
"5608896","","","","","","","","","","","","","591","591","591"
"5609280","","","","-5000","-5000","-5000","","","","","","","","",""
"5609792","","","","","","","","","","-5000","-5000","-5000","","",""
"5610048","","","","","","","-5000","-5000","-5000","","","","","",""
"5611392","","","","","","","","","","","","","3842","3842","3842"
"5611584","3998","3998","3998","","","","","","","","","","","",""
"5613120","3116","3116","3116","","","","","","","","","","","",""
"5615616","","","","-5000","-5000","-5000","","","","","","","","",""
"5616000","","","","3632","3632","3632","","","","","","","","",""
"5618688","","","","","","","","","","","","","2881","2881","2881"
"5621056","","","","","","","","","","","","","-5000","-5000","-5000"
"5621248","","","","","","","","","","","","","4246","4246","4246"
"5621888","","","","","","","4151","4151","4151","","","","","",""
"5622720","","","","3601","3601","3601","","","","","","","","",""
"5624512","","","","","","","","","","-5000","-5000","-5000","","",""
"5626432","","","","","","","","","","363","363","363","","",""
"5626752","","","","","","","","","","3609","3609","3609","","",""
"5627648","3037","3037","3037","","","","","","","","","","","",""
"5629312","","","","4301","4301","4301","","","","","","","","",""
"5631488","","","","-5000","-5000","-5000","","","","","","","","",""
"5631552","","","","","","","-5000","-5000","-5000","","","","","",""
"5633600","","","","","","","","","","","","","-5000","-5000","-5000"
"5634368","","","","3178","3178","3178","","","","","","","","",""
"5636160","","","","","","","","","","1677","1677","1677","","",""
"5636480","4335","4335","4335","","","","","","","","","","","",""
"5636928","3412","3412","3412","","","","","","","","","","","",""
"5638464","","","","","","","1814","1814","1814","","","","","",""
"5638784","","","","","","","","","","-5000","-5000","-5000","","",""
"5639424","2018","2018","2018","","","","","","","","","","","",""
"5639488","","","","","","","","","","","","","1024","1024","1024"
"5639872","","","","","","","1953","1953","1953","","","","","",""
"5641664","","","","","","","","","","","","","3167","3167","3167"
"5643008","","","","","","","976","976","976","","","","","",""
"5643840","","","","","","","1533","1533","1533","","","","","",""
"5647232","","","","","","","","","","-5000","-5000","-5000","","",""
"5649216","","","","","","","","","","-5000","-5000","-5000","","",""
"5652032","","","","","","","","","","-5000","-5000","-5000","","",""
"5652544","-5000","-5000","-5000","","","","","","","","","","","",""
"5653376","","","","","","","-5000","-5000","-5000","","","","","",""
"5654144","3574","3574","3574","","","","","","","","","","","",""
"5657600","","","","","","","832","832","832","","","","","",""
"5658432","","","","","","","","","","","","","-5000","-5000","-5000"
"5660928","","","","","","","","","","","","","3554","3554","3554"
"5661568","","","","","","","","","","3940","3940","3940","","",""
"5662976","","","","2800","2800","2800","","","","","","","","",""
"5663616","","","","","","","1356","1356","1356","","","","","",""
"5666496","","","","","","","","","","","","","3330","3330","3330"
"5669376","","","","","","","","","","","","","-5000","-5000","-5000"
"5669504","","","","","","","","","","","","","3383","3383","3383"
"5669696","","","","","","","","","","","","","2913","2913","2913"
"5670464","","","","2916","2916","2916","","","","","","","","",""
"5670592","","","","","","","","","","","","","3644","3644","3644"
"5670976","","","","","","","-5000","-5000","-5000","","","","","",""
"5671808","","","","","","","","","","","","","-5000","-5000","-5000"
"5672256","","","","","","","","","","","","","2990","2990","2990"
"5672576","","","","","","","","","","3575","3575","3575","","",""
"5678784","","","","","","","1981","1981","1981","","","","","",""
"5679040","","","","281","281","281","","","","","","","","",""
"5681216","","","","","","","1693","1693","1693","","","","","",""
"5681984","","","","","","","-5000","-5000","-5000","","","","","",""
"5683712","","","","","","","","","","3291","3291","3291","","",""
"5684032","","","","","","","-5000","-5000","-5000","","","","","",""
"5685760","","","","","","","","","","1267","1267","1267","","",""
"5686336","3212","3212","3212","","","","","","","","","","","",""
"5689024","","","","","","","","","","-5000","-5000","-5000","","",""
"5690176","","","","","","","","","","","","","3726","3726","3726"
"5693376","","","","","","","2528","2528","2528","","","","","",""
"5696000","","","","","","","2029","2029","2029","","","","","",""
"5697920","","","","-5000","-5000","-5000","","","","","","","","",""
"5699072","","","","","","","3547","3547","3547","","","","","",""
"5701440","","","","","","","","","","","","","3181","3181","3181"
"5704704","","","","","","","2682","2682","2682","","","","","",""
"5705920","-5000","-5000","-5000","","","","","","","","","","","",""
"5708416","","","","-5000","-5000","-5000","","","","","","","","",""
"5710912","","","","","","","","","","","","","-5000","-5000","-5000"
"5712192","","","","","","","-5000","-5000","-5000","","","","","",""
"5714624","","","","-5000","-5000","-5000","","","","","","","","",""
"5715776","","","","","","","","","","-5000","-5000","-5000","","",""
"5716288","","","","1791","1791","1791","","","","","","","","",""
"5721856","-5000","-5000","-5000","","","","","","","","","","","",""
"5723392","3253","3253","3253","","","","","","","","","","","",""
"5725056","","","","","","","","","","","","","4085","4085","4085"
"5728192","1463","1463","1463","","","","","","","","","","","",""
"5731072","","","","3018","3018","3018","","","","","","","3477","3477","3477"
"5732224","","","","2942","2942","2942","","","","","","","","",""
"5732544","1874","1874","1874","","","","","","","","","","","",""
