"Step","melting_softmax_runseed=4 - training/episode/reward","melting_softmax_runseed=4 - training/episode/reward__MIN","melting_softmax_runseed=4 - training/episode/reward__MAX","melting_softmax_runseed=3 - training/episode/reward","melting_softmax_runseed=3 - training/episode/reward__MIN","melting_softmax_runseed=3 - training/episode/reward__MAX","melting_softmax_runseed=2 - training/episode/reward","melting_softmax_runseed=2 - training/episode/reward__MIN","melting_softmax_runseed=2 - training/episode/reward__MAX","melting_softmax_runseed=1 - training/episode/reward","melting_softmax_runseed=1 - training/episode/reward__MIN","melting_softmax_runseed=1 - training/episode/reward__MAX","melting_softmax_runseed=0 - training/episode/reward","melting_softmax_runseed=0 - training/episode/reward__MIN","melting_softmax_runseed=0 - training/episode/reward__MAX"
"555968","","","","","","","-5000","-5000","-5000","","","","","",""
"581760","","","","","","","-5000","-5000","-5000","","","","","",""
"583168","3699","3699","3699","","","","","","","","","","","",""
"584448","","","","","","","-5000","-5000","-5000","","","","","",""
"588416","","","","","","","-5000","-5000","-5000","","","","","",""
"589184","","","","","","","-5000","-5000","-5000","","","","","",""
"591424","","","","","","","-5000","-5000","-5000","","","","","",""
"593984","","","","-5000","-5000","-5000","","","","","","","","",""
"597120","","","","","","","","","","","","","669","669","669"
"597568","4058","4058","4058","","","","","","","","","","","",""
"607488","","","","","","","-5000","-5000","-5000","","","","","",""
"611456","","","","","","","-5000","-5000","-5000","","","","","",""
"613632","","","","","","","-5000","-5000","-5000","","","","","",""
"622400","","","","","","","-5000","-5000","-5000","","","","","",""
"623872","251","251","251","","","","","","","","","","","",""
"624256","","","","","","","-5000","-5000","-5000","","","","","",""
"630208","","","","","","","-5000","-5000","-5000","","","","","",""
"633408","","","","","","","-5000","-5000","-5000","","","","","",""
"633984","","","","","","","-5000","-5000","-5000","","","","","",""
"635648","","","","","","","-5000","-5000","-5000","","","","","",""
"639936","","","","-5000","-5000","-5000","-5000","-5000","-5000","","","","","",""
"640192","2463","2463","2463","","","","","","","","","","","",""
"666048","","","","","","","-5000","-5000","-5000","","","","","",""
"668928","","","","-5000","-5000","-5000","","","","","","","","",""
"688128","","","","","","","","","","","","","3659","3659","3659"
"688960","4234","4234","4234","","","","","","","","","","","",""
"689536","-5000","-5000","-5000","","","","","","","","","","","",""
"689664","","","","-5000","-5000","-5000","","","","","","","","",""
"691904","","","","-5000","-5000","-5000","","","","","","","","",""
"693696","","","","","","","","","","","","","2242","2242","2242"
"698880","","","","","","","","","","","","","1429","1429","1429"
"701632","","","","","","","","","","4036","4036","4036","","",""
"701696","","","","","","","-5000","-5000","-5000","","","","","",""
"704064","","","","-5000","-5000","-5000","","","","","","","","",""
"706816","3955","3955","3955","","","","","","","","","","","",""
"708096","","","","","","","","","","-5000","-5000","-5000","","",""
"711552","","","","","","","","","","2279","2279","2279","","",""
"711936","","","","","","","","","","-5000","-5000","-5000","","",""
"714816","","","","","","","","","","768","768","768","","",""
"716160","","","","","","","","","","2517","2517","2517","","",""
"717184","3793","3793","3793","","","","","","","","","","","",""
"719424","","","","","","","","","","-5000","-5000","-5000","","",""
"719680","3754","3754","3754","","","","","","","","","","","",""
"726592","3646","3646","3646","","","","","","","-5000","-5000","-5000","","",""
"727296","","","","","","","","","","-5000","-5000","-5000","","",""
"730048","","","","-5000","-5000","-5000","","","","","","","","",""
"734848","3517","3517","3517","","","","","","","","","","","",""
"735040","","","","","","","","","","","","","3426","3426","3426"
"740160","","","","-5000","-5000","-5000","","","","","","","","",""
"741376","","","","-5000","-5000","-5000","","","","","","","","",""
"741504","","","","","","","","","","-5000","-5000","-5000","","",""
"746880","","","","","","","","","","1925","1925","1925","","",""
"748096","","","","","","","","","","","","","743","743","743"
"749440","","","","","","","","","","","","","3289","3289","3289"
"753344","","","","-5000","-5000","-5000","","","","","","","","",""
"753600","","","","","","","","","","4415","4415","4415","","",""
"754496","","","","-5000","-5000","-5000","","","","","","","","",""
"757120","","","","-5000","-5000","-5000","","","","","","","","",""
"760192","","","","","","","","","","3121","3121","3121","","",""
"761920","","","","","","","","","","","","","3094","3094","3094"
"764096","","","","","","","","","","-5000","-5000","-5000","","",""
"765440","","","","-5000","-5000","-5000","","","","","","","","",""
"767424","-5000","-5000","-5000","","","","","","","","","","","",""
"771648","","","","","","","","","","","","","-5000","-5000","-5000"
"772544","3694","3694","3694","","","","","","","","","","","",""
"772928","577","577","577","","","","","","","","","","","",""
"780416","-5000","-5000","-5000","","","","","","","","","","","",""
"792640","2614","2614","2614","","","","","","","","","","","",""
"795008","","","","","","","","","","3829","3829","3829","","",""
"807424","","","","","","","","","","3516","3516","3516","","",""
"814528","","","","","","","","","","","","","2272","2272","2272"
"815808","","","","","","","","","","","","","2736","2736","2736"
"816128","2247","2247","2247","","","","","","","","","","","",""
"818176","2215","2215","2215","","","","","","","","","","","",""
"819136","","","","","","","","","","3315","3315","3315","","",""
"823872","-5000","-5000","-5000","","","","","","","","","","","",""
"825024","-5000","-5000","-5000","","","","","","","","","","","",""
"831744","-5000","-5000","-5000","","","","","","","","","","","",""
"832640","-5000","-5000","-5000","","","","","","","","","","","",""
"841920","1182","1182","1182","","","","","","","","","","","",""
"844608","2577","2577","2577","","","","","","","","","","","",""
"847872","","","","","","","","","","166","166","166","","",""
"849664","","","","","","","","","","-5000","-5000","-5000","","",""
"851648","","","","","","","","","","","","","2830","2830","2830"
"852608","1677","1677","1677","","","","","","","","","","","",""
"854144","-5000","-5000","-5000","","","","","","","","","","","",""
"854912","","","","","","","","","","-5000","-5000","-5000","","",""
"857536","-5000","-5000","-5000","","","","","","","","","","","",""
"857984","","","","","","","","","","1593","1593","1593","","",""
"865152","","","","","","","","","","3556","3556","3556","","",""
"865856","","","","","","","","","","-5000","-5000","-5000","","",""
"868800","","","","","","","","","","3802","3802","3802","","",""
"868992","","","","","","","","","","","","","-5000","-5000","-5000"
"870976","546","546","546","","","","","","","","","","","",""
"872576","","","","","","","","","","-5000","-5000","-5000","","",""
"875264","","","","","","","","","","","","","3784","3784","3784"
"875968","","","","","","","-5000","-5000","-5000","","","","","",""
"881472","-5000","-5000","-5000","","","","","","","","","","","",""
"884096","","","","","","","","","","2239","2239","2239","","",""
"889472","","","","","","","","","","2772","2772","2772","","",""
"892224","","","","","","","","","","","","","-5000","-5000","-5000"
"893888","","","","","","","","","","-5000","-5000","-5000","","",""
"901696","","","","","","","","","","","","","1831","1831","1831"
"901760","","","","","","","-5000","-5000","-5000","","","","","",""
